ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002a.D.argumentstructs.Erik.1,D,548.28,565.35,"Well right away I'm wondering if there's um th th uh, like with D_V_D_ players, if there are zones. Um f frequencies or something um as well as uh characters, um different uh keypad styles and s symbols.",NONE,"ES2002a.B.argumentstructs.Erik.3, ES2002a.B.argumentstructs.Erik.1, ES2002a.A.argumentstructs.Erik.1"
ES2002a.B.argumentstructs.Erik.3,B,553.78,558.06,"Oh yeah, regions and stuff, yeah. Yeah. Okay.",ES2002a.D.argumentstructs.Erik.1,NONE
ES2002a.A.argumentstructs.8,A,565.05,565.32,Hmm.,NONE,NONE
ES2002a.B.argumentstructs.21,B,565.13,565.93,Yeah.,NONE,NONE
ES2002a.B.argumentstructs.Erik.1,B,565.93,571.01,"Well for a remote control, do you think that will be  I suppose it's depends on how complicated our remote control is.",ES2002a.D.argumentstructs.Erik.1,"ES2002a.D.argumentstructs.Erik.2, ES2002a.D.argumentstructs.Erik.3"
ES2002a.D.argumentstructs.26,D,566.17,566.7,Um.,NONE,NONE
ES2002a.D.argumentstructs.Erik.2,D,568.46,568.83,I don't know.,ES2002a.B.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.3,D,571.22,571.58,Yeah.,ES2002a.B.argumentstructs.Erik.1,NONE
ES2002a.A.argumentstructs.Erik.1,A,571.74,580.21,"It does make sense from maybe the design point of view 'cause you have more complicated characters like European languages, then you need more buttons.",ES2002a.D.argumentstructs.Erik.1,"ES2002a.B.argumentstructs.Erik.2, ES2002a.D.argumentstructs.Erik.4"
ES2002a.B.argumentstructs.Erik.2,B,580.42,583.9,"Yeah, yeah. Okay.",ES2002a.A.argumentstructs.Erik.1,NONE
ES2002a.D.argumentstructs.Erik.4,D,580.66,580.94,Yeah.,ES2002a.A.argumentstructs.Erik.1,NONE
