ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002a.D.argumentstructs.Erik.5,D,1060.99,1073.79,are we at ma right now on the assumption that our television remote control may have features which go beyond the television ? Or are we keeping sort of like a a design commitment to television features ?,NONE,"ES2002a.D.argumentstructs.Erik.6, ES2002a.B.argumentstructs.Erik.4, ES2002a.A.argumentstructs.Erik.2"
ES2002a.D.argumentstructs.Erik.6,D,1073.79,1074.44,I I don't know.,ES2002a.D.argumentstructs.Erik.5,NONE
ES2002a.B.argumentstructs.22,B,1075.49,1076.64,we're supposed to finish now.,NONE,NONE
ES2002a.D.argumentstructs.Erik.7,D,1076.56,1078.06,"Yep. Yeah, sure.",ES2002a.B.argumentstructs.Erik.4,NONE
ES2002a.B.argumentstructs.Erik.4,B,1076.64,1084.8,"Um I guess that's up to us, I mean you probably want some kind of unique selling point of it, so um, you know",ES2002a.D.argumentstructs.Erik.5,"ES2002a.D.argumentstructs.Erik.7, ES2002a.D.argumentstructs.Erik.8"
ES2002a.D.argumentstructs.Erik.8,D,1081.99,1082.38,Okay.,ES2002a.B.argumentstructs.Erik.4,NONE
ES2002a.A.argumentstructs.Erik.2,A,1084.36,1086.91,I think one factor would be production cost.,ES2002a.D.argumentstructs.Erik.5,"ES2002a.D.argumentstructs.Erik.9, ES2002a.A.argumentstructs.Erik.3, ES2002a.A.argumentstructs.Erik.4"
ES2002a.D.argumentstructs.Erik.9,D,1086.96,1087.76,"Okay, yeah.",ES2002a.A.argumentstructs.Erik.2,NONE
ES2002a.A.argumentstructs.Erik.3,A,1087.57,1094.65,"Because there's a cap there, so um depends on how much you can cram into that price.",ES2002a.A.argumentstructs.Erik.2,"ES2002a.B.argumentstructs.Erik.5, ES2002a.D.argumentstructs.Erik.10"
ES2002a.B.argumentstructs.Erik.5,B,1087.59,1088.2,Yeah.,ES2002a.A.argumentstructs.Erik.3,NONE
ES2002a.D.argumentstructs.Erik.10,D,1089.89,1090.23,Okay.,ES2002a.A.argumentstructs.Erik.3,NONE
ES2002a.B.argumentstructs.23,B,1093.82,1096.16,Mm-hmm. Yeah.,NONE,NONE
ES2002a.D.argumentstructs.27,D,1093.83,1094.13,Okay.,NONE,NONE
ES2002a.A.argumentstructs.9,A,1094.65,1094.9,Um.,NONE,NONE
ES2002a.A.argumentstructs.Erik.4,A,1096.03,1098.43,I think that that's the main factor.,ES2002a.A.argumentstructs.Erik.2,"ES2002a.B.argumentstructs.Erik.7, ES2002a.D.argumentstructs.Erik.11"
ES2002a.B.argumentstructs.Erik.7,B,1098.51,1102.48,"Okay. Right, okay, we'll that's that's the end of the meeting, then.",ES2002a.A.argumentstructs.Erik.4,ES2002a.D.argumentstructs.Erik.12
ES2002a.D.argumentstructs.Erik.11,D,1098.52,1098.85,Okay.,ES2002a.A.argumentstructs.Erik.4,NONE
ES2002a.D.argumentstructs.Erik.12,D,1102.4,1102.86,Alright.,ES2002a.B.argumentstructs.Erik.7,NONE
ES2002a.B.argumentstructs.24,B,1102.48,1103.2,Um.,NONE,NONE
