ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002a.D.argumentstructs.Erik.13,D,753.67,773.41,"Yeah, interesting thing about discussing um production of a remote control for me is that l as you point out, I just don't think of remote controls as somethin something people consciously assess in their purchasing habits. It's just like getting shoelaces with shoes or something. It just comes along.",NONE,"ES2002a.B.argumentstructs.Erik.8, ES2002a.D.argumentstructs.Erik.14, ES2002a.C.argumentstructs.Erik.2"
ES2002a.B.argumentstructs.Erik.8,B,767.69,768.25,"Yeah, yeah.",ES2002a.D.argumentstructs.Erik.13,NONE
ES2002a.B.argumentstructs.25,B,772.01,776.97,"Oh. Five minutes to end of meeting. Oh, okay. We're a bit behind.",NONE,NONE
ES2002a.D.argumentstructs.Erik.14,D,776.12,793.63,"Do you know what I mean ? Like so sort of like how do you I I mean one one way of looking at it would be, well the people producing television sets, maybe they have to buy remote controls. Or another way is maybe people who have T_V_ sets are really fed up with their remote control and they really want a better one or something.",ES2002a.D.argumentstructs.Erik.13,"ES2002a.C.argumentstructs.Erik.1, ES2002a.A.argumentstructs.Erik.5"
ES2002a.C.argumentstructs.Erik.1,C,777.32,777.89,Yeah.,ES2002a.D.argumentstructs.Erik.14,NONE
ES2002a.A.argumentstructs.Erik.5,A,777.7,778.02,Yeah.,ES2002a.D.argumentstructs.Erik.14,NONE
ES2002a.C.argumentstructs.3,C,792.52,793.22,I know um,NONE,NONE
ES2002a.C.argumentstructs.Erik.2,C,794.52,804.33,My parents went out and bought um remote controls because um they got fed up of having four or five different remote controls for each things the house. So um for them it was just how many devices control.,ES2002a.D.argumentstructs.Erik.13,"ES2002a.D.argumentstructs.Erik.15, ES2002a.D.argumentstructs.Erik.16, ES2002a.B.argumentstructs.Erik.10"
ES2002a.D.argumentstructs.28,D,794.53,794.97,But,NONE,NONE
ES2002a.D.argumentstructs.Erik.15,D,799.88,802.454,Right. Right. Okay so,ES2002a.C.argumentstructs.Erik.2,NONE
ES2002a.D.argumentstructs.Erik.16,D,804.47,810.39,"Right, so in function one of the priorities might be to combine as many uses",ES2002a.C.argumentstructs.Erik.2,ES2002a.B.argumentstructs.Erik.9
ES2002a.B.argumentstructs.Erik.9,B,806.46,806.98,Yeah.,ES2002a.D.argumentstructs.Erik.16,NONE
ES2002a.B.argumentstructs.Erik.10,B,811.51,820.83,"Right, so do you think that should be like a main design aim of our remote control d you know, do your your satellite and your regular telly and your V_C_R_ and everything ?",ES2002a.C.argumentstructs.Erik.2,"ES2002a.D.argumentstructs.Erik.17, ES2002a.D.argumentstructs.Erik.18, ES2002a.D.argumentstructs.Erik.20"
ES2002a.D.argumentstructs.Erik.17,D,814.98,817.04,"I think so. Yeah, yeah.",ES2002a.B.argumentstructs.Erik.10,NONE
ES2002a.D.argumentstructs.29,D,818.45,818.67,Yeah.,NONE,NONE
ES2002a.D.argumentstructs.Erik.18,D,819.79,842.44,"Well like um, maybe what we could use is a sort of like a example of a successful other piece technology is palm palm pilots. They're gone from being just like little sort of scribble boards to cameras, M_P_ three players, telephones, everything, agenda. So, like, I wonder if we might add something new to the to the remote control market, such as the lighting in your house",ES2002a.B.argumentstructs.Erik.10,"ES2002a.B.argumentstructs.Erik.11, ES2002a.B.argumentstructs.Erik.12"
ES2002a.B.argumentstructs.26,B,832.76,833.2,Mm-hmm.,NONE,NONE
