ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002b.C.argumentstructs.Erik.1,C,460.53,463.55,"Um,  do we have any functions that um we'd want on it ?",NONE,"ES2002b.C.argumentstructs.Erik.2, ES2002b.B.argumentstructs.Erik.1, ES2002b.B.argumentstructs.Erik.4"
ES2002b.C.argumentstructs.Erik.2,C,463.55,470.85,"I mean so far I've got um on and off, um switch the channel up and down, and put the volume up and down. Um they're just the the very basics you could use for a T_V_.",ES2002b.C.argumentstructs.Erik.1,NONE
ES2002b.B.argumentstructs.22,B,465.62,468.87,Mm-hmm. Uh-huh.,NONE,NONE
ES2002b.B.argumentstructs.Erik.1,B,470.95,474.41,"Uh-huh, and then actual numbers for channels as well, yeah.",ES2002b.C.argumentstructs.Erik.1,ES2002b.C.argumentstructs.Erik.3
ES2002b.C.argumentstructs.Erik.3,C,474.16,483.41,"Okay. Um, you say that's a h a required one or a requested one ? Would you like um the channels like the the numbers on thing, um",ES2002b.B.argumentstructs.Erik.1,"ES2002b.D.argumentstructs.Erik.1, ES2002b.B.argumentstructs.Erik.2"
ES2002b.D.argumentstructs.Erik.1,D,477.66,478.27,Which was that ?,ES2002b.C.argumentstructs.Erik.3,ES2002b.D.argumentstructs.Erik.2
ES2002b.D.argumentstructs.Erik.2,D,481.12,482.38,"Up  the numbers, or the up down ?",ES2002b.D.argumentstructs.Erik.1,NONE
ES2002b.B.argumentstructs.Erik.2,B,482.97,490.14,"God, I wou I would say that's required, I mean there's no way anybody's gonna buy a remote control these days when if you can't actually individually select channels",ES2002b.C.argumentstructs.Erik.3,"ES2002b.B.argumentstructs.Erik.3, ES2002b.D.argumentstructs.Erik.3"
ES2002b.D.argumentstructs.Erik.3,D,489.24,489.59,Yeah.,ES2002b.B.argumentstructs.Erik.2,NONE
ES2002b.B.argumentstructs.23,B,490.14,490.47,", I mean",NONE,NONE
ES2002b.B.argumentstructs.Erik.3,B,490.47,491.8,would anybody disagree with that ?,ES2002b.B.argumentstructs.Erik.2,NONE
ES2002b.D.argumentstructs.19,D,491.21,491.48,Yeah.,NONE,NONE
ES2002b.B.argumentstructs.Erik.4,B,492.83,508.23,"Um, what else, uh   So don't need to worry about teletext, don't need to worry about V_C_R_, uh any kind of like display controls at all do you think we need to worry about, you know like brightness and contrast ?",ES2002b.C.argumentstructs.Erik.1,"ES2002b.D.argumentstructs.Erik.4, ES2002b.D.argumentstructs.Erik.5, ES2002b.D.argumentstructs.Erik.6"
ES2002b.D.argumentstructs.Erik.4,D,503.68,504.7,We don't ? No ?,ES2002b.B.argumentstructs.Erik.4,NONE
ES2002b.D.argumentstructs.Erik.5,D,506.94,507.33,Yeah.,ES2002b.B.argumentstructs.Erik.4,NONE
ES2002b.D.argumentstructs.Erik.6,D,507.88,521.15,Well I think I think es essentially what we're doing right now is we're categorising. We're saying well we want this to be a product that offers all the sort of more tricky features but we want them to be in another area ? Is that right ? Is that what we're we're doing ?,ES2002b.B.argumentstructs.Erik.4,ES2002b.D.argumentstructs.Erik.7
ES2002b.B.argumentstructs.24,B,513.78,514.1,Mm.,NONE,NONE
ES2002b.B.argumentstructs.Erik.5,B,519.94,520.51,Yeah.,ES2002b.D.argumentstructs.Erik.7,NONE
ES2002b.C.argumentstructs.Erik.4,C,520.89,521.5,"Um, yeah.",ES2002b.D.argumentstructs.Erik.7,NONE
ES2002b.D.argumentstructs.Erik.7,D,521.15,525.89,We're kind of like sorting them an Or are we actually eliminating things we just don't want the product to have ?,ES2002b.D.argumentstructs.Erik.6,"ES2002b.B.argumentstructs.Erik.5, ES2002b.C.argumentstructs.Erik.4, ES2002b.B.argumentstructs.Erik.6"
ES2002b.C.argumentstructs.8,C,522.89,523.42,Um,NONE,NONE
ES2002b.B.argumentstructs.Erik.6,B,526.31,530.85,I think  are you are you maybe kind of thinking what we absolutely have to have and what would be nice ?,ES2002b.D.argumentstructs.Erik.7,ES2002b.C.argumentstructs.Erik.5
ES2002b.C.argumentstructs.Erik.5,C,529.84,537.11,"Uh, to start with um sort of a bit both, um we need to find out exactly what we have to have um and after that we can add things if they're possible.",ES2002b.B.argumentstructs.Erik.6,ES2002b.B.argumentstructs.Erik.7
ES2002b.B.argumentstructs.25,B,534.22,534.64,Mm-hmm.,NONE,NONE
ES2002b.B.argumentstructs.Erik.7,B,537.48,550.494,"Okay, right. Well, do you wanna maybe just, at this point decide on what we absolutely must have as a p as a function of this. Um, so so far, just to recap you've got volume and channel control and",ES2002b.C.argumentstructs.Erik.5,"ES2002b.D.argumentstructs.Erik.8, ES2002b.C.argumentstructs.Erik.6"
ES2002b.D.argumentstructs.Erik.8,D,543.8,544.09,Yeah.,ES2002b.B.argumentstructs.Erik.7,NONE
ES2002b.D.argumentstructs.20,D,545.68,545.95,Yep.,NONE,NONE
ES2002b.C.argumentstructs.Erik.6,C,548.23,553.06,"There's um on and off, um volume and channel, and skip to certain channels with the numbers.",ES2002b.B.argumentstructs.Erik.7,ES2002b.B.argumentstructs.Erik.8
ES2002b.B.argumentstructs.Erik.8,B,553.25,554.58,Right okay.,ES2002b.C.argumentstructs.Erik.6,NONE
ES2002b.B.argumentstructs.26,B,554.58,555.87,Um,NONE,NONE
