ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002c.A.argumentstructs.Erik.6,A,1578.71,1589.17,Is there a particular shape that you're interested in ? Like does marketing have any research on  does it need to be long ? Does it need  with a square thing wha,NONE,"ES2002c.B.argumentstructs.Erik.7, ES2002c.B.argumentstructs.Erik.11"
ES2002c.B.argumentstructs.Erik.7,B,1587.82,1590.368,Oh you know like in circular in shape or,ES2002c.A.argumentstructs.Erik.6,ES2002c.A.argumentstructs.Erik.7
ES2002c.A.argumentstructs.Erik.7,A,1590.47,1593.472,Yeah 'cause that will n help narrow down the choice of,ES2002c.B.argumentstructs.Erik.7,"ES2002c.D.argumentstructs.Erik.11, ES2002c.B.argumentstructs.Erik.8"
ES2002c.D.argumentstructs.Erik.11,D,1593.41,1593.73,Yeah.,ES2002c.A.argumentstructs.Erik.7,NONE
ES2002c.B.argumentstructs.Erik.8,B,1593.96,1610.73,"Choice of material yeah. 'Cause I I I was kinda thinking about as well  you know how you get these shock resistant mobile phones, and they're plastic but then also have like rubber on the outside, and it kinda feels  it feels kind of warmer to the touch. It feels a bit more comfortable, and maybe we could incorporate plastic and rubber",ES2002c.A.argumentstructs.Erik.7,"ES2002c.A.argumentstructs.Erik.8, ES2002c.B.argumentstructs.Erik.9"
ES2002c.A.argumentstructs.Erik.8,A,1594.51,1598.22,"Like fruit.  I'm thinking fruits in my head, but that's tacky.",ES2002c.B.argumentstructs.Erik.8,ES2002c.D.argumentstructs.Erik.12
ES2002c.C.argumentstructs.4,C,1596.02,1596.62,See I'm,NONE,NONE
ES2002c.D.argumentstructs.Erik.12,D,1607.17,1607.42,Yeah.,ES2002c.A.argumentstructs.Erik.8,NONE
ES2002c.B.argumentstructs.31,B,1611.36,1611.91,into it.,NONE,NONE
ES2002c.B.argumentstructs.Erik.9,B,1611.91,1623.35,"And then then we could have curved shapes, 'cause wood or titanium, yeah, it's gonna have to be boxy and rectangular and I think we might be moving away from that you know so um",ES2002c.B.argumentstructs.Erik.8,ES2002c.B.argumentstructs.Erik.10
ES2002c.B.argumentstructs.Erik.10,B,1625.86,1630.78,Well I'm  do we really want it in like the shape of a lemon or  no I don't think we do either,ES2002c.B.argumentstructs.Erik.9,ES2002c.D.argumentstructs.Erik.13
ES2002c.D.argumentstructs.30,D,1628.7,1634.73,No no no not at all. It's more more just that we we think about like,NONE,NONE
ES2002c.B.argumentstructs.32,B,1630.78,1630.78,.,NONE,NONE
ES2002c.D.argumentstructs.Erik.13,D,1636.08,1641.81,"what it is we're trying to achieve, so and then we have one one sorta theme that we stick with. Do you know what I mean ?",ES2002c.B.argumentstructs.Erik.10,NONE
ES2002c.B.argumentstructs.Erik.11,B,1641.28,1647.01,Okay right well um so thoughts about the actual shape of the thing.,ES2002c.A.argumentstructs.Erik.6,ES2002c.C.argumentstructs.Erik.1
ES2002c.C.argumentstructs.Erik.1,C,1648.02,1649.89,I'd quite like a sort of uh snowman type shape.,ES2002c.B.argumentstructs.Erik.11,ES2002c.B.argumentstructs.Erik.12
ES2002c.B.argumentstructs.Erik.12,B,1650.05,1651.01,A snowman shape ?,ES2002c.C.argumentstructs.Erik.1,ES2002c.C.argumentstructs.Erik.2
ES2002c.C.argumentstructs.Erik.2,C,1651.24,1657.01,"Um so a p sort of larger bit sits in your hand, and then you got maybe another bubble at the top for just any other function you need.",ES2002c.B.argumentstructs.Erik.12,"ES2002c.B.argumentstructs.Erik.13, ES2002c.B.argumentstructs.Erik.15"
ES2002c.B.argumentstructs.33,B,1653.14,1653.49,Uh-huh.,NONE,NONE
ES2002c.B.argumentstructs.Erik.13,B,1657.6,1659.76,"That's quite a distinctive shape, that would be good wouldn't it.",ES2002c.C.argumentstructs.Erik.2,"ES2002c.D.argumentstructs.Erik.14, ES2002c.B.argumentstructs.Erik.14"
ES2002c.D.argumentstructs.Erik.14,D,1657.81,1659.14,"Right, sure.",ES2002c.B.argumentstructs.Erik.13,NONE
ES2002c.D.argumentstructs.31,D,1660.88,1668.97,Yeah. Um can we yeah like to and wha like do you have a,NONE,NONE
ES2002c.B.argumentstructs.Erik.14,B,1661.27,1664.09,Yeah so yeah should we go with that ?,ES2002c.B.argumentstructs.Erik.13,NONE
ES2002c.B.argumentstructs.Erik.15,B,1669.99,1671.27,Do you wanna draw it on the board ?,ES2002c.C.argumentstructs.Erik.2,"ES2002c.D.argumentstructs.Erik.15, ES2002c.C.argumentstructs.Erik.3"
ES2002c.D.argumentstructs.Erik.15,D,1670.31,1672.8,Can you like  yeah just t we can visualize it.,ES2002c.B.argumentstructs.Erik.15,NONE
ES2002c.C.argumentstructs.Erik.3,C,1690.79,1700.35,Um something like that um you got two groups there um maybe it could fold up and you get a third group inside or uh you have volume controls about there.,ES2002c.B.argumentstructs.Erik.15,"ES2002c.D.argumentstructs.Erik.16, ES2002c.B.argumentstructs.Erik.16, ES2002c.B.argumentstructs.Erik.17"
ES2002c.D.argumentstructs.Erik.16,D,1696.19,1696.52,Okay.,ES2002c.C.argumentstructs.Erik.3,NONE
ES2002c.B.argumentstructs.Erik.16,B,1696.24,1697.49,Ooh that'd be good.,ES2002c.C.argumentstructs.Erik.3,NONE
ES2002c.D.argumentstructs.32,D,1700.74,1703.31,Okay. Yep.,NONE,NONE
ES2002c.B.argumentstructs.34,B,1701.14,1701.72,Mm-hmm.,NONE,NONE
ES2002c.B.argumentstructs.Erik.17,B,1703.76,1707.93,So call it the snowman-shape trademark.,ES2002c.C.argumentstructs.Erik.3,NONE
