ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002d.B.argumentstructs.Erik.7,B,312.01,313.57,And what else do you do with the jog-dial ?,NONE,"ES2002d.D.argumentstructs.Erik.5, ES2002d.A.argumentstructs.Erik.11, ES2002d.B.argumentstructs.Erik.13"
ES2002d.C.argumentstructs.37,C,312.12,348.29,"Mm-hmm. Mm-hmm, mm-hmm.",NONE,NONE
ES2002d.D.argumentstructs.Erik.5,D,314.2,318.336,"Um you can use it for um more advanced functions like contrast, colour and",ES2002d.B.argumentstructs.Erik.7,ES2002d.B.argumentstructs.Erik.8
ES2002d.B.argumentstructs.Erik.8,B,318.84,324.19,"Contrast, brightness, yeah, and anything else ?",ES2002d.D.argumentstructs.Erik.5,ES2002d.D.argumentstructs.Erik.6
ES2002d.D.argumentstructs.16,D,320.89,321.85,Um yeah.,NONE,NONE
ES2002d.D.argumentstructs.Erik.6,D,324.79,330.064,"Um just whatever else we wanted to include as the advanced functions, um we didn't actually go through and specify the",ES2002d.B.argumentstructs.Erik.8,ES2002d.B.argumentstructs.Erik.9
ES2002d.B.argumentstructs.Erik.9,B,330.57,332.89,Well of the designers what are they ?,ES2002d.D.argumentstructs.Erik.6,ES2002d.D.argumentstructs.Erik.7
ES2002d.D.argumentstructs.Erik.7,D,332.96,334.97,Uh what can a T_V_ do ?,ES2002d.B.argumentstructs.Erik.9,ES2002d.A.argumentstructs.Erik.10
ES2002d.A.argumentstructs.Erik.10,A,335.83,341.61,"Okay things like um brightness, contrast, um maybe tuning the channels.",ES2002d.D.argumentstructs.Erik.7,ES2002d.B.argumentstructs.Erik.10
ES2002d.B.argumentstructs.47,B,338.31,338.66,Uh-huh.,NONE,NONE
ES2002d.B.argumentstructs.Erik.10,B,342.18,344.4,Okay channel tuning. That's a good one.,ES2002d.A.argumentstructs.Erik.10,NONE
ES2002d.A.argumentstructs.33,A,342.9,343.98,Um.,NONE,NONE
ES2002d.A.argumentstructs.Erik.11,A,345.08,349.36,"What else ? Um the various inputs. Are you having a V_C_R_, are you having  you know which input do you have ?",ES2002d.B.argumentstructs.Erik.7,"ES2002d.B.argumentstructs.Erik.11, ES2002d.C.argumentstructs.Erik.9"
ES2002d.B.argumentstructs.Erik.11,B,349.43,351.43,Okay auxiliary inputs.,ES2002d.A.argumentstructs.Erik.11,NONE
ES2002d.C.argumentstructs.Erik.9,C,350.26,352.13,"Mm-hmm, probably colour or sharpness.",ES2002d.A.argumentstructs.Erik.11,"ES2002d.A.argumentstructs.Erik.12, ES2002d.B.argumentstructs.Erik.12"
ES2002d.A.argumentstructs.34,A,350.88,351.33,Um.,NONE,NONE
ES2002d.A.argumentstructs.Erik.12,A,353.06,359.87,"Yep, colour, sharpness. Um a lot of these things will have to be um free and open for users to define them.",ES2002d.C.argumentstructs.Erik.9,NONE
ES2002d.B.argumentstructs.Erik.12,B,354.57,355.66,Sharpness.,ES2002d.C.argumentstructs.Erik.9,NONE
ES2002d.C.argumentstructs.38,C,360.06,384.11,Mm-hmm. Audio. Mm-hmm.,NONE,NONE
ES2002d.B.argumentstructs.Erik.13,B,360.15,364.65,Okay what about uh sound settings ? Uh d can you change any of those at all ?,ES2002d.B.argumentstructs.Erik.7,"ES2002d.A.argumentstructs.Erik.13, ES2002d.D.argumentstructs.Erik.8"
ES2002d.A.argumentstructs.Erik.13,A,365.19,370.05,"Audio, we have like your basic y your base, your mid-range, your high range.",ES2002d.B.argumentstructs.Erik.13,NONE
ES2002d.D.argumentstructs.17,D,366.83,367.56,Um.,NONE,NONE
ES2002d.A.argumentstructs.35,A,371.3,371.9,Um.,NONE,NONE
ES2002d.D.argumentstructs.Erik.8,D,371.92,373.22,the the balance hmm.,ES2002d.B.argumentstructs.Erik.13,ES2002d.A.argumentstructs.Erik.14
ES2002d.A.argumentstructs.Erik.14,A,373.4,388.33,"Yep, left-right balance, um maybe even pre-programmed sound modes, like um the user could determine like a series of sound modes, and then what could happen would be um when you click on that then it would go to that setting.",ES2002d.D.argumentstructs.Erik.8,"ES2002d.B.argumentstructs.Erik.14, ES2002d.B.argumentstructs.Erik.15, ES2002d.C.argumentstructs.Erik.10, ES2002d.A.argumentstructs.Erik.15"
ES2002d.B.argumentstructs.Erik.14,B,378.48,379.08,Okay.,ES2002d.A.argumentstructs.Erik.14,NONE
ES2002d.B.argumentstructs.Erik.15,B,388.79,391.75,"Okay, is there anything else at all it can do ?",ES2002d.A.argumentstructs.Erik.14,NONE
ES2002d.C.argumentstructs.Erik.10,C,388.95,389.27,Mm 'kay.,ES2002d.A.argumentstructs.Erik.14,NONE
ES2002d.A.argumentstructs.Erik.15,A,389.74,389.96,Yeah.,ES2002d.A.argumentstructs.Erik.14,NONE
