ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003a.B.argumentstructs.Erik.11,B,992.08,1001.2,"what the user wants, yes. Um, right. Has anybody got anything they'd like to add at this stage, anything they think that might have been missed so far ?",NONE,"ES2003a.D.argumentstructs.Erik.2, ES2003a.A.argumentstructs.Erik.9"
ES2003a.C.argumentstructs.10,C,993.45,993.78,Okay.,NONE,NONE
ES2003a.D.argumentstructs.Erik.2,D,1002.36,1009.3,"Well when you're talking about gaming and stuff, do you think they should have some sort of stick on it, rather than buttons ?",ES2003a.B.argumentstructs.Erik.11,"ES2003a.D.argumentstructs.Erik.3, ES2003a.C.argumentstructs.Erik.7"
ES2003a.C.argumentstructs.Erik.7,C,1008.75,1010.32,"Oh. Okay,.",ES2003a.D.argumentstructs.Erik.2,NONE
ES2003a.D.argumentstructs.Erik.3,D,1010.16,1015.808,"Like uh control pads, you know of games, but  or is that a bit ridiculous ?",ES2003a.D.argumentstructs.Erik.2,"ES2003a.C.argumentstructs.Erik.8, ES2003a.B.argumentstructs.Erik.12"
ES2003a.C.argumentstructs.Erik.8,C,1013.59,1013.84,Mm-hmm.,ES2003a.D.argumentstructs.Erik.3,NONE
ES2003a.B.argumentstructs.Erik.12,B,1016.96,1030.74,"I I don't see why not, almost everybody is probably used to a console by now, and all of them incorporate small keypads on them, in fact even the mobile phones these days are beginning to use them as well, so it's probably an interface that most people are used to.",ES2003a.D.argumentstructs.Erik.3,"ES2003a.D.argumentstructs.Erik.4, ES2003a.B.argumentstructs.Erik.13"
ES2003a.D.argumentstructs.Erik.4,D,1026.16,1026.51,Yeah.,ES2003a.B.argumentstructs.Erik.12,NONE
ES2003a.B.argumentstructs.20,B,1030.74,1031.32,Um,NONE,NONE
ES2003a.B.argumentstructs.Erik.13,B,1033.18,1037.74,"and that could allow n easy navigation, used as a joystick as well.",ES2003a.B.argumentstructs.Erik.12,ES2003a.A.argumentstructs.Erik.8
ES2003a.A.argumentstructs.Erik.8,A,1045.78,1046.04,Mm-hmm.,ES2003a.B.argumentstructs.Erik.13,NONE
ES2003a.A.argumentstructs.Erik.9,A,1046.04,1074.55,"The other key feature that uh that would be a good idea built into it is t is is to make something you know fairly sort of ergonomic, something that just fits  fits as comfortably as possible into the hand. But of course, uh al al also allows for  the possibility of a more sort of slightly unconventional or attractive uh sha shape for it overall,.",ES2003a.B.argumentstructs.Erik.11,"ES2003a.B.argumentstructs.Erik.14, ES2003a.B.argumentstructs.Erik.15"
ES2003a.B.argumentstructs.Erik.14,B,1072.5,1072.89,Okay.,ES2003a.A.argumentstructs.Erik.9,NONE
ES2003a.B.argumentstructs.Erik.15,B,1075.58,1081.24,"So, small, stylish, and something that's just a little different.",ES2003a.A.argumentstructs.Erik.9,ES2003a.A.argumentstructs.Erik.10
ES2003a.A.argumentstructs.Erik.10,A,1077.09,1088.16,"A curve, mm-hmm. Something sort of sort of sl slightly sort of biomorphic in form,  uh which it would need to be to sort of conform to the shape of the hand more efficiently anyway.",ES2003a.B.argumentstructs.Erik.15,ES2003a.B.argumentstructs.Erik.16
ES2003a.B.argumentstructs.Erik.16,B,1088.53,1092.2,Okay. That's definitely something that we should be able to do quite easily.,ES2003a.A.argumentstructs.Erik.10,ES2003a.B.argumentstructs.Erik.17
ES2003a.B.argumentstructs.Erik.17,B,1093.27,1096.92,"I would I would have hoped so anyway. Um, right.",ES2003a.B.argumentstructs.Erik.16,NONE
