ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003b.B.argumentstructs.Erik.6,B,1663.4,1675.22,"To go on from here. Um we have to decide exactly what we're going to do with the remote. Before we leave this meeting, it would be best to say this is what we're going  this is the design we're gonna try and get, this is how we're gonna make ourselves look unique.",NONE,"ES2003b.B.argumentstructs.Erik.7, ES2003b.B.argumentstructs.Erik.17, ES2003b.B.argumentstructs.Erik.23"
ES2003b.B.argumentstructs.Erik.7,B,1678.59,1694.41,"Do we go for maybe a remote contro uh sorry, we're gonna go for a remote control obviously, do we go for a small joystick that would operate say changing channels, up and down, and then, what, another button that would say that it's now being used to manoeuvre round the L_C_D_.",ES2003b.B.argumentstructs.Erik.6,"ES2003b.A.argumentstructs.Erik.11, ES2003b.D.argumentstructs.Erik.3, ES2003b.B.argumentstructs.Erik.8, ES2003b.C.argumentstructs.Erik.8"
ES2003b.A.argumentstructs.26,A,1679.04,1679.23,Mm.,NONE,NONE
ES2003b.A.argumentstructs.Erik.11,A,1695.42,1696.21,Mm yeah.,ES2003b.B.argumentstructs.Erik.7,NONE
ES2003b.D.argumentstructs.Erik.3,D,1697.67,1701.77,"We're just saying volume. Should volume be important in the joystick, do you think ?",ES2003b.B.argumentstructs.Erik.7,ES2003b.A.argumentstructs.Erik.12
ES2003b.A.argumentstructs.Erik.12,A,1697.77,1698.928,"Yeah, I think that's",ES2003b.D.argumentstructs.Erik.3,NONE
ES2003b.B.argumentstructs.Erik.8,B,1702.02,1707.7,"We could use say the left and right for changing channels and the up and down for volume,",ES2003b.B.argumentstructs.Erik.7,ES2003b.A.argumentstructs.Erik.13
ES2003b.A.argumentstructs.Erik.13,A,1702.36,1703.07,Yeah.,ES2003b.B.argumentstructs.Erik.8,ES2003b.A.argumentstructs.Erik.14
ES2003b.A.argumentstructs.Erik.14,A,1706.32,1706.89,For volume.,ES2003b.A.argumentstructs.Erik.13,ES2003b.D.argumentstructs.Erik.4
ES2003b.D.argumentstructs.Erik.4,D,1707.32,1707.45,Yep.,ES2003b.A.argumentstructs.Erik.14,NONE
ES2003b.C.argumentstructs.Erik.8,C,1707.59,1729.21,"But we have a frequency of how what people use a remote control for most. Um, power is used like once per hour, channel selection is used a hundred and sixty eight per hour, that's by far the biggest one, and then teletext, is still here, that's like fourteen, and volume selection.",ES2003b.B.argumentstructs.Erik.7,"ES2003b.B.argumentstructs.Erik.9, ES2003b.B.argumentstructs.Erik.10, ES2003b.B.argumentstructs.Erik.11, ES2003b.B.argumentstructs.Erik.12"
ES2003b.B.argumentstructs.26,B,1707.7,1708.04,and,NONE,NONE
ES2003b.B.argumentstructs.Erik.9,B,1713.26,1713.92,Okay.,ES2003b.C.argumentstructs.Erik.8,NONE
