ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003c.B.argumentstructs.26,B,2169.23,2171.66,So um do,NONE,NONE
ES2003c.B.argumentstructs.Erik.15,B,2171.66,2175.12,"I think we've got an idea of where we need to go for the next meeting, would you say ?",NONE,"ES2003c.C.argumentstructs.Erik.21, ES2003c.D.argumentstructs.Erik.12, ES2003c.C.argumentstructs.Erik.22, ES2003c.A.argumentstructs.Erik.20, ES2003c.A.argumentstructs.Erik.21"
ES2003c.C.argumentstructs.Erik.21,C,2175.16,2175.53,Yeah.,ES2003c.B.argumentstructs.Erik.15,NONE
ES2003c.A.argumentstructs.Erik.18,A,2175.96,2176.39,Mm-hmm.,ES2003c.D.argumentstructs.Erik.12,NONE
ES2003c.D.argumentstructs.Erik.12,D,2176.44,2184.01,"they're going with the fashion thing, like the design, spongy rubber. Yeah.",ES2003c.B.argumentstructs.Erik.15,ES2003c.A.argumentstructs.Erik.18
ES2003c.C.argumentstructs.Erik.22,C,2179.41,2180.24,The fruit and veg.,ES2003c.B.argumentstructs.Erik.15,ES2003c.C.argumentstructs.Erik.23
ES2003c.C.argumentstructs.Erik.23,C,2181.42,2181.91,This one,ES2003c.C.argumentstructs.Erik.22,"ES2003c.B.argumentstructs.Erik.16, ES2003c.A.argumentstructs.Erik.19"
ES2003c.C.argumentstructs.33,C,2181.91,2181.91,.,NONE,NONE
ES2003c.A.argumentstructs.Erik.19,A,2182.34,2182.7,Mm.,ES2003c.C.argumentstructs.Erik.23,NONE
ES2003c.B.argumentstructs.Erik.16,B,2182.55,2186.08,"Yeah, I would s that would be my my feeling.",ES2003c.C.argumentstructs.Erik.23,NONE
ES2003c.A.argumentstructs.Erik.20,A,2185.29,2190.17,I th I think I would largely want to actually steer clear of the whole sort of fruit and veg thing.,ES2003c.B.argumentstructs.Erik.15,NONE
ES2003c.A.argumentstructs.Erik.21,A,2191.19,2197.47,Bu  but um but the spongy idea I like. I like it a lot.,ES2003c.B.argumentstructs.Erik.15,ES2003c.B.argumentstructs.Erik.17
ES2003c.B.argumentstructs.Erik.17,B,2197.87,2203.056,We seem to have quite a general consensus that the idea of the the r rubber could be quite,ES2003c.A.argumentstructs.Erik.21,"ES2003c.C.argumentstructs.Erik.24, ES2003c.A.argumentstructs.Erik.22"
ES2003c.C.argumentstructs.Erik.24,C,2197.88,2198.24,Yeah.,ES2003c.B.argumentstructs.Erik.17,NONE
ES2003c.C.argumentstructs.34,C,2203.11,2203.4,Yeah.,NONE,NONE
ES2003c.A.argumentstructs.Erik.22,A,2203.99,2213.12,"I  having it i having it sort of br bright yellow I think that's quite a good idea, though maybe we could have options for colours as well.",ES2003c.B.argumentstructs.Erik.17,"ES2003c.C.argumentstructs.Erik.25, ES2003c.A.argumentstructs.Erik.23, ES2003c.C.argumentstructs.Erik.26"
ES2003c.C.argumentstructs.Erik.25,C,2214.44,2214.65,Yeah.,ES2003c.A.argumentstructs.Erik.22,NONE
ES2003c.A.argumentstructs.Erik.23,A,2215.85,2219.3,and again this has the advantage of being harder to lose.,ES2003c.A.argumentstructs.Erik.22,NONE
ES2003c.C.argumentstructs.Erik.26,C,2219.28,2224.67,"Sure. I mean we are trying to promote a remote control, but we wanna keep the company brand as well, so.",ES2003c.A.argumentstructs.Erik.22,ES2003c.B.argumentstructs.Erik.18
ES2003c.A.argumentstructs.Erik.24,A,2224.56,2224.89,Mm-hmm.,ES2003c.B.argumentstructs.Erik.18,NONE
ES2003c.B.argumentstructs.Erik.18,B,2224.84,2228.36,Yeah. So we always need to remember that somewhere we're meant to be getting the slogan on.,ES2003c.C.argumentstructs.Erik.26,"ES2003c.A.argumentstructs.Erik.24, ES2003c.B.argumentstructs.Erik.19"
ES2003c.B.argumentstructs.Erik.19,B,2230.23,2237.47,Possibly I'm think I'm not sure but I'm seeing a little bit of space around maybe the joystick area which could be used. Um.,ES2003c.B.argumentstructs.Erik.18,"ES2003c.A.argumentstructs.Erik.25, ES2003c.A.argumentstructs.Erik.26"
ES2003c.A.argumentstructs.Erik.25,A,2235.23,2235.65,Mm.,ES2003c.B.argumentstructs.Erik.19,NONE
ES2003c.A.argumentstructs.Erik.26,A,2236.92,2243.92,Yeah. I was  like like I said before I I think we should have the R_R_ on the uh on the top function button.,ES2003c.B.argumentstructs.Erik.19,"ES2003c.B.argumentstructs.Erik.20, ES2003c.C.argumentstructs.Erik.27"
ES2003c.B.argumentstructs.Erik.20,B,2245.62,2249.43,Okay. And I think that says it all really.,ES2003c.A.argumentstructs.Erik.26,NONE
ES2003c.C.argumentstructs.Erik.27,C,2247.742,2248.85,I think so too.,ES2003c.A.argumentstructs.Erik.26,NONE
ES2003c.B.argumentstructs.27,B,2249.43,2251.55,Right. See everybody in a half hour.,NONE,NONE
