ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003d.C.argumentstructs.Erik.58,C,1518.768,1531.72,"Yeah, okay let's give it a six.  Okay, that's totally thrown everything off balance. Inspired by the latest interior and clothing fashion. W we could.",NONE,ES2003d.C.argumentstructs.Erik.59
ES2003d.C.argumentstructs.Erik.59,C,1531.72,1533.28,What colour were we gonna make it ?,ES2003d.C.argumentstructs.Erik.58,"ES2003d.D.argumentstructs.Erik.19, ES2003d.A.argumentstructs.Erik.23, ES2003d.A.argumentstructs.Erik.24, ES2003d.A.argumentstructs.Erik.25, ES2003d.D.argumentstructs.Erik.20, ES2003d.B.argumentstructs.Erik.50"
ES2003d.D.argumentstructs.Erik.19,D,1532.74,1534.736,Put a leopard print on it.,ES2003d.C.argumentstructs.Erik.59,ES2003d.A.argumentstructs.Erik.26
ES2003d.A.argumentstructs.Erik.23,A,1533.86,1538.54,Well I I I would sa I would say give a s give a selection of colours.,ES2003d.C.argumentstructs.Erik.59,NONE
ES2003d.A.argumentstructs.Erik.24,A,1538.54,1543.01,Um we went with yellow we went with yellow for the prototype 'cause we had yellow.,ES2003d.C.argumentstructs.Erik.59,NONE
ES2003d.C.argumentstructs.Erik.60,C,1539.68,1551.616,"I know, but  But um by this I think it's more a case of fruit and veg,",ES2003d.A.argumentstructs.Erik.26,NONE
ES2003d.A.argumentstructs.Erik.25,A,1543.01,1545.65,"If I were buying one, I'd go for purple.",ES2003d.C.argumentstructs.Erik.59,NONE
ES2003d.A.argumentstructs.Erik.26,A,1545.65,1546.56,Leopard print would be cool.,ES2003d.D.argumentstructs.Erik.19,ES2003d.C.argumentstructs.Erik.60
ES2003d.D.argumentstructs.Erik.20,D,1550.42,1557.97,"Yeah we gotta. I'd say the colour of the border there world  you'd find that,  that's that'd stand out.",ES2003d.C.argumentstructs.Erik.59,ES2003d.C.argumentstructs.Erik.61
ES2003d.C.argumentstructs.Erik.61,C,1552.273,1552.97,Yeah.,ES2003d.D.argumentstructs.Erik.20,NONE
ES2003d.B.argumentstructs.Erik.50,B,1558.53,1565.83,"Like yellow, yeah. It would also help keep the the product placement s yeah.",ES2003d.C.argumentstructs.Erik.59,"ES2003d.B.argumentstructs.Erik.51, ES2003d.C.argumentstructs.Erik.63"
ES2003d.D.argumentstructs.Erik.21,D,1562.96,1564.63,"Logo, brand.",ES2003d.B.argumentstructs.Erik.51,ES2003d.C.argumentstructs.Erik.62
ES2003d.C.argumentstructs.Erik.62,C,1564.14,1564.4,Mm.,ES2003d.D.argumentstructs.Erik.21,ES2003d.D.argumentstructs.Erik.22
ES2003d.D.argumentstructs.Erik.22,D,1565.71,1566.38,Mm 'kay.,ES2003d.C.argumentstructs.Erik.62,NONE
ES2003d.C.argumentstructs.90,C,1565.77,1566.39,But,NONE,NONE
ES2003d.B.argumentstructs.Erik.51,B,1565.83,1568.4,Is it inspired by  clothing fashion ?,ES2003d.B.argumentstructs.Erik.50,ES2003d.D.argumentstructs.Erik.21
ES2003d.C.argumentstructs.Erik.63,C,1568.16,1576.02,Th th they're referring to the fruit and veg thing. Is this like a banana type colour ?,ES2003d.B.argumentstructs.Erik.50,"ES2003d.C.argumentstructs.Erik.64, ES2003d.B.argumentstructs.Erik.52, ES2003d.A.argumentstructs.Erik.28"
ES2003d.C.argumentstructs.Erik.64,C,1576.02,1579.392,"Could we stretch  no still, it's not shaped like a banana is",ES2003d.C.argumentstructs.Erik.63,ES2003d.A.argumentstructs.Erik.27
ES2003d.B.argumentstructs.Erik.52,B,1577.49,1577.93,Yes.,ES2003d.C.argumentstructs.Erik.63,NONE
ES2003d.B.argumentstructs.77,B,1579.7,1584.06,It's kind o it probably,NONE,NONE
ES2003d.A.argumentstructs.Erik.27,A,1580.02,1585.9,That's kinda   i it won't be when it's been budgeted.,ES2003d.C.argumentstructs.Erik.64,ES2003d.C.argumentstructs.Erik.65
ES2003d.C.argumentstructs.Erik.65,C,1584.18,1586.16,Oh is that 'cause it's flat ?,ES2003d.A.argumentstructs.Erik.27,ES2003d.C.argumentstructs.Erik.66
ES2003d.C.argumentstructs.Erik.66,C,1586.16,1588.74,What is  what fruit or veg is flat ?,ES2003d.C.argumentstructs.Erik.65,NONE
ES2003d.A.argumentstructs.Erik.28,A,1589.72,1595.48,I I think s I I think this isn't  not particularly fruit and veggie.,ES2003d.C.argumentstructs.Erik.63,"ES2003d.C.argumentstructs.Erik.67, ES2003d.B.argumentstructs.Erik.53"
ES2003d.C.argumentstructs.Erik.67,C,1594.94,1603.712,Yeah. Or we might have to suffer badly for this one as well.,ES2003d.A.argumentstructs.Erik.28,NONE
ES2003d.A.argumentstructs.39,A,1595.48,1596.01,Um.,NONE,NONE
ES2003d.D.argumentstructs.30,D,1597.81,1598.95,Yellow courgette.,NONE,NONE
ES2003d.B.argumentstructs.Erik.53,B,1602.81,1609.82,"Well I mean it's probably more fruit and veg than most other things out there bar fruit and veg, so,  what, four ?",ES2003d.A.argumentstructs.Erik.28,ES2003d.C.argumentstructs.Erik.68
ES2003d.C.argumentstructs.Erik.68,C,1610.07,1614.05,"Four ? Oh that's it's very ambitious, yeah, um.",ES2003d.B.argumentstructs.Erik.53,ES2003d.B.argumentstructs.Erik.54
ES2003d.B.argumentstructs.Erik.54,B,1611.99,1613.18,Is that being too generous ?,ES2003d.C.argumentstructs.Erik.68,ES2003d.A.argumentstructs.Erik.29
ES2003d.A.argumentstructs.Erik.29,A,1613.22,1631.65,Mm. I'd  I'd I don't think fruit and veg is the sole criterion.  Is the sole criterion for being um fashion  fashionable or inspired by current fashions. Um I'd g I'd rate I'd rate this fairly highly from that point of view actually.,ES2003d.B.argumentstructs.Erik.54,"ES2003d.C.argumentstructs.Erik.69, ES2003d.D.argumentstructs.Erik.24"
ES2003d.C.argumentstructs.Erik.69,C,1619.05,1619.3,Sure.,ES2003d.A.argumentstructs.Erik.29,NONE
ES2003d.B.argumentstructs.78,B,1619.39,1619.39,.,NONE,NONE
ES2003d.C.argumentstructs.91,C,1623.5,1623.5,.,NONE,NONE
