ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004a.B.argumentstructs.Erik.1,B,812.35,815.09,What about the older generation ? What about granny and grandads ?,NONE,"ES2004a.B.argumentstructs.Erik.2, ES2004a.D.argumentstructs.Erik.3, ES2004a.D.argumentstructs.Erik.5"
ES2004a.B.argumentstructs.Erik.2,B,816.15,823.63,"Um, my grandad can answer his mobile phone, but he couldn't even dream of texting or something like that.",ES2004a.B.argumentstructs.Erik.1,"ES2004a.C.argumentstructs.Erik.1, ES2004a.D.argumentstructs.Erik.1"
ES2004a.A.argumentstructs.2,A,816.27,863.53,You mean to save it lesser number. Right. Mm-hmm.,NONE,NONE
ES2004a.C.argumentstructs.Erik.1,C,819.96,820.26,Yeah.,ES2004a.B.argumentstructs.Erik.2,NONE
ES2004a.D.argumentstructs.6,D,821.35,823.79,Mm-hmm. Mm-hmm.,NONE,NONE
ES2004a.D.argumentstructs.Erik.1,D,823.79,827.97,Can he programme his remote control or is it basic with that too ?,ES2004a.B.argumentstructs.Erik.2,ES2004a.B.argumentstructs.Erik.3
ES2004a.B.argumentstructs.Erik.3,B,828.12,831.516,"I don't think they tape things, I don't think they use",ES2004a.D.argumentstructs.Erik.1,ES2004a.C.argumentstructs.Erik.2
ES2004a.C.argumentstructs.Erik.2,C,829.37,834.05,"Yeah, my grandad's actually better than me at using teletext, so.",ES2004a.B.argumentstructs.Erik.3,ES2004a.D.argumentstructs.Erik.2
ES2004a.D.argumentstructs.Erik.2,D,830.05,830.6,Right.,ES2004a.C.argumentstructs.Erik.2,NONE
ES2004a.D.argumentstructs.7,D,833.26,833.8,Right.,NONE,NONE
ES2004a.D.argumentstructs.Erik.3,D,834.64,844.64,"So that's a problem regardless of of any design modifications you you come up with, that's gonna be a problem anyway with the older generation perhaps, and that's another issue how we tackle that.",ES2004a.B.argumentstructs.Erik.1,"ES2004a.C.argumentstructs.Erik.3, ES2004a.B.argumentstructs.Erik.4, ES2004a.C.argumentstructs.Erik.4"
ES2004a.C.argumentstructs.Erik.3,C,838.64,839.0,Yeah.,ES2004a.D.argumentstructs.Erik.3,NONE
ES2004a.B.argumentstructs.Erik.4,B,841.2,843.24,"Mm, yeah, the age gap.",ES2004a.D.argumentstructs.Erik.3,NONE
ES2004a.C.argumentstructs.Erik.4,C,843.73,861.94,"Yeah, what it just needs to be  as long as it's sort of self-intuitive and you can can work out what everything's doing, 'cause I mean, menus on sort of new phones now they've sort of got all these pictures and stuff which makes it fairly obvious what you're trying to do.",ES2004a.D.argumentstructs.Erik.3,"ES2004a.B.argumentstructs.Erik.5, ES2004a.C.argumentstructs.Erik.5"
ES2004a.B.argumentstructs.10,B,862.33,862.76,Mm.,NONE,NONE
ES2004a.B.argumentstructs.Erik.5,B,864.3,871.74,"I don't know, I d I don't like the, you know the new phones that have kind of got a Windows-based running system.",ES2004a.C.argumentstructs.Erik.4,ES2004a.B.argumentstructs.Erik.6
ES2004a.C.argumentstructs.6,C,870.18,870.69,Oh yeah.,NONE,NONE
ES2004a.D.argumentstructs.8,D,872.2,872.59,Mm-hmm.,NONE,NONE
ES2004a.B.argumentstructs.Erik.6,B,872.95,885.17,"I find it really confusing, I kept getting lost  in the phone, I di I've not got a new one but uh my friend got a new one and I was trying to do things with it and I just kept getting lost, but that's just me.",ES2004a.B.argumentstructs.Erik.5,ES2004a.D.argumentstructs.Erik.4
ES2004a.D.argumentstructs.Erik.4,D,878.36,878.8,Right.,ES2004a.B.argumentstructs.Erik.6,NONE
ES2004a.C.argumentstructs.Erik.5,C,885.18,899.31,"Yeah, I don't I don't know how for twenty fi, or twelve Euros fifty how much of a excellent screen you could get, you'd you'd have to sort of keep it down to a black and white L_C_D_ thing anyway, I'd assume.",ES2004a.C.argumentstructs.Erik.4,ES2004a.B.argumentstructs.Erik.7
ES2004a.B.argumentstructs.Erik.7,B,893.63,894.31,Yeah.,ES2004a.C.argumentstructs.Erik.5,NONE
ES2004a.D.argumentstructs.9,D,895.43,895.75,Mm-hmm.,NONE,NONE
ES2004a.D.argumentstructs.Erik.5,D,898.71,911.78,"Is it possible that that for the older generation you could have like an extra button that you press for large print like you do in large print books ? Obviously it displays less on the screen, it displays less on the screen but as long as they can read it that's the main thing.",ES2004a.B.argumentstructs.Erik.1,"ES2004a.A.argumentstructs.Erik.1, ES2004a.B.argumentstructs.Erik.8, ES2004a.B.argumentstructs.Erik.9"
ES2004a.A.argumentstructs.Erik.1,A,905.32,905.7,Okay.,ES2004a.D.argumentstructs.Erik.5,NONE
ES2004a.B.argumentstructs.Erik.8,B,905.77,907.5,Teletext has got that option as well.,ES2004a.D.argumentstructs.Erik.5,NONE
ES2004a.B.argumentstructs.Erik.9,B,911.86,912.35,Yeah.,ES2004a.D.argumentstructs.Erik.5,NONE
