ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.39,B,1844.07,1861.23,"Mm. But we should focus on making the manual as user-friendly as possible because a lot of them are just tiny little writing and lots and lots of pages. It does, you just put it in the drawer until something goes wrong and then you try and search through it, so that should be something we think about.",NONE,NONE
ES2004b.A.argumentstructs.19,A,1847.51,1901.39,Simple. Mm-hmm. Mm-hmm.,NONE,NONE
ES2004b.D.argumentstructs.29,D,1848.6,1860.28,"Mm. Puts people off reading them so they just do the obvious, yes. Sure, okay.",NONE,NONE
ES2004b.C.argumentstructs.36,C,1854.42,1854.87,yeah.,NONE,NONE
ES2004b.B.argumentstructs.Erik.17,B,1861.23,1879.22,"Um, what other functions ? We need  I'm not sure if we need a design um decision now, but we should think about  c 'cause you've got the dilemma between  oh batteries, that's what I was thinking about. Mobile phone batteries, what kinda battery is that ?",NONE,ES2004b.C.argumentstructs.Erik.20
ES2004b.C.argumentstructs.Erik.20,C,1879.56,1889.877,"Um they're they're specially made for the for the mobile phones, but they come with a charger, I mean you could you could bundle a charger in with it but",ES2004b.B.argumentstructs.Erik.17,ES2004b.B.argumentstructs.Erik.18
ES2004b.B.argumentstructs.Erik.18,B,1888.54,1910.03,"Well they la they they last quite a long time, and if you had uh  when you  th the thing that you get with mobile house phones, you sit it in its charger when you're not using it or t at night or something, but it doesn't really matter 'cause it never really runs out 'cause it lasts a long time once it is charged. Um, something like that should reduce the size of it.",ES2004b.C.argumentstructs.Erik.20,"ES2004b.C.argumentstructs.Erik.21, ES2004b.C.argumentstructs.Erik.22, ES2004b.A.argumentstructs.Erik.8"
ES2004b.C.argumentstructs.37,C,1891.37,1891.86,Mm-hmm.,NONE,NONE
ES2004b.C.argumentstructs.Erik.21,C,1897.23,1897.87,Yeah.,ES2004b.B.argumentstructs.Erik.18,NONE
ES2004b.C.argumentstructs.38,C,1900.46,1905.32,Yeah. Yeah.,NONE,NONE
ES2004b.C.argumentstructs.Erik.22,C,1909.09,1917.344,Yeah and if  yeah if you if you had if you had one of those  uh just coming back to your other point about pressing the button and setting off the bleeper in the room that could uh,ES2004b.B.argumentstructs.Erik.18,ES2004b.B.argumentstructs.Erik.19
ES2004b.B.argumentstructs.Erik.19,B,1918.2,1921.07,"Yeah it could be on that  yeah, okay.",ES2004b.C.argumentstructs.Erik.22,ES2004b.C.argumentstructs.Erik.23
ES2004b.C.argumentstructs.Erik.23,C,1919.28,1920.56,Yeah on that as well so.,ES2004b.B.argumentstructs.Erik.19,NONE
ES2004b.B.argumentstructs.40,B,1922.51,1922.83,S,NONE,NONE
ES2004b.A.argumentstructs.Erik.8,A,1922.53,1926.16,So are we talking of a concept of a rechargeable something on the remote ?,ES2004b.B.argumentstructs.Erik.18,"ES2004b.C.argumentstructs.Erik.24, ES2004b.B.argumentstructs.Erik.20"
ES2004b.C.argumentstructs.Erik.24,C,1925.52,1929.7,Yeah some sort of docking station or  yeah.,ES2004b.A.argumentstructs.Erik.8,NONE
ES2004b.B.argumentstructs.Erik.20,B,1926.1,1926.66,Yes.,ES2004b.A.argumentstructs.Erik.8,ES2004b.B.argumentstructs.Erik.21
ES2004b.B.argumentstructs.Erik.21,B,1927.73,1929.46,Rechargeable with a docking station.,ES2004b.B.argumentstructs.Erik.20,ES2004b.B.argumentstructs.Erik.22
ES2004b.A.argumentstructs.20,A,1927.74,1928.16,Mm-hmm.,NONE,NONE
ES2004b.B.argumentstructs.41,B,1930.74,1932.61,So the rechargeable which would be your,NONE,NONE
ES2004b.C.argumentstructs.Erik.25,C,1933.38,1939.63,"Yeah yeah th yeah that that'd be fine, and also that would mean they wouldn't have to go out buying batteries all the time.",ES2004b.B.argumentstructs.Erik.22,"ES2004b.B.argumentstructs.Erik.23, ES2004b.B.argumentstructs.Erik.24"
ES2004b.B.argumentstructs.Erik.22,B,1934.02,1934.38,field.,ES2004b.B.argumentstructs.Erik.21,ES2004b.C.argumentstructs.Erik.25
ES2004b.B.argumentstructs.Erik.23,B,1936.13,1936.67,Okay.,ES2004b.C.argumentstructs.Erik.25,NONE
ES2004b.B.argumentstructs.Erik.24,B,1939.52,1942.91,"Yes, which it is cheaper in the long run as well",ES2004b.C.argumentstructs.Erik.25,NONE
ES2004b.B.argumentstructs.42,B,1959.5,1962.45,"how much you try and make it simple, um",NONE,NONE
