ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.Erik.11,B,1604.71,1623.92,"Okay, so the remote control functions. Um we've got the T_V_, we've got the video, now there's um I can't remember what it's called, the little code at the end of programme details, yes.",NONE,"ES2004b.C.argumentstructs.Erik.12, ES2004b.B.argumentstructs.Erik.12"
ES2004b.A.argumentstructs.18,A,1612.5,1636.89,Mm-hmm. Mm-hmm.,NONE,NONE
ES2004b.C.argumentstructs.Erik.12,C,1622.4,1623.51,Video plus.,ES2004b.B.argumentstructs.Erik.11,NONE
ES2004b.B.argumentstructs.Erik.12,B,1625.8,1658.77,"We could use that as an alternative to programming in times, things like that, is that  I always found that really easy when I discovered it, um because you've got your general record anyway so if you  there's a programme on you want to put record on, that's fine, but if you do want to tape something in two days time and you're not sure if you're going to, you put the number in and it's just a number, it's not a date, it's not a time, it's not a channel, it's not when it finishes, it's not anything like that, it's just a number.",ES2004b.B.argumentstructs.Erik.11,"ES2004b.C.argumentstructs.Erik.13, ES2004b.C.argumentstructs.Erik.14, ES2004b.D.argumentstructs.Erik.10, ES2004b.C.argumentstructs.Erik.18, ES2004b.C.argumentstructs.Erik.19"
ES2004b.C.argumentstructs.Erik.13,C,1631.98,1633.15,Yeah yeah.,ES2004b.B.argumentstructs.Erik.12,NONE
ES2004b.D.argumentstructs.25,D,1635.41,1635.6,Mm.,NONE,NONE
ES2004b.C.argumentstructs.Erik.14,C,1647.81,1649.11,Just whack in the number.,ES2004b.B.argumentstructs.Erik.12,ES2004b.C.argumentstructs.Erik.15
ES2004b.C.argumentstructs.33,C,1657.68,1658.94,yeah.,NONE,NONE
ES2004b.C.argumentstructs.Erik.15,C,1658.94,1665.55,"And you wouldn't you wouldn't need uh a whole host of extra buttons for that, you just need one 'cause you've already got all the numbers there anyway, yeah.",ES2004b.C.argumentstructs.Erik.14,ES2004b.B.argumentstructs.Erik.13
ES2004b.B.argumentstructs.Erik.13,B,1662.48,1666.41,No. You've already got the numbers for typing in anyway.,ES2004b.C.argumentstructs.Erik.15,NONE
ES2004b.D.argumentstructs.Erik.10,D,1665.69,1670.39,"Right, I've not come across that function but it sounds wonderful.",ES2004b.B.argumentstructs.Erik.12,ES2004b.B.argumentstructs.Erik.14
ES2004b.B.argumentstructs.Erik.14,B,1669.4,1694.55,"It is after um  if you look in the newspaper, T_V_ guide or any T_V_ guide there's a five, six digit number afterwards and that's the number you put in and it's recorded that it's going to be on on Tuesdays at ten o'clock on the seventeenth so you don't have to worry about dates and you don't have to worry about times, um and it has been around for quite a long time.",ES2004b.D.argumentstructs.Erik.10,"ES2004b.C.argumentstructs.Erik.16, ES2004b.D.argumentstructs.Erik.11, ES2004b.C.argumentstructs.Erik.17, ES2004b.D.argumentstructs.Erik.12"
ES2004b.C.argumentstructs.34,C,1671.85,1672.44,It's not,NONE,NONE
ES2004b.C.argumentstructs.Erik.16,C,1675.91,1676.4,Yeah.,ES2004b.B.argumentstructs.Erik.14,NONE
ES2004b.D.argumentstructs.26,D,1679.6,1680.27,"Ah, hmm.",NONE,NONE
ES2004b.D.argumentstructs.Erik.11,D,1690.16,1690.56,Right.,ES2004b.B.argumentstructs.Erik.14,NONE
ES2004b.C.argumentstructs.Erik.17,C,1693.47,1699.12,It's been been around for a long time it's just it's not very well advertised as to how to use it and things.,ES2004b.B.argumentstructs.Erik.14,ES2004b.B.argumentstructs.Erik.15
ES2004b.B.argumentstructs.Erik.15,B,1697.12,1702.881,No it's not um but I think if awareness was kind of brought to the forefront about that,ES2004b.C.argumentstructs.Erik.17,NONE
ES2004b.D.argumentstructs.Erik.12,D,1698.1,1698.61,Superb.,ES2004b.B.argumentstructs.Erik.14,NONE
ES2004b.D.argumentstructs.27,D,1700.76,1701.18,Mm.,NONE,NONE
ES2004b.C.argumentstructs.35,C,1702.08,1703.3,Mm.,NONE,NONE
ES2004b.D.argumentstructs.Erik.13,D,1702.49,1703.17,Yes.,ES2004b.C.argumentstructs.Erik.18,NONE
ES2004b.C.argumentstructs.Erik.18,C,1703.3,1714.57,Though if y if you've got something like Sky anyway you can just click on it  you can just press the button on the programme once and it'll record that programme when it's on and you press it on it twice and it'll record the whole series.,ES2004b.B.argumentstructs.Erik.12,ES2004b.D.argumentstructs.Erik.13
ES2004b.B.argumentstructs.38,B,1711.46,1711.79,Mm.,NONE,NONE
ES2004b.D.argumentstructs.28,D,1711.5,1718.01,"Right. Excellent, mm-hmm. Mm.",NONE,NONE
ES2004b.C.argumentstructs.Erik.19,C,1716.08,1722.03,So that  yeah. But just to have that function would be would be really good.,ES2004b.B.argumentstructs.Erik.12,"ES2004b.D.argumentstructs.Erik.14, ES2004b.B.argumentstructs.Erik.16"
ES2004b.D.argumentstructs.Erik.14,D,1720.74,1721.28,Right.,ES2004b.C.argumentstructs.Erik.19,NONE
ES2004b.B.argumentstructs.Erik.16,B,1722.21,1722.992,Okay so,ES2004b.C.argumentstructs.Erik.19,NONE
