ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004c.D.argumentstructs.12,D,1152.1,1159.44,It does mark quite easily too if you let it fall. I've got a mobile phone myself which is titanium and it does mark very easily if you drop it.,NONE,NONE
ES2004c.C.argumentstructs.24,C,1152.43,1158.51,"for a remote. Yeah, yeah.",NONE,NONE
ES2004c.D.argumentstructs.Erik.6,D,1159.44,1169.79,"I was just wondering if we make the basic mould out of plastic but have like a rubber cover that goes over, that would give the spongy feel, that also allows us to kind of have different fasciae for the phone.",NONE,"ES2004c.C.argumentstructs.Erik.14, ES2004c.C.argumentstructs.Erik.15, ES2004c.B.argumentstructs.Erik.13"
ES2004c.C.argumentstructs.Erik.14,C,1163.88,1165.12,"Rubber, yeah.",ES2004c.D.argumentstructs.Erik.6,NONE
ES2004c.C.argumentstructs.Erik.15,C,1168.63,1170.09,And you can peel them off yeah.,ES2004c.D.argumentstructs.Erik.6,NONE
ES2004c.B.argumentstructs.Erik.13,B,1169.94,1180.85,"So instead of the fascia that comes off being plastic, the fascia that comes off would be the rubber, like those pens that you get with the grip, that you can you can pull that off.",ES2004c.D.argumentstructs.Erik.6,"ES2004c.A.argumentstructs.Erik.6, ES2004c.D.argumentstructs.Erik.7, ES2004c.C.argumentstructs.Erik.16, ES2004c.A.argumentstructs.Erik.8, ES2004c.D.argumentstructs.Erik.8, ES2004c.B.argumentstructs.Erik.15"
ES2004c.A.argumentstructs.Erik.6,A,1169.98,1170.21,Yeah.,ES2004c.B.argumentstructs.Erik.13,NONE
ES2004c.D.argumentstructs.Erik.7,D,1174.31,1176.01,"Like a rubber sleeve almost, yeah.",ES2004c.B.argumentstructs.Erik.13,NONE
ES2004c.C.argumentstructs.Erik.16,C,1176.03,1176.74,Yeah.,ES2004c.B.argumentstructs.Erik.13,NONE
ES2004c.A.argumentstructs.Erik.7,A,1176.08,1177.18,Something like,NONE,NONE
ES2004c.C.argumentstructs.25,C,1178.32,1184.91,Yeah. Hmm. T,NONE,NONE
ES2004c.D.argumentstructs.13,D,1178.54,1181.26,Mm. Mm.,NONE,NONE
ES2004c.A.argumentstructs.Erik.8,A,1178.63,1180.68,Alright. That could be a good idea.,ES2004c.B.argumentstructs.Erik.13,ES2004c.A.argumentstructs.Erik.9
ES2004c.A.argumentstructs.Erik.9,A,1181.92,1183.95,It could  it would be comfortable to hold on also.,ES2004c.A.argumentstructs.Erik.8,ES2004c.B.argumentstructs.Erik.14
ES2004c.B.argumentstructs.Erik.14,B,1182.08,1182.52,Okay.,ES2004c.A.argumentstructs.Erik.9,NONE
ES2004c.B.argumentstructs.21,B,1183.71,1184.1,Mm.,NONE,NONE
ES2004c.D.argumentstructs.Erik.8,D,1184.63,1188.37,Very cheap way of changing the look of it and people can just buy a new one if they want to.,ES2004c.B.argumentstructs.Erik.13,ES2004c.C.argumentstructs.Erik.17
ES2004c.C.argumentstructs.Erik.17,C,1187.76,1188.24,Yeah.,ES2004c.D.argumentstructs.Erik.8,NONE
ES2004c.B.argumentstructs.Erik.15,B,1188.72,1192.63,Well that's been really popular with mobile phones so I don't see why not.,ES2004c.B.argumentstructs.Erik.13,ES2004c.D.argumentstructs.Erik.9
ES2004c.D.argumentstructs.Erik.9,D,1191.82,1193.2,Mm. Yeah,ES2004c.B.argumentstructs.Erik.15,NONE
ES2004c.D.argumentstructs.14,D,1193.2,1193.2,.,NONE,NONE
