ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.A.argumentstructs.31,A,1823.78,1825.01,Great.,NONE,NONE
ES2005c.A.argumentstructs.Erik.17,A,1825.01,1838.4,"Um as for the energy source um, you know, almost every remote control uses just batteries, but we don't have to be limited by that. We can use a hand-dynamo. Um I don't know what that means, we crank it ?",NONE,"ES2005c.C.argumentstructs.Erik.26, ES2005c.B.argumentstructs.Erik.8, ES2005c.C.argumentstructs.Erik.33"
ES2005c.C.argumentstructs.Erik.26,C,1836.37,1844.58,"Uh It's I think it's basically the more you move i it, it's got a wee thing inside that just kinda  powers it. Uh yeah.",ES2005c.A.argumentstructs.Erik.17,ES2005c.A.argumentstructs.Erik.18
ES2005c.A.argumentstructs.Erik.18,A,1842.11,1849.16,"Right, it's like those watches that you c So, this might be an idea for something that people really wanna grab, you can shake it if it's out of power.",ES2005c.C.argumentstructs.Erik.26,"ES2005c.D.argumentstructs.Erik.30, ES2005c.D.argumentstructs.Erik.32, ES2005c.A.argumentstructs.Erik.19"
ES2005c.D.argumentstructs.Erik.30,D,1844.77,1846.02,"Oh, a d a dynamo ?",ES2005c.A.argumentstructs.Erik.18,"ES2005c.B.argumentstructs.Erik.7, ES2005c.D.argumentstructs.Erik.31, ES2005c.C.argumentstructs.Erik.27"
ES2005c.B.argumentstructs.Erik.7,B,1846.9,1847.68,"Yeah,.",ES2005c.D.argumentstructs.Erik.30,NONE
ES2005c.D.argumentstructs.Erik.31,D,1848.42,1849.11,Yeah.,ES2005c.D.argumentstructs.Erik.30,NONE
ES2005c.D.argumentstructs.Erik.32,D,1850.56,1855.42,"Yeah, like with those watches that you kind of twist. Yeah that's quite cool.",ES2005c.A.argumentstructs.Erik.18,ES2005c.C.argumentstructs.Erik.28
ES2005c.C.argumentstructs.Erik.27,C,1850.86,1851.93,"Yeah, I like that, yeah.",ES2005c.D.argumentstructs.Erik.30,NONE
ES2005c.C.argumentstructs.Erik.28,C,1852.72,1853.02,Yeah.,ES2005c.D.argumentstructs.Erik.32,NONE
ES2005c.A.argumentstructs.Erik.19,A,1853.82,1861.189,"Okay. So if it if it's not working, I guess people's natural reaction anyway is to just shake the thing.",ES2005c.A.argumentstructs.Erik.18,"ES2005c.C.argumentstructs.Erik.29, ES2005c.C.argumentstructs.Erik.30"
ES2005c.C.argumentstructs.Erik.29,C,1854.28,1854.9,Okay.,ES2005c.A.argumentstructs.Erik.19,NONE
ES2005c.B.argumentstructs.19,B,1854.37,1855.81,But,NONE,NONE
ES2005c.C.argumentstructs.Erik.30,C,1856.16,1858.51,You shake it and scream at it. Yeah.,ES2005c.A.argumentstructs.Erik.19,NONE
ES2005c.B.argumentstructs.Erik.8,B,1858.47,1871.85,"But but do you think that it will be a good idea to use dynamo, tha these type of cells ? Because then people have to, well like if the cell is out of bat Yeah, to mo Yeah.",ES2005c.A.argumentstructs.Erik.17,"ES2005c.D.argumentstructs.Erik.33, ES2005c.C.argumentstructs.Erik.31"
ES2005c.D.argumentstructs.Erik.33,D,1859.08,1860.24,"Yeah, it is, yeah.",ES2005c.B.argumentstructs.Erik.8,NONE
