ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.B.argumentstructs.17,B,1592.33,1594.65,"we can do one thing,",NONE,NONE
ES2005c.B.argumentstructs.Erik.3,B,1594.65,1615.43,"we can just have a remote control and casings of different different shapes, different fruit shapes in such a way that a any casing can be could be fit into this mobile general piece. So whatever people want, like if somebody want it in banana shape, we will put that casing onto that mobile phone, okay, it will look l",NONE,"ES2005c.C.argumentstructs.Erik.17, ES2005c.D.argumentstructs.Erik.22, ES2005c.D.argumentstructs.Erik.26"
ES2005c.D.argumentstructs.49,D,1601.08,1613.74,Mm-hmm. Mm-hmm. Mm-hmm.,NONE,NONE
ES2005c.C.argumentstructs.Erik.17,C,1613.33,1614.93,So a selection of casings.,ES2005c.B.argumentstructs.Erik.3,NONE
ES2005c.B.argumentstructs.18,B,1615.43,1617.45,Uh yeah. In that w,NONE,NONE
ES2005c.D.argumentstructs.Erik.22,D,1616.84,1618.95,"Yeah, 'cause you said about disposable, didn't you ?",ES2005c.B.argumentstructs.Erik.3,"ES2005c.C.argumentstructs.Erik.18, ES2005c.B.argumentstructs.Erik.4"
ES2005c.C.argumentstructs.Erik.18,C,1616.89,1619.706,It kind of fi it fits with f fits with marketing um,ES2005c.D.argumentstructs.Erik.22,NONE
ES2005c.B.argumentstructs.Erik.4,B,1618.76,1620.27,S s sorry ?,ES2005c.D.argumentstructs.Erik.22,ES2005c.D.argumentstructs.Erik.23
ES2005c.D.argumentstructs.Erik.23,D,1620.37,1625.44,"You said about disposable earli people want disposable things so we could do that, like have a choice.",ES2005c.B.argumentstructs.Erik.4,ES2005c.B.argumentstructs.Erik.5
ES2005c.B.argumentstructs.Erik.5,B,1623.72,1656.34,"Uh like if this is a like if this is a mobile phone uh we will design casing in such a way like half of, we need not to have a full cover, we will just have a half of cover, okay ? If somebody wants it i in banana shape, we will fit banana shape casing onto that, so it will give a banana shape look. If somebody wanted in apple shape we will design that, we will put  we will put apple shape casing on that. It will give apple shape look. So in that way you can have any, that means whatever you want, without  uh yeah.",ES2005c.D.argumentstructs.Erik.23,"ES2005c.D.argumentstructs.Erik.24, ES2005c.C.argumentstructs.Erik.19"
ES2005c.D.argumentstructs.Erik.24,D,1633.09,1633.48,Yeah.,ES2005c.B.argumentstructs.Erik.5,NONE
ES2005c.C.argumentstructs.Erik.19,C,1635.35,1636.81,"Like like mobiles, yeah.",ES2005c.B.argumentstructs.Erik.5,ES2005c.D.argumentstructs.Erik.25
ES2005c.D.argumentstructs.Erik.25,D,1636.48,1636.89,Yeah.,ES2005c.C.argumentstructs.Erik.19,NONE
ES2005c.D.argumentstructs.50,D,1650.81,1651.16,Okay.,NONE,NONE
ES2005c.D.argumentstructs.Erik.26,D,1654.47,1659.06,"Okay. We still need the buttons in the same places thought, don't we ?",ES2005c.B.argumentstructs.Erik.3,ES2005c.B.argumentstructs.Erik.6
ES2005c.B.argumentstructs.Erik.6,B,1658.22,1686.576,"Yeah, button will be on the upper side, buttons will be the on the upper side. Yeah, buttons will be on the upper side, lower side we will just put the casing, so half of that will be look the  Yeah, not not the upper side. So from lower you can, it means while you are holding of  from this side you c you can have banana look or apple look, whatever. So in that way we need not to d have different different shape mobiles everything, we will just design casings fruit shape. And",ES2005c.D.argumentstructs.Erik.26,"ES2005c.C.argumentstructs.Erik.20, ES2005c.D.argumentstructs.Erik.27, ES2005c.D.argumentstructs.Erik.28, ES2005c.C.argumentstructs.Erik.21"
ES2005c.C.argumentstructs.Erik.20,C,1659.06,1660.6,"You can standardise those, I mean.",ES2005c.B.argumentstructs.Erik.6,NONE
ES2005c.D.argumentstructs.Erik.27,D,1661.99,1663.6,"Oh, that's the other side. Oh, okay.",ES2005c.B.argumentstructs.Erik.6,NONE
ES2005c.D.argumentstructs.Erik.28,D,1667.97,1670.56,"Oh, half a fruit. Oh, okay, okay.",ES2005c.B.argumentstructs.Erik.6,ES2005c.A.argumentstructs.Erik.15
ES2005c.D.argumentstructs.51,D,1677.1,1700.68,"Okay, okay. Okay. Mm mm.",NONE,NONE
ES2005c.A.argumentstructs.Erik.15,A,1686.07,1686.73,Yeah yeah.,ES2005c.D.argumentstructs.Erik.28,NONE
ES2005c.C.argumentstructs.Erik.21,C,1686.23,1699.37,"I think tho I think if you're gonna have a facia then you'd want to have it so that it does go over the buttons, 'cause when  if you think about it if they're wanting it, 'cause they want to look at it, if they're using it, and what they want to look at is facing away from them.",ES2005c.B.argumentstructs.Erik.6,ES2005c.C.argumentstructs.Erik.22
ES2005c.C.argumentstructs.47,C,1699.37,1700.12,It doesn't really,NONE,NONE
ES2005c.C.argumentstructs.Erik.22,C,1702.76,1713.68,"You know 'cause that'd be in the palm of their hand and they wouldn't be able to see it, unless you have sort of  you got the buttons options on one side, and you get the facia on the other side with a microphone so that you can place it face down.",ES2005c.C.argumentstructs.Erik.21,"ES2005c.D.argumentstructs.Erik.29, ES2005c.C.argumentstructs.Erik.23"
ES2005c.D.argumentstructs.Erik.29,D,1705.08,1705.53,Yeah.,ES2005c.C.argumentstructs.Erik.22,NONE
ES2005c.C.argumentstructs.Erik.23,C,1714.85,1717.744,"And you've got the facia, and you can just talk at the",ES2005c.C.argumentstructs.Erik.22,"ES2005c.C.argumentstructs.Erik.24, ES2005c.A.argumentstructs.Erik.16"
ES2005c.D.argumentstructs.52,D,1719.56,1719.88,Mm-hmm.,NONE,NONE
ES2005c.C.argumentstructs.Erik.24,C,1720.58,1724.12,Maybe.,ES2005c.C.argumentstructs.Erik.23,NONE
ES2005c.A.argumentstructs.Erik.16,A,1724.13,1725.824,"Okay, um so",ES2005c.C.argumentstructs.Erik.23,ES2005c.C.argumentstructs.Erik.25
ES2005c.C.argumentstructs.Erik.25,C,1727.48,1731.14,So you've narrowed it down to half a dozen options.,ES2005c.A.argumentstructs.Erik.16,NONE
