ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005c.A.argumentstructs.Erik.10,A,1142.72,1143.87,"and the colour is yellow, right ?",NONE,"ES2005c.D.argumentstructs.Erik.16, ES2005c.C.argumentstructs.Erik.13, ES2005c.C.argumentstructs.Erik.14"
ES2005c.D.argumentstructs.Erik.16,D,1144.36,1147.55,"Yeah, y  yellow incorporated, yeah.",ES2005c.A.argumentstructs.Erik.10,NONE
ES2005c.C.argumentstructs.Erik.13,C,1144.99,1148.736,"Or at least incorporating, yeah.",ES2005c.A.argumentstructs.Erik.10,ES2005c.A.argumentstructs.Erik.11
ES2005c.A.argumentstructs.Erik.11,A,1146.9,1149.21,"Yellow, okay.",ES2005c.C.argumentstructs.Erik.13,NONE
ES2005c.A.argumentstructs.30,A,1149.21,1170.57,Um. Mm' kay.,NONE,NONE
ES2005c.C.argumentstructs.45,C,1149.92,1152.86,I mean I forgot i we're sort of uh,NONE,NONE
ES2005c.C.argumentstructs.Erik.14,C,1154.02,1156.752,I don't know what other standard silver kind of,ES2005c.A.argumentstructs.Erik.10,ES2005c.D.argumentstructs.Erik.17
ES2005c.D.argumentstructs.47,D,1158.32,1158.59,Mm.,NONE,NONE
ES2005c.D.argumentstructs.Erik.17,D,1160.26,1172.37,"Yeah, the buttons w like, 'cause there's gonna be the the cover the the rubber or the plastic casing and then the buttons in probably two different colours or i if we're having buttons actually,",ES2005c.C.argumentstructs.Erik.14,ES2005c.A.argumentstructs.Erik.12
ES2005c.C.argumentstructs.46,C,1168.43,1173.91,Mm-hmm. Um.,NONE,NONE
ES2005c.A.argumentstructs.Erik.12,A,1172.08,1176.43,"So yellow for the body, and then what colour for the buttons ?",ES2005c.D.argumentstructs.Erik.17,ES2005c.C.argumentstructs.Erik.15
ES2005c.D.argumentstructs.48,D,1172.37,1173.07,I don,NONE,NONE
ES2005c.C.argumentstructs.Erik.15,C,1177.9,1180.75,Um I quite like the multi-coloured buttons myself.,ES2005c.A.argumentstructs.Erik.12,ES2005c.D.argumentstructs.Erik.18
ES2005c.D.argumentstructs.Erik.18,D,1180.48,1180.85,Yeah.,ES2005c.C.argumentstructs.Erik.15,ES2005c.A.argumentstructs.Erik.13
ES2005c.A.argumentstructs.Erik.13,A,1181.27,1183.0,So multi-coloured buttons.,ES2005c.D.argumentstructs.Erik.18,ES2005c.D.argumentstructs.Erik.19
ES2005c.D.argumentstructs.Erik.19,D,1182.84,1188.69,"You do have ones like um play  could be green or on and off is red, and stuff like that, yeah.",ES2005c.A.argumentstructs.Erik.13,"ES2005c.C.argumentstructs.Erik.16, ES2005c.D.argumentstructs.Erik.20"
ES2005c.C.argumentstructs.Erik.16,C,1188.32,1194.38,"Yeah or yeah a limit uh maybe even just a limited multi-colour so it it doesn't look too childish, perhaps.",ES2005c.D.argumentstructs.Erik.19,ES2005c.D.argumentstructs.Erik.21
ES2005c.D.argumentstructs.Erik.20,D,1189.72,1191.03,Makes it easy to use.,ES2005c.D.argumentstructs.Erik.19,NONE
ES2005c.D.argumentstructs.Erik.21,D,1193.76,1197.74,"Yeah, that's true, because that blue one did look quite hardish.",ES2005c.C.argumentstructs.Erik.16,ES2005c.A.argumentstructs.Erik.14
ES2005c.A.argumentstructs.Erik.14,A,1198.6,1198.91,Okay.,ES2005c.D.argumentstructs.Erik.21,NONE
