ae_id,speaker,start_time,end_time,sentence,source,targets
ES2006b.A.argumentstructs.Erik.1,A,1508.02,1548.08,"I think one of the very interesting things that came up in um  uh Ka Kate Cat Cat's uh presentation was um  uh this this issue of uh uh like voice recognition being more popular with uh younger people. So if we need to have a target group um then uh  I think as far as the m motto of our company is concerned, if we want to have something sleek and uh you know, good looking uh we are better off targeting a younger audience then um you know, people who are comparatively elderly.",NONE,"ES2006b.B.argumentstructs.Erik.1, ES2006b.A.argumentstructs.Erik.4, ES2006b.B.argumentstructs.Erik.7"
ES2006b.B.argumentstructs.16,B,1515.98,1515.98,.,NONE,NONE
ES2006b.A.argumentstructs.14,A,1548.08,1554.29,Um. Right.,NONE,NONE
ES2006b.C.argumentstructs.17,C,1548.34,1548.96,Mm-hmm.,NONE,NONE
ES2006b.B.argumentstructs.Erik.1,B,1549.66,1561.9,"Yeah, I mean that's the thing is that it didn't say in the survey, you know, whether, you know, these are the people that will pay more for a more stylish remote control, but I'm assuming, you know, yes.",ES2006b.A.argumentstructs.Erik.1,ES2006b.A.argumentstructs.Erik.2
ES2006b.A.argumentstructs.Erik.2,A,1561.54,1575.84,"Right. Bu but but the survey did say that f things like voice recognition are more popular with them, so if you want to put in something stylish, then uh th it'll certainly be more popular with this i ye with the younger people as compared to older people, yeah.",ES2006b.B.argumentstructs.Erik.1,"ES2006b.C.argumentstructs.Erik.1, ES2006b.C.argumentstructs.Erik.2"
ES2006b.C.argumentstructs.Erik.1,C,1562.55,1562.95,Yeah.,ES2006b.A.argumentstructs.Erik.2,NONE
ES2006b.D.argumentstructs.9,D,1562.89,1563.37,Mm-hmm.,NONE,NONE
ES2006b.C.argumentstructs.18,C,1570.55,1570.93,Mm-hmm.,NONE,NONE
ES2006b.C.argumentstructs.Erik.2,C,1574.92,1586.76,Yeah. Then again I guess the th where it was most popular was the fifteen to twenty five bracket and the  I don't know how often they're buying televisions.,ES2006b.A.argumentstructs.Erik.2,"ES2006b.A.argumentstructs.Erik.3, ES2006b.B.argumentstructs.Erik.2"
ES2006b.A.argumentstructs.15,A,1582.67,1583.59,"Right, and",NONE,NONE
ES2006b.A.argumentstructs.Erik.3,A,1585.56,1585.88,Right.,ES2006b.C.argumentstructs.Erik.2,NONE
ES2006b.B.argumentstructs.Erik.2,B,1586.95,1590.91,"Well, that's when you go to uni, isn't it ? So, you know",ES2006b.C.argumentstructs.Erik.2,ES2006b.C.argumentstructs.Erik.3
ES2006b.A.argumentstructs.16,A,1587.25,1587.53,Mm.,NONE,NONE
ES2006b.C.argumentstructs.Erik.3,C,1589.19,1600.8,"Yeah, but you don't have much money, generally. I would've thought it's it's more that twenty five to thirty five, when people are really moving out and they've got their first job and they want their nice toys and",ES2006b.B.argumentstructs.Erik.2,ES2006b.D.argumentstructs.Erik.1
ES2006b.D.argumentstructs.Erik.1,D,1591.51,1595.3,"Yeah. Yeah, you share a television or something that  yeah.",ES2006b.C.argumentstructs.Erik.3,NONE
