ae_id,speaker,start_time,end_time,sentence,source,targets
ES2006d.A.argumentstructs.9,A,666.62,667.72,One more thing is that i,NONE,NONE
ES2006d.B.argumentstructs.Erik.1,B,670.21,670.72,Okay.,ES2006d.A.argumentstructs.Erik.1,NONE
ES2006d.A.argumentstructs.Erik.1,A,670.89,677.536,"It might be a little clumsy when when it opens up, right, so it opens on the side. So",NONE,"ES2006d.B.argumentstructs.Erik.1, ES2006d.D.argumentstructs.Erik.1, ES2006d.B.argumentstructs.Erik.3"
ES2006d.C.argumentstructs.10,C,675.56,676.28,Mm-hmm.,NONE,NONE
ES2006d.D.argumentstructs.Erik.1,D,675.6,686.15,"No, yeah, but mm but we have it  nicely  with the hinges here  yeah. So it won't be a problem, it will be  and it will be  it won't be heavy.",ES2006d.A.argumentstructs.Erik.1,ES2006d.A.argumentstructs.Erik.2
ES2006d.A.argumentstructs.Erik.2,A,679.22,684.464,"Yeah yeah yeah, I mean  yeah. So you guys can decide wh whether",ES2006d.D.argumentstructs.Erik.1,"ES2006d.C.argumentstructs.Erik.1, ES2006d.B.argumentstructs.Erik.2"
ES2006d.C.argumentstructs.Erik.1,C,680.67,681.09,Yeah.,ES2006d.A.argumentstructs.Erik.2,NONE
ES2006d.B.argumentstructs.Erik.2,B,681.6,682.83,Yeah. Yeah.,ES2006d.A.argumentstructs.Erik.2,NONE
ES2006d.A.argumentstructs.10,A,685.96,686.21,Oops.,NONE,NONE
ES2006d.B.argumentstructs.Erik.3,B,686.56,689.01,I th I think the alternative is flipping from the top.,ES2006d.A.argumentstructs.Erik.1,ES2006d.D.argumentstructs.Erik.2
ES2006d.D.argumentstructs.Erik.2,D,689.59,696.63,"Yeah well yeah, but it's it's a bit long. It's a little bit long. Well, I mean it can be opened like this of course and yeah.",ES2006d.B.argumentstructs.Erik.3,"ES2006d.A.argumentstructs.Erik.3, ES2006d.C.argumentstructs.Erik.2"
ES2006d.A.argumentstructs.Erik.3,A,689.62,693.78,"Yeah, but we  which makes it kind of really big, yeah.",ES2006d.D.argumentstructs.Erik.2,NONE
ES2006d.C.argumentstructs.Erik.2,C,690.88,692.67,The length is gonna be difficu,ES2006d.D.argumentstructs.Erik.2,"ES2006d.B.argumentstructs.Erik.4, ES2006d.B.argumentstructs.Erik.5"
ES2006d.B.argumentstructs.Erik.4,B,693.57,694.589,Yeah um,ES2006d.C.argumentstructs.Erik.2,NONE
ES2006d.B.argumentstructs.Erik.5,B,695.56,697.91,"But you were thinking about making it smaller, yeah ?",ES2006d.C.argumentstructs.Erik.2,ES2006d.D.argumentstructs.Erik.3
ES2006d.C.argumentstructs.11,C,698.75,699.18,Mm.,NONE,NONE
ES2006d.B.argumentstructs.14,B,699.48,700.1,Because,NONE,NONE
ES2006d.D.argumentstructs.Erik.3,D,699.77,701.19,S uh slightly smaller.,ES2006d.B.argumentstructs.Erik.5,ES2006d.B.argumentstructs.Erik.6
ES2006d.A.argumentstructs.11,A,701.26,704.87,"and two, it might interfere with the I_R_ channel.",NONE,NONE
ES2006d.B.argumentstructs.Erik.6,B,701.48,704.88,So you have to keep that side flat.,ES2006d.D.argumentstructs.Erik.3,ES2006d.D.argumentstructs.Erik.4
ES2006d.D.argumentstructs.Erik.4,D,705.13,707.55,"Yeah, but if we flip it open only as much as that.",ES2006d.B.argumentstructs.Erik.6,"ES2006d.A.argumentstructs.Erik.4, ES2006d.B.argumentstructs.Erik.7"
ES2006d.A.argumentstructs.Erik.4,A,707.9,708.53,Okay.,ES2006d.D.argumentstructs.Erik.4,NONE
ES2006d.B.argumentstructs.Erik.7,B,709.09,713.94,"So it works like a mobile phone flipping, but y you know, as long as that side's flat, than that will work.",ES2006d.D.argumentstructs.Erik.4,ES2006d.A.argumentstructs.Erik.5
ES2006d.A.argumentstructs.Erik.5,A,714.21,714.45,Right.,ES2006d.B.argumentstructs.Erik.7,NONE
