ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007b.C.argumentstructs.Erik.1,C,510.33,526.21,"One question I have, and I don't know how much control we have over this is um, as far as the infra-red signal, do we have control over, you know, how far away you can be from the receiving unit, the the T_V_, and still have it be operational ? I mean, maybe we want one with a strong signal stream.",NONE,"ES2007b.A.argumentstructs.Erik.1, ES2007b.B.argumentstructs.Erik.1, ES2007b.B.argumentstructs.Erik.2, ES2007b.D.argumentstructs.Erik.2"
ES2007b.A.argumentstructs.Erik.1,A,526.44,528.85,How far away is your television ?,ES2007b.C.argumentstructs.Erik.1,ES2007b.A.argumentstructs.Erik.2
ES2007b.B.argumentstructs.Erik.1,B,527.71,528.08,Yeah.,ES2007b.C.argumentstructs.Erik.1,NONE
ES2007b.A.argumentstructs.Erik.2,A,529.92,540.23,"It's never gonna be more than it's never gonna be, you kno unless you've got a T_V_ the size of a football pitch, it's not  doesn't have to go that far, does it ? Doesn't have to go through a wall, because you're not gonna be looking through a wall.",ES2007b.A.argumentstructs.Erik.1,ES2007b.D.argumentstructs.Erik.1
ES2007b.C.argumentstructs.8,C,530.08,530.19,Uh,NONE,NONE
ES2007b.B.argumentstructs.9,B,530.92,532.33,"Well, the thing is uh you you don't",NONE,NONE
ES2007b.D.argumentstructs.Erik.1,D,541.19,550.575,"Yeah, but if like you're on the phone in the other room and you need turn television off or something and you don't really want to go into the  put the telephone down, and go into the other room.",ES2007b.A.argumentstructs.Erik.2,ES2007b.C.argumentstructs.Erik.2
ES2007b.C.argumentstructs.Erik.2,C,541.34,541.89,That's true.,ES2007b.D.argumentstructs.Erik.1,NONE
ES2007b.B.argumentstructs.Erik.2,B,549.17,554.84,"Well, we can make the the signal strong enough to go through walls if if you fancy it.",ES2007b.C.argumentstructs.Erik.1,NONE
ES2007b.B.argumentstructs.10,B,556.58,559.53,I didn't think about that but,NONE,NONE
ES2007b.D.argumentstructs.Erik.2,D,558.92,560.6,How about Bluetooth ?,ES2007b.C.argumentstructs.Erik.1,"ES2007b.D.argumentstructs.Erik.3, ES2007b.D.argumentstructs.Erik.4, ES2007b.B.argumentstructs.Erik.5"
ES2007b.D.argumentstructs.13,D,562.77,563.76,"Instead of using infra-red,",NONE,NONE
ES2007b.D.argumentstructs.Erik.3,D,564.98,565.52,use Bluetooth.,ES2007b.D.argumentstructs.Erik.2,ES2007b.B.argumentstructs.Erik.3
ES2007b.B.argumentstructs.Erik.3,B,566.98,567.43,Why not ?,ES2007b.D.argumentstructs.Erik.3,NONE
ES2007b.D.argumentstructs.Erik.4,D,569.22,570.27,Isn't that a better signal ?,ES2007b.D.argumentstructs.Erik.2,ES2007b.B.argumentstructs.Erik.4
ES2007b.B.argumentstructs.Erik.4,B,569.28,574.72,I just think that it's it's gonna cost more and I'm I'm not sure it's  you're gonna use it.,ES2007b.D.argumentstructs.Erik.4,ES2007b.A.argumentstructs.Erik.3
ES2007b.A.argumentstructs.Erik.3,A,572.15,578.15,"Yeah, yeah I d it sounds like you  you w don't wanna overcomplicate things. You know we don't need it.",ES2007b.B.argumentstructs.Erik.4,NONE
ES2007b.D.argumentstructs.14,D,576.89,602.36,. Mm.,NONE,NONE
ES2007b.B.argumentstructs.Erik.5,B,577.66,585.88,"It's a fancy idea uh it's quite nice, but then I don't th I dunno, either you  if you wanna watch the telly you're in the room, you are gonna",ES2007b.D.argumentstructs.Erik.2,"ES2007b.A.argumentstructs.Erik.4, ES2007b.B.argumentstructs.Erik.7, ES2007b.D.argumentstructs.Erik.5"
ES2007b.A.argumentstructs.Erik.4,A,585.12,602.144,"Yeah, exactly. Basically, we're we're desi we're designing and marketing a television remote control unit. We're not w w w w designing something that you can plug in a headset to and and you know connect to your laptop computer and stuff. It's uh",ES2007b.B.argumentstructs.Erik.5,NONE
ES2007b.B.argumentstructs.11,B,586.46,586.67,But,NONE,NONE
ES2007b.B.argumentstructs.Erik.7,B,603.07,606.43,"Oh, we can we can keep the idea if you i",ES2007b.B.argumentstructs.Erik.5,ES2007b.B.argumentstructs.Erik.6
ES2007b.B.argumentstructs.Erik.6,B,609.12,612.256,"We can see at a later stage, maybe, I don't",ES2007b.B.argumentstructs.Erik.7,NONE
ES2007b.D.argumentstructs.Erik.5,D,609.45,610.14,'S just an idea.,ES2007b.B.argumentstructs.Erik.5,ES2007b.A.argumentstructs.Erik.5
ES2007b.A.argumentstructs.Erik.5,A,612.8,613.32,Okay.,ES2007b.D.argumentstructs.Erik.5,NONE
ES2007b.A.argumentstructs.20,A,632.22,643.73,"Right, well done, Catherine. Um Gab Gabriel let's uh let's hear from you on on on such things.",NONE,NONE
