ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007b.D.argumentstructs.Erik.6,D,1201.13,1233.99,"So voice activation. So and this was what we came up with. Then if you look fifteen to twenty five  this is age, sorry,  age groups. So fifteen to twenty five said like ninety two  ninety one per cent of them said yes.  Um  so basically the majority except for the forty five to fifty five year olds for some reason didn't want a voice activated one. And neither did the older generation, but the younger generation who we are catering for, like who have most of the money nowadays, do want a voice act speech recognition in a remote.",NONE,"ES2007b.A.argumentstructs.Erik.6, ES2007b.A.argumentstructs.Erik.7, ES2007b.C.argumentstructs.Erik.5"
ES2007b.A.argumentstructs.Erik.6,A,1215.34,1216.74,"So there you go, yeah.",ES2007b.D.argumentstructs.Erik.6,NONE
ES2007b.A.argumentstructs.Erik.7,A,1232.12,1235.02,Uh but do the younger generation have the money ?,ES2007b.D.argumentstructs.Erik.6,"ES2007b.A.argumentstructs.Erik.8, ES2007b.C.argumentstructs.Erik.3, ES2007b.A.argumentstructs.Erik.10"
ES2007b.C.argumentstructs.Erik.3,C,1234.53,1238.35,"No I would I would say the older the older people, yeah.",ES2007b.A.argumentstructs.Erik.7,ES2007b.D.argumentstructs.Erik.7
ES2007b.A.argumentstructs.Erik.8,A,1235.02,1238.32,"They they don't. It's older generation, they're the ones that have gone out and",ES2007b.A.argumentstructs.Erik.7,NONE
ES2007b.D.argumentstructs.Erik.7,D,1237.26,1246.242,"Well the twenty five to thirty five year old, and thirty five, and the thirty five to forty five, forty five point seven per cent  say no, so",ES2007b.C.argumentstructs.Erik.3,ES2007b.A.argumentstructs.Erik.9
ES2007b.A.argumentstructs.Erik.9,A,1244.81,1254.85,"People people from the age of thirty f there's a big drop off there. For people up to the age of thirty five, you're kinda saying, yeah, they want it.",ES2007b.D.argumentstructs.Erik.7,NONE
ES2007b.A.argumentstructs.Erik.10,A,1255.92,1274.46,"Um but no they're not  sort of  most people that have the money are people from the age of thirty five to fifty five, uh 'cause they're the ones that have been working for twenty years. Um  d and tha and that's a  that's quite a minority there, so yeah, it's not even like fifty fifty that's th thirty five per cent.",ES2007b.A.argumentstructs.Erik.7,"ES2007b.C.argumentstructs.Erik.4, ES2007b.D.argumentstructs.Erik.8"
ES2007b.C.argumentstructs.Erik.4,C,1262.21,1263.71,"Yeah, that would be my guess as well.",ES2007b.A.argumentstructs.Erik.10,NONE
ES2007b.D.argumentstructs.15,D,1267.33,1267.84,Well,NONE,NONE
ES2007b.D.argumentstructs.Erik.8,D,1274.71,1275.53,These guys are growing up.,ES2007b.A.argumentstructs.Erik.10,NONE
ES2007b.C.argumentstructs.Erik.5,C,1277.97,1285.397,"What about just from the the prospective of our manufacturing cost ? I mean if if it's twelve fifty per unit. I mean, okay, there's",ES2007b.D.argumentstructs.Erik.6,"ES2007b.A.argumentstructs.Erik.11, ES2007b.D.argumentstructs.Erik.9"
ES2007b.A.argumentstructs.Erik.11,A,1283.0,1283.66,Yeah.,ES2007b.C.argumentstructs.Erik.5,NONE
ES2007b.D.argumentstructs.Erik.9,D,1284.93,1286.74,Voice activation might not be the best.,ES2007b.C.argumentstructs.Erik.5,ES2007b.A.argumentstructs.Erik.12
ES2007b.A.argumentstructs.Erik.12,A,1286.55,1289.84,I would say scra I'd say scrap that straight off.,ES2007b.D.argumentstructs.Erik.9,NONE
