ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008b.D.argumentstructs.Erik.3,D,1635.46,1650.15,"Can you like  I mean this may be too complicated, but, I wish I had something to explain it, like if it was just a simple, either this way or this way, that had like the main buttons and then you could like pull something out, kind of and like you got the rest the buttons, but the rest of them like went in. Do you know what I'm saying ?",NONE,"ES2008b.C.argumentstructs.Erik.4, ES2008b.C.argumentstructs.Erik.5, ES2008b.A.argumentstructs.Erik.4, ES2008b.D.argumentstructs.Erik.4, ES2008b.A.argumentstructs.Erik.5"
ES2008b.C.argumentstructs.Erik.4,C,1635.94,1636.16,Yeah.,ES2008b.D.argumentstructs.Erik.3,NONE
ES2008b.B.argumentstructs.13,B,1646.6,1674.27,Ooh. Ooh. Mm-hmm.,NONE,NONE
ES2008b.C.argumentstructs.Erik.5,C,1649.1,1670.04,"The remote  There are remote controls like that, yeah. Like some T_V_s they have a sort of uh a sliding screen on the remote control of it that hides all the complicated buttons. So if you wanna do something complicated like programme your television or re-tune it, then you you open up this little hatch or or slide the screen down and there's all the  all the special buttons.",ES2008b.D.argumentstructs.Erik.3,NONE
ES2008b.A.argumentstructs.Erik.4,A,1650.25,1651.39,Kind of pull out of the side.,ES2008b.D.argumentstructs.Erik.3,NONE
ES2008b.A.argumentstructs.11,A,1657.54,1686.73,Mm. Mm-hmm. Mm-hmm. Mm-hmm. Mm-hmm.,NONE,NONE
ES2008b.D.argumentstructs.9,D,1667.68,1685.15,"Mm-hmm. 'Cause then 's like people who don't wanna ever look at them, never even have to see them and if you like get the instruction manual that comes with it and you just don't even read it then you'll never even know that those things can pull out. And you're a happy person and everyone else doesn't have to have like two remotes, one that has the easy ones and one that has",NONE,NONE
ES2008b.C.argumentstructs.Erik.6,C,1674.32,1674.58,Yeah.,ES2008b.D.argumentstructs.Erik.4,NONE
ES2008b.B.argumentstructs.Erik.3,B,1685.73,1687.41,"Yeah, that's a good idea.",ES2008b.D.argumentstructs.Erik.4,NONE
ES2008b.D.argumentstructs.Erik.4,D,1685.76,1688.03,"more complicated ones, but 's all still in one.",ES2008b.D.argumentstructs.Erik.3,"ES2008b.C.argumentstructs.Erik.6, ES2008b.B.argumentstructs.Erik.3, ES2008b.C.argumentstructs.Erik.7"
ES2008b.C.argumentstructs.16,C,1685.96,1686.14,Yeah.,NONE,NONE
ES2008b.C.argumentstructs.Erik.7,C,1687.33,1688.47,"I think that's a good idea, yeah.",ES2008b.D.argumentstructs.Erik.4,NONE
ES2008b.B.argumentstructs.14,B,1688.82,1689.01,Mm.,NONE,NONE
ES2008b.A.argumentstructs.Erik.5,A,1690.93,1700.72,"Um we have to be careful that that that doesn't impede um the chip transmitting information, but um that's gonna be mostly technological thing. Um.",ES2008b.D.argumentstructs.Erik.3,"ES2008b.D.argumentstructs.Erik.5, ES2008b.B.argumentstructs.Erik.4, ES2008b.C.argumentstructs.Erik.8"
ES2008b.D.argumentstructs.Erik.5,D,1695.91,1696.22,Yeah.,ES2008b.A.argumentstructs.Erik.5,NONE
ES2008b.B.argumentstructs.Erik.4,B,1696.69,1699.2,Good point. Yeah.,ES2008b.A.argumentstructs.Erik.5,NONE
ES2008b.C.argumentstructs.Erik.8,C,1696.71,1697.07,Yeah.,ES2008b.A.argumentstructs.Erik.5,NONE
