ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.C.argumentstructs.39,C,1386.29,1387.07,Depends.,NONE,NONE
ES2008c.A.argumentstructs.32,A,1386.57,1387.46,Harder to push.,NONE,NONE
ES2008c.C.argumentstructs.Erik.11,C,1387.07,1390.49,"When you when you use a remote, do you press the buttons with your thumb, usually ?",NONE,"ES2008c.D.argumentstructs.Erik.4, ES2008c.C.argumentstructs.Erik.12"
ES2008c.D.argumentstructs.Erik.4,D,1391.45,1392.14,Yeah.,ES2008c.C.argumentstructs.Erik.11,NONE
ES2008c.C.argumentstructs.Erik.12,C,1391.8,1392.46,Or your fingers ?,ES2008c.C.argumentstructs.Erik.11,"ES2008c.A.argumentstructs.Erik.8, ES2008c.C.argumentstructs.Erik.13"
ES2008c.A.argumentstructs.Erik.8,A,1393.72,1395.726,I usually hold it in one hand. Maybe,ES2008c.C.argumentstructs.Erik.12,NONE
ES2008c.C.argumentstructs.Erik.13,C,1396.33,1402.13,"Or maybe you want something that's shaped like a mobile phone, so you you hold it in one hand, and you press the buttons with your thumb.",ES2008c.C.argumentstructs.Erik.12,"ES2008c.B.argumentstructs.Erik.15, ES2008c.A.argumentstructs.Erik.9, ES2008c.B.argumentstructs.Erik.19"
ES2008c.B.argumentstructs.54,B,1396.6,1396.83,I,NONE,NONE
ES2008c.B.argumentstructs.Erik.15,B,1401.32,1403.55,"Yeah, that's ts how I tend to do it.",ES2008c.C.argumentstructs.Erik.13,NONE
ES2008c.A.argumentstructs.Erik.9,A,1401.33,1405.0,But then the buttons would have to be very small. Don't you think ?,ES2008c.C.argumentstructs.Erik.13,"ES2008c.D.argumentstructs.Erik.5, ES2008c.B.argumentstructs.Erik.16, ES2008c.A.argumentstructs.Erik.10"
ES2008c.D.argumentstructs.Erik.5,D,1404.29,1408.2,"Yeah, 'cause otherwise your fingers can't move around. But I like i",ES2008c.A.argumentstructs.Erik.9,NONE
ES2008c.B.argumentstructs.Erik.16,B,1404.65,1407.66,No just thumb-sized. Jus,ES2008c.A.argumentstructs.Erik.9,NONE
ES2008c.A.argumentstructs.Erik.10,A,1407.37,1410.04,"But I mean in order to get to all of them, you know.",ES2008c.A.argumentstructs.Erik.9,"ES2008c.C.argumentstructs.Erik.14, ES2008c.B.argumentstructs.Erik.17, ES2008c.A.argumentstructs.Erik.11"
