ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.A.argumentstructs.Erik.14,A,1699.82,1706.32,"Um oh bu I guess maybe if we decided on like a simple, a regular, or an advanced chip, maybe.",NONE,"ES2008c.B.argumentstructs.Erik.27, ES2008c.B.argumentstructs.Erik.28"
ES2008c.B.argumentstructs.Erik.27,B,1705.12,1716.39,"Right. Well okay, here's the here's the thing on the chips that I that I got. Um simple, regular, advanced chip on print. The chip on print includes an infrared sensor, so we don't have to worry about that.",ES2008c.A.argumentstructs.Erik.14,NONE
ES2008c.B.argumentstructs.56,B,1717.52,1718.17,"Um,",NONE,NONE
ES2008c.B.argumentstructs.Erik.28,B,1719.35,1732.64,"'kay, the pushbutton  if we're gonna have pushbuttons, they require a simple chip, but a scroll wheel requires a regular chip, and an L_C_D_ requires advanced. Do we want a scroll wheel, or do we just want pushbuttons ?",ES2008c.A.argumentstructs.Erik.14,"ES2008c.C.argumentstructs.Erik.21, ES2008c.B.argumentstructs.Erik.29, ES2008c.D.argumentstructs.Erik.9"
ES2008c.C.argumentstructs.40,C,1734.16,1734.56,Um,NONE,NONE
ES2008c.C.argumentstructs.Erik.21,C,1737.04,1742.42,I don't think we ne really need the scroll whe wheel. I mean it might be nice for changing the volume.,ES2008c.B.argumentstructs.Erik.28,ES2008c.A.argumentstructs.Erik.15
ES2008c.B.argumentstructs.57,B,1742.05,1742.53,Oh.,NONE,NONE
ES2008c.A.argumentstructs.Erik.15,A,1742.29,1749.088,"It would be nice for changing the volume, but I don't know how useful it'd be for changing the channel. 'Cause you don't have control over numbers or",ES2008c.C.argumentstructs.Erik.21,ES2008c.C.argumentstructs.Erik.22
ES2008c.C.argumentstructs.41,C,1742.42,1743.56,Uh but,NONE,NONE
ES2008c.C.argumentstructs.Erik.22,C,1746.16,1747.58,I don't think it would really work.,ES2008c.A.argumentstructs.Erik.15,ES2008c.C.argumentstructs.Erik.23
ES2008c.C.argumentstructs.Erik.23,C,1749.03,1751.43,"Yeah, you really need buttons for changing a channel.",ES2008c.C.argumentstructs.Erik.22,NONE
ES2008c.B.argumentstructs.Erik.29,B,1749.35,1759.64,"Yeah, th it'd be it'd be handy for going through if there was an on-screen menu of your channel choices, than you can scroll down on the scroll.",ES2008c.B.argumentstructs.Erik.28,NONE
ES2008c.D.argumentstructs.16,D,1757.77,1762.54,"But if you c if you could scroll through the channels, and then the volume would just be",NONE,NONE
ES2008c.C.argumentstructs.Erik.24,C,1758.01,1758.22,Yeah.,ES2008c.D.argumentstructs.Erik.9,NONE
ES2008c.B.argumentstructs.Erik.30,B,1761.22,1761.66,Yeah.,ES2008c.D.argumentstructs.Erik.9,NONE
ES2008c.A.argumentstructs.34,A,1762.08,1764.81,"We have five minutes left for the meeting, so.",NONE,NONE
ES2008c.D.argumentstructs.Erik.9,D,1764.03,1785.84,"and the volume would just be like the same way, forward and backward as  I'm just thinking like it would make it much like sleeker sort of looking. And otherwise, no matter how may buttons we have, we're gonna have like, you know, black with red sticking out and th no  it's gonna inevitably sort of start looking like those group of sort of ugly ones that we saw stacked up.",ES2008c.B.argumentstructs.Erik.28,"ES2008c.C.argumentstructs.Erik.24, ES2008c.B.argumentstructs.Erik.30, ES2008c.A.argumentstructs.Erik.16"
ES2008c.B.argumentstructs.58,B,1766.16,1790.93,Yeah. Yeah. Hmm. F,NONE,NONE
ES2008c.C.argumentstructs.42,C,1773.49,1782.59,Yeah. Yeah.,NONE,NONE
ES2008c.A.argumentstructs.Erik.16,A,1787.27,1790.48,"So, have a scroll for volume ?",ES2008c.D.argumentstructs.Erik.9,ES2008c.B.argumentstructs.Erik.31
ES2008c.B.argumentstructs.Erik.31,B,1790.93,1793.06,or for all those secret functions ?,ES2008c.A.argumentstructs.Erik.16,ES2008c.B.argumentstructs.Erik.32
ES2008c.A.argumentstructs.35,A,1792.12,1792.26,F,NONE,NONE
ES2008c.B.argumentstructs.Erik.32,B,1793.95,1801.94,When you get on the on-screen menu of all your functions that your remote could do for you without the buttons and you could have a scroll wheel to go through those menus.,ES2008c.B.argumentstructs.Erik.31,ES2008c.C.argumentstructs.Erik.25
ES2008c.C.argumentstructs.Erik.25,C,1802.45,1806.74,"I think  yeah, I think a scroll wheel would be nice, but it's not necessary.",ES2008c.B.argumentstructs.Erik.32,ES2008c.B.argumentstructs.Erik.33
ES2008c.B.argumentstructs.Erik.33,B,1806.71,1812.7,"Right. So we could either go with a simple or a regular chip, depending  and maybe we could table that decision for later.",ES2008c.C.argumentstructs.Erik.25,NONE
ES2008c.C.argumentstructs.43,C,1806.74,1807.19,Um,NONE,NONE
