ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.B.argumentstructs.Erik.34,B,1825.27,1827.81,"Well, let's think about that while we talk about the case.",NONE,ES2008c.A.argumentstructs.Erik.17
ES2008c.A.argumentstructs.Erik.17,A,1827.4,1828.18,"Okay, let's do case.",ES2008c.B.argumentstructs.Erik.34,"ES2008c.B.argumentstructs.Erik.35, ES2008c.A.argumentstructs.Erik.22, ES2008c.B.argumentstructs.Erik.41"
ES2008c.B.argumentstructs.Erik.35,B,1828.53,1833.62,"Uh I'm kinda liking the idea of latex, if if spongy is the in thing.",ES2008c.A.argumentstructs.Erik.17,"ES2008c.C.argumentstructs.Erik.26, ES2008c.A.argumentstructs.Erik.18"
ES2008c.C.argumentstructs.Erik.26,C,1831.99,1832.2,Yeah.,ES2008c.B.argumentstructs.Erik.35,NONE
ES2008c.A.argumentstructs.Erik.18,A,1834.14,1838.6,"I'm a little um I'm a little hesitant about it, because I'm worried about protecting the stuff on the inside.",ES2008c.B.argumentstructs.Erik.35,"ES2008c.B.argumentstructs.Erik.36, ES2008c.D.argumentstructs.Erik.10"
ES2008c.B.argumentstructs.Erik.36,B,1839.11,1839.52,Okay.,ES2008c.A.argumentstructs.Erik.18,NONE
ES2008c.A.argumentstructs.36,A,1839.81,1840.4,Um,NONE,NONE
ES2008c.D.argumentstructs.Erik.10,D,1840.6,1843.19,"Oh could it be hard, and then something around it ?",ES2008c.A.argumentstructs.Erik.18,"ES2008c.B.argumentstructs.Erik.37, ES2008c.A.argumentstructs.Erik.19, ES2008c.B.argumentstructs.Erik.38"
ES2008c.B.argumentstructs.Erik.37,B,1842.01,1844.311,"Uh yeah, everything I've",ES2008c.D.argumentstructs.Erik.10,NONE
ES2008c.A.argumentstructs.Erik.19,A,1843.27,1848.61,"Yeah, I would be more okay with like a titanium actual thing and then maybe like a mobile phone kind of thing.",ES2008c.D.argumentstructs.Erik.10,NONE
ES2008c.B.argumentstructs.Erik.38,B,1846.33,1871.77,"N oh wha what I've what I've seen, just not related to this, but of latex cases before, is that  there's uh like a hard plastic inside, and it's just covered with the latex. Not too thick a layer of latex, just enough to be grippable, like bike handles or or anything that you've seen like that. The inside is hard. I don't think we need to worry about protecting the circuit board, I think that that's done for us.",ES2008c.D.argumentstructs.Erik.10,"ES2008c.A.argumentstructs.Erik.20, ES2008c.A.argumentstructs.Erik.21"
ES2008c.A.argumentstructs.37,A,1851.38,1851.76,Mm-hmm.,NONE,NONE
ES2008c.A.argumentstructs.Erik.20,A,1858.65,1859.22,Okay.,ES2008c.B.argumentstructs.Erik.38,NONE
ES2008c.A.argumentstructs.38,A,1860.4,1870.35,Mm-hmm. Okay. Ge o,NONE,NONE
ES2008c.A.argumentstructs.Erik.21,A,1871.89,1875.41,Okay. So we uh we do want latex.,ES2008c.B.argumentstructs.Erik.38,"ES2008c.C.argumentstructs.Erik.27, ES2008c.B.argumentstructs.Erik.39"
ES2008c.C.argumentstructs.Erik.27,C,1872.73,1873.41,'Kay. Yeah.,ES2008c.A.argumentstructs.Erik.21,NONE
ES2008c.C.argumentstructs.44,C,1875.83,1876.0,Yeah.,NONE,NONE
ES2008c.B.argumentstructs.Erik.39,B,1876.23,1876.4,Yeah.,ES2008c.A.argumentstructs.Erik.21,NONE
ES2008c.A.argumentstructs.39,A,1877.65,1877.92,Okay.,NONE,NONE
ES2008c.A.argumentstructs.Erik.22,A,1879.38,1884.8,"Latex. Um and probably in colours, maybe fruity, vegetable colours.",ES2008c.A.argumentstructs.Erik.17,"ES2008c.B.argumentstructs.Erik.40, ES2008c.A.argumentstructs.Erik.23"
ES2008c.B.argumentstructs.Erik.40,B,1885.42,1885.68,Yeah.,ES2008c.A.argumentstructs.Erik.22,NONE
ES2008c.A.argumentstructs.Erik.23,A,1886.36,1896.01,Fruity colours.  Okay um let's go to the ufe user interface then we'll come back to the chip I suppose.,ES2008c.A.argumentstructs.Erik.22,NONE
ES2008c.B.argumentstructs.Erik.41,B,1896.18,1899.75,"Oh and we want a curved case, yeah ? Or a double-curved ?",ES2008c.A.argumentstructs.Erik.17,"ES2008c.A.argumentstructs.Erik.24, ES2008c.D.argumentstructs.Erik.11"
ES2008c.A.argumentstructs.Erik.24,A,1900.54,1902.1,"Well, we don't really know what the difference is, right ?",ES2008c.B.argumentstructs.Erik.41,NONE
ES2008c.D.argumentstructs.Erik.11,D,1902.21,1904.48,I'm thinking curved of some sort.,ES2008c.B.argumentstructs.Erik.41,"ES2008c.A.argumentstructs.Erik.25, ES2008c.B.argumentstructs.Erik.42, ES2008c.C.argumentstructs.Erik.28"
ES2008c.A.argumentstructs.Erik.25,A,1903.8,1904.13,Yeah.,ES2008c.D.argumentstructs.Erik.11,NONE
ES2008c.B.argumentstructs.Erik.42,B,1904.23,1907.936,"Yeah, okay. We don't really know what the difference",ES2008c.D.argumentstructs.Erik.11,NONE
ES2008c.C.argumentstructs.Erik.28,C,1904.45,1904.8,Yeah.,ES2008c.D.argumentstructs.Erik.11,NONE
