ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008c.A.argumentstructs.Erik.1,A,1268.64,1284.31,Um do you have any ideas how to possibly use these ? Um how to how to use a fruit or vegetable or um or the spongy material at all ? Like could we make a s like could we make a spongy remote ? It would be easier on the hands.,NONE,"ES2008c.B.argumentstructs.Erik.6, ES2008c.B.argumentstructs.Erik.9, ES2008c.B.argumentstructs.Erik.11, ES2008c.D.argumentstructs.Erik.2"
ES2008c.B.argumentstructs.Erik.6,B,1283.41,1285.936,If it's latex  if it's latexy,ES2008c.A.argumentstructs.Erik.1,ES2008c.A.argumentstructs.Erik.2
ES2008c.A.argumentstructs.Erik.2,A,1285.94,1292.096,"It's kind of  and then it  we would have to find a way to protect like the chip and all that, I dunno. But",ES2008c.B.argumentstructs.Erik.6,ES2008c.B.argumentstructs.Erik.7
ES2008c.B.argumentstructs.51,B,1287.4,1288.58,"Um, mean",NONE,NONE
ES2008c.C.argumentstructs.37,C,1288.24,1289.54,A kind of thing that,NONE,NONE
ES2008c.B.argumentstructs.Erik.7,B,1291.56,1302.45,"An uh I  if  th  my understanding of a latex case is that it's in fact hard to protect stuff inside, but that it's covered with the latex, which is spongier and softer on your hands.",ES2008c.A.argumentstructs.Erik.2,ES2008c.B.argumentstructs.Erik.8
ES2008c.A.argumentstructs.31,A,1299.19,1344.82,"Mm-hmm. Mm-hmm. Mm-hmm. F for sure, or maybe like",NONE,NONE
ES2008c.B.argumentstructs.52,B,1303.67,1309.45,"there's something to be said, I mean we we got that thing earlier from you about um not wanting it to",NONE,NONE
ES2008c.B.argumentstructs.Erik.8,B,1310.28,1314.176,R_ R_ repetitive stress injuries and things and and,ES2008c.B.argumentstructs.Erik.7,ES2008c.C.argumentstructs.Erik.6
ES2008c.D.argumentstructs.13,D,1312.74,1313.11,Mm-hmm.,NONE,NONE
ES2008c.C.argumentstructs.Erik.6,C,1313.14,1313.41,Yeah.,ES2008c.B.argumentstructs.Erik.8,NONE
ES2008c.B.argumentstructs.Erik.9,B,1314.69,1325.13,"Yeah, something grippable, I mean we don't we don't we don't wanna go spongy, maybe.  Yeah.",ES2008c.A.argumentstructs.Erik.1,ES2008c.D.argumentstructs.Erik.1
ES2008c.D.argumentstructs.Erik.1,D,1314.97,1334.83,"Yeah, so something, m m instead of a necess yeah, grip, I'm thinking grip more than like sinking into your hands, you know, i and I think I'm envisioning more like, you know, the material that you have when you sit on like a bicycle, so that it doesn't hurt when you're sitting down for a long time, like I'm imagining that sort of thing, I don't know what th that material's called.",ES2008c.B.argumentstructs.Erik.9,"ES2008c.C.argumentstructs.Erik.7, ES2008c.B.argumentstructs.Erik.10"
ES2008c.C.argumentstructs.Erik.7,C,1321.64,1323.24,Yeah. Yeah.,ES2008c.D.argumentstructs.Erik.1,NONE
ES2008c.B.argumentstructs.53,B,1330.39,1330.67,Mm-hmm.,NONE,NONE
ES2008c.B.argumentstructs.Erik.10,B,1333.43,1339.06,"Yeah, I think that given the list of materials I w I was forwarded it's  that seems doable.",ES2008c.D.argumentstructs.Erik.1,NONE
ES2008c.B.argumentstructs.Erik.11,B,1340.13,1342.33,could we go in fruit and vegetable colours ?,ES2008c.A.argumentstructs.Erik.1,"ES2008c.B.argumentstructs.Erik.12, ES2008c.A.argumentstructs.Erik.3, ES2008c.B.argumentstructs.Erik.13"
ES2008c.B.argumentstructs.Erik.12,B,1342.33,1344.88,"We could colour-co-ordinate them, li",ES2008c.B.argumentstructs.Erik.11,NONE
ES2008c.A.argumentstructs.Erik.3,A,1346.45,1351.24,"um couple main ones being like, I dunno, lemons or strawberries or something.",ES2008c.B.argumentstructs.Erik.11,NONE
ES2008c.B.argumentstructs.Erik.13,B,1351.11,1367.93,The buttons could be fruit-shaped.  Oh well it's quite easy to s shape thing like carrot isn't it ? Or maybe the buttons could be shaped like different fruits.,ES2008c.B.argumentstructs.Erik.11,"ES2008c.A.argumentstructs.Erik.4, ES2008c.C.argumentstructs.Erik.8, ES2008c.A.argumentstructs.Erik.7"
ES2008c.A.argumentstructs.Erik.4,A,1352.05,1353.2,Could they be smelly ?,ES2008c.B.argumentstructs.Erik.13,NONE
ES2008c.C.argumentstructs.Erik.8,C,1353.43,1360.71,"I Is it supposed to be shaped like a vegetable ? Uh like uh I dunno, like uh carrots or something.",ES2008c.B.argumentstructs.Erik.13,"ES2008c.A.argumentstructs.Erik.5, ES2008c.A.argumentstructs.Erik.6"
ES2008c.D.argumentstructs.14,D,1354.69,1355.94,Oh God.,NONE,NONE
ES2008c.A.argumentstructs.Erik.5,A,1358.11,1359.32,I don't know.,ES2008c.C.argumentstructs.Erik.8,NONE
ES2008c.A.argumentstructs.Erik.6,A,1361.35,1364.03,"Or carrot shaped, mm.",ES2008c.C.argumentstructs.Erik.8,NONE
ES2008c.C.argumentstructs.38,C,1364.84,1365.81,"Maybe, or",NONE,NONE
ES2008c.A.argumentstructs.Erik.7,A,1366.08,1368.03,"Like large button, that's what I was thinking of, yeah.",ES2008c.B.argumentstructs.Erik.13,NONE
ES2008c.D.argumentstructs.Erik.2,D,1368.66,1370.54,What about the idea of like a round remote ?,ES2008c.A.argumentstructs.Erik.1,"ES2008c.D.argumentstructs.Erik.3, ES2008c.B.argumentstructs.Erik.14, ES2008c.C.argumentstructs.Erik.9"
ES2008c.D.argumentstructs.Erik.3,D,1370.54,1379.3,Instead of like a vertical up and down one. Like in terms of holding it. Like that's a f shape of a fruit.  Just to tie it in a little.,ES2008c.D.argumentstructs.Erik.2,NONE
ES2008c.C.argumentstructs.Erik.9,C,1372.82,1373.81,Kind of like a potato.,ES2008c.D.argumentstructs.Erik.2,ES2008c.C.argumentstructs.Erik.10
ES2008c.B.argumentstructs.Erik.14,B,1375.3,1386.9,be   yeah.  It'd be harder to f bu uh buttons I think. It'd be harder to press button.,ES2008c.D.argumentstructs.Erik.2,NONE
ES2008c.C.argumentstructs.Erik.10,C,1378.3,1378.65,Yeah.,ES2008c.C.argumentstructs.Erik.9,NONE
