ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008d.D.argumentstructs.Erik.10,D,926.83,934.51,"Alright and the next is, does it integrate some notion of fruits and vegetables  ?",NONE,"ES2008d.D.argumentstructs.Erik.11, ES2008d.B.argumentstructs.Erik.12, ES2008d.D.argumentstructs.Erik.17"
ES2008d.C.argumentstructs.12,C,933.39,933.39,.,NONE,NONE
ES2008d.D.argumentstructs.Erik.11,D,934.51,936.37,"Well, is it gonna be yellow ?",ES2008d.D.argumentstructs.Erik.10,ES2008d.B.argumentstructs.Erik.8
ES2008d.B.argumentstructs.Erik.8,B,937.56,939.74,"It it might be, 'cause that's our corporate colour, isn't it ?",ES2008d.D.argumentstructs.Erik.11,ES2008d.A.argumentstructs.Erik.12
ES2008d.A.argumentstructs.Erik.12,A,940.28,958.86,"That's right, yeah, corporate colour, we didn't keep that in  um well if we  I know it would make it a little less c a little more confusing, but if we had all the buttons in black, and a design in  and the outside in yellow, that'd be our corporate one and we could also have alternative colours, one a more conservative one, one that's more fruity.",ES2008d.B.argumentstructs.Erik.8,"ES2008d.C.argumentstructs.Erik.6, ES2008d.B.argumentstructs.Erik.9, ES2008d.D.argumentstructs.Erik.12, ES2008d.A.argumentstructs.Erik.13"
ES2008d.C.argumentstructs.Erik.6,C,941.46,941.61,Yeah.,ES2008d.A.argumentstructs.Erik.12,NONE
ES2008d.B.argumentstructs.Erik.9,B,943.22,944.37,We might wanna keep it yellow.,ES2008d.A.argumentstructs.Erik.12,NONE
ES2008d.D.argumentstructs.Erik.12,D,957.86,960.54,"Yeah, but if you had like a silvery kind of white or something.",ES2008d.A.argumentstructs.Erik.12,"ES2008d.B.argumentstructs.Erik.10, ES2008d.C.argumentstructs.Erik.7"
ES2008d.B.argumentstructs.Erik.10,B,960.52,960.85,Yeah.,ES2008d.D.argumentstructs.Erik.12,NONE
ES2008d.C.argumentstructs.Erik.7,C,961.72,962.34,Yeah,ES2008d.D.argumentstructs.Erik.12,NONE
ES2008d.A.argumentstructs.Erik.13,A,962.34,965.77,Um and can we have like an R_R_ inscribed on the bottom or something ?,ES2008d.A.argumentstructs.Erik.12,"ES2008d.B.argumentstructs.Erik.11, ES2008d.D.argumentstructs.Erik.13, ES2008d.C.argumentstructs.Erik.8, ES2008d.D.argumentstructs.Erik.14"
ES2008d.C.argumentstructs.13,C,962.34,962.34,",",NONE,NONE
ES2008d.B.argumentstructs.17,B,962.71,963.69,If we had a yellow,NONE,NONE
ES2008d.B.argumentstructs.Erik.11,B,965.25,965.63,Sure.,ES2008d.A.argumentstructs.Erik.13,NONE
ES2008d.A.argumentstructs.20,A,965.77,970.15,"Okay. Fruity, so fruity.",NONE,NONE
ES2008d.D.argumentstructs.Erik.13,D,965.87,966.38,"Oh, yeah.",ES2008d.A.argumentstructs.Erik.13,NONE
ES2008d.C.argumentstructs.Erik.8,C,966.07,966.21,Yeah.,ES2008d.A.argumentstructs.Erik.13,NONE
ES2008d.D.argumentstructs.Erik.14,D,968.31,970.132,"Alright, so I think it it's",ES2008d.A.argumentstructs.Erik.13,NONE
ES2008d.B.argumentstructs.Erik.12,B,968.68,972.94,"So  it was inspired by the potato, so I think it's pretty fruity.",ES2008d.D.argumentstructs.Erik.10,"ES2008d.D.argumentstructs.Erik.15, ES2008d.A.argumentstructs.Erik.14"
ES2008d.D.argumentstructs.Erik.15,D,971.91,972.14,Yeah.,ES2008d.B.argumentstructs.Erik.12,NONE
ES2008d.A.argumentstructs.Erik.14,A,972.49,974.21,I think i it's kind of mangoey too.,ES2008d.B.argumentstructs.Erik.12,"ES2008d.D.argumentstructs.Erik.16, ES2008d.C.argumentstructs.Erik.9, ES2008d.B.argumentstructs.Erik.13"
ES2008d.B.argumentstructs.18,B,974.5,976.53,"Oh, mango that that",NONE,NONE
ES2008d.D.argumentstructs.Erik.16,D,974.5,977.96,"Yeah. I  okay, I'm giving it a one  the mango  put me over.",ES2008d.A.argumentstructs.Erik.14,NONE
ES2008d.C.argumentstructs.Erik.9,C,974.8,980.15,"Mangoey is better, yeah. I like mangoes.",ES2008d.A.argumentstructs.Erik.14,ES2008d.A.argumentstructs.Erik.15
ES2008d.A.argumentstructs.Erik.15,A,975.54,975.88,Yes.,ES2008d.C.argumentstructs.Erik.9,NONE
ES2008d.A.argumentstructs.21,A,978.04,978.37,Mm.,NONE,NONE
ES2008d.B.argumentstructs.Erik.13,B,978.28,983.59,That's a much more trendy than a potato  one.,ES2008d.A.argumentstructs.Erik.14,NONE
ES2008d.D.argumentstructs.Erik.17,D,981.12,982.75,What are  what's everyone's numbers ?,ES2008d.D.argumentstructs.Erik.10,"ES2008d.C.argumentstructs.Erik.10, ES2008d.A.argumentstructs.Erik.16"
ES2008d.C.argumentstructs.Erik.10,C,984.64,985.01,Uh two.,ES2008d.D.argumentstructs.Erik.17,NONE
ES2008d.A.argumentstructs.Erik.16,A,985.74,986.09,One.,ES2008d.D.argumentstructs.Erik.17,NONE
