ae_id,speaker,start_time,end_time,sentence,source,targets
ES2008d.A.argumentstructs.17,A,618.32,619.51,Mm-hmm.,NONE,NONE
ES2008d.A.argumentstructs.Erik.1,A,619.51,621.82,I am worried about like um using a menu.,NONE,ES2008d.A.argumentstructs.Erik.2
ES2008d.A.argumentstructs.Erik.2,A,622.99,630.69,"Um in that  like i withing menus there are submenus, and so how do you get back to the main menu ?",ES2008d.A.argumentstructs.Erik.1,"ES2008d.C.argumentstructs.Erik.1, ES2008d.B.argumentstructs.Erik.1, ES2008d.C.argumentstructs.Erik.3"
ES2008d.B.argumentstructs.14,B,628.36,628.62,Hmm.,NONE,NONE
ES2008d.C.argumentstructs.Erik.1,C,628.96,629.1,Yeah.,ES2008d.A.argumentstructs.Erik.2,NONE
ES2008d.B.argumentstructs.Erik.1,B,631.08,636.81,"Well that  on the iPod, for example, you just  every time you wanna go back you hit the menu button again and it brings you back one level.",ES2008d.A.argumentstructs.Erik.2,ES2008d.A.argumentstructs.Erik.3
ES2008d.A.argumentstructs.Erik.3,A,637.17,642.28,"But that has a menu button separate from a select button, whereas if this one's both the menu and the select button ?",ES2008d.B.argumentstructs.Erik.1,"ES2008d.C.argumentstructs.Erik.2, ES2008d.B.argumentstructs.Erik.2"
ES2008d.C.argumentstructs.Erik.2,C,640.48,640.65,Yeah.,ES2008d.A.argumentstructs.Erik.3,NONE
ES2008d.B.argumentstructs.Erik.2,B,641.16,641.85,Good point.,ES2008d.A.argumentstructs.Erik.3,NONE
ES2008d.C.argumentstructs.Erik.3,C,642.9,654.75,"This is, it's  the up and down buttons are used for scrolling up and down for a list of choices. You find the choice that you want and you press uh you press the right button uh.",ES2008d.A.argumentstructs.Erik.2,"ES2008d.A.argumentstructs.Erik.4, ES2008d.A.argumentstructs.Erik.5"
ES2008d.A.argumentstructs.Erik.4,A,648.53,648.88,Okay.,ES2008d.C.argumentstructs.Erik.3,NONE
ES2008d.A.argumentstructs.Erik.5,A,656.97,660.066,Could these be used for going to submenus or,ES2008d.C.argumentstructs.Erik.3,"ES2008d.C.argumentstructs.Erik.4, ES2008d.B.argumentstructs.Erik.3"
ES2008d.C.argumentstructs.11,C,657.72,657.9,Yeah.,NONE,NONE
ES2008d.C.argumentstructs.Erik.4,C,658.95,661.96,"Yeah, so they're used for going into and out of your submenus, yeah.",ES2008d.A.argumentstructs.Erik.5,NONE
ES2008d.B.argumentstructs.15,B,661.56,664.3,"yeah, maybe it can be one of those, if you press down and hold",NONE,NONE
ES2008d.A.argumentstructs.Erik.6,A,662.27,662.67,Okay.,ES2008d.B.argumentstructs.Erik.3,NONE
ES2008d.B.argumentstructs.Erik.3,B,665.81,668.51,"for two seconds, then it brings you back one level or something.",ES2008d.A.argumentstructs.Erik.5,ES2008d.A.argumentstructs.Erik.6
ES2008d.A.argumentstructs.18,A,668.49,669.01,Mm-hmm.,NONE,NONE
