ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009b.C.argumentstructs.Erik.5,C,1328.28,1335.97,"Yeah. Uh I I'm I'm in agreement with that, I'm wondering how we're gonna get uh we put fashion into electronics onto this device.",ES2009b.B.argumentstructs.Erik.10,ES2009b.D.argumentstructs.Erik.15
ES2009b.D.argumentstructs.25,D,1330.88,1331.11,Um.,NONE,NONE
ES2009b.D.argumentstructs.Erik.15,D,1334.55,1344.816,"Well but if we're gonna use a touch screen where it's gonna come on like on your cell phone it'll have your your carrier provider name come up first like while it's loading and then it goes away, perhaps it could be like a temporary",ES2009b.C.argumentstructs.Erik.5,"ES2009b.D.argumentstructs.Erik.16, ES2009b.A.argumentstructs.Erik.9, ES2009b.C.argumentstructs.Erik.6, ES2009b.B.argumentstructs.Erik.12"
ES2009b.A.argumentstructs.18,A,1338.55,1346.15,Hmm. Mm.,NONE,NONE
ES2009b.D.argumentstructs.Erik.16,D,1346.45,1352.12,Comes on every time you turn it on and then that's it 'cause it is a bit much to have it like engraved on the back or something I think.,ES2009b.D.argumentstructs.Erik.15,ES2009b.B.argumentstructs.Erik.11
ES2009b.B.argumentstructs.Erik.11,B,1350.03,1351.94,Mm. True.,ES2009b.D.argumentstructs.Erik.16,NONE
ES2009b.A.argumentstructs.Erik.9,A,1351.06,1352.75,Yeah. Yeah.,ES2009b.D.argumentstructs.Erik.15,NONE
ES2009b.C.argumentstructs.Erik.6,C,1352.4,1358.33,I'm hoping for a subliminal maybe half a millisecond as it turns on.,ES2009b.D.argumentstructs.Erik.15,"ES2009b.D.argumentstructs.Erik.17, ES2009b.A.argumentstructs.Erik.10, ES2009b.A.argumentstructs.Erik.11"
ES2009b.D.argumentstructs.Erik.17,D,1354.77,1354.88,Yeah.,ES2009b.C.argumentstructs.Erik.6,NONE
ES2009b.D.argumentstructs.26,D,1356.19,1358.52,Y,NONE,NONE
ES2009b.A.argumentstructs.Erik.10,A,1357.54,1358.01,Yeah.,ES2009b.C.argumentstructs.Erik.6,NONE
ES2009b.A.argumentstructs.Erik.11,A,1359.08,1362.59,Yeah I know I d it seems like it would suffice to have just the R_R_ on there.,ES2009b.C.argumentstructs.Erik.6,"ES2009b.D.argumentstructs.Erik.18, ES2009b.A.argumentstructs.Erik.12, ES2009b.D.argumentstructs.Erik.19"
ES2009b.C.argumentstructs.9,C,1362.36,1362.56,Mm-hmm.,NONE,NONE
ES2009b.D.argumentstructs.Erik.18,D,1363.45,1364.31,Yeah you would think.,ES2009b.A.argumentstructs.Erik.11,NONE
ES2009b.A.argumentstructs.19,A,1363.52,1363.95,Jus,NONE,NONE
ES2009b.D.argumentstructs.27,D,1364.31,1364.61,But.,NONE,NONE
ES2009b.A.argumentstructs.Erik.12,A,1364.74,1366.48,But apparently not. So.,ES2009b.A.argumentstructs.Erik.11,NONE
ES2009b.D.argumentstructs.Erik.19,D,1365.92,1367.1,If it comes from above.,ES2009b.A.argumentstructs.Erik.11,NONE
ES2009b.B.argumentstructs.Erik.12,B,1366.08,1373.32,People aren't gonna want their remote to boot up and to see flashing things come on. They just want it to be on and ready to go.,ES2009b.D.argumentstructs.Erik.15,"ES2009b.D.argumentstructs.Erik.20, ES2009b.A.argumentstructs.Erik.13, ES2009b.A.argumentstructs.Erik.14, ES2009b.C.argumentstructs.Erik.7"
ES2009b.D.argumentstructs.Erik.20,D,1373.24,1373.47,Yeah.,ES2009b.B.argumentstructs.Erik.12,NONE
ES2009b.A.argumentstructs.Erik.13,A,1373.35,1373.85,Yeah.,ES2009b.B.argumentstructs.Erik.12,NONE
ES2009b.A.argumentstructs.Erik.14,A,1375.69,1386.91,Well fair enough. Um and yeah that would help the battery life too and if it  the remote they do have to press a button for the remote to turn on. But then again who wants to turn on a remote control. Kind of if i,ES2009b.B.argumentstructs.Erik.12,NONE
ES2009b.C.argumentstructs.Erik.7,C,1385.95,1390.93,Well all you have to do is touch the screen and it automatically goes on. Yep. Goes into a sleep mode.,ES2009b.B.argumentstructs.Erik.12,ES2009b.A.argumentstructs.Erik.15
ES2009b.D.argumentstructs.28,D,1387.71,1387.96,Mm.,NONE,NONE
ES2009b.A.argumentstructs.Erik.15,A,1388.19,1398.43,"Oh to wake up okay or go into like a dormant mode. Okay.  Oh yeah I like that I like the idea of um putting the logo in the boot up screen, nice. Um.",ES2009b.C.argumentstructs.Erik.7,NONE
