ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009b.B.argumentstructs.Erik.6,B,1255.84,1270.69,"Since we're doing uh touch screen, do we wanna look into the possibility of people being able to input different types of skins for the you know the actual interface part of it and things like that ? Or is it just gonna be one touch screen for everybody.",NONE,"ES2009b.C.argumentstructs.Erik.3, ES2009b.B.argumentstructs.Erik.7, ES2009b.A.argumentstructs.Erik.7"
ES2009b.C.argumentstructs.Erik.3,C,1271.01,1271.58,Be interesting.,ES2009b.B.argumentstructs.Erik.6,NONE
ES2009b.D.argumentstructs.24,D,1272.0,1272.56,Mm.,NONE,NONE
ES2009b.B.argumentstructs.Erik.7,B,1272.6,1273.92,What what would be on that touch screen ?,ES2009b.B.argumentstructs.Erik.6,"ES2009b.B.argumentstructs.Erik.8, ES2009b.C.argumentstructs.Erik.4"
ES2009b.B.argumentstructs.Erik.8,B,1273.92,1282.92,"'Cause you said earlier that we have to think about company colours and um logo or something or motto, I can't remember exactly what you said.",ES2009b.B.argumentstructs.Erik.7,ES2009b.D.argumentstructs.Erik.10
ES2009b.D.argumentstructs.Erik.10,D,1280.35,1285.12,And  oh. Yeah the  the fashion do. Yeah.,ES2009b.B.argumentstructs.Erik.8,NONE
ES2009b.C.argumentstructs.Erik.4,C,1282.88,1285.14,We put fashion into electronics.,ES2009b.B.argumentstructs.Erik.7,NONE
ES2009b.A.argumentstructs.Erik.7,A,1288.45,1316.72,W it's my understanding that if you were going to do a skin you'd need to have some way for people to download or import skins into the remote control. Yeah I think perhaps  good idea but yeah I think that that one m might just be um and they just  yeah I think that one might just be out of the range for this particular  a P_D_A_ would  they would  makes a lot of sense for a P_D_A_ 'cause you're gonna be using it to connect up to things anyway but,ES2009b.B.argumentstructs.Erik.6,"ES2009b.D.argumentstructs.Erik.11, ES2009b.B.argumentstructs.Erik.9, ES2009b.A.argumentstructs.Erik.8"
ES2009b.D.argumentstructs.Erik.11,D,1296.3,1299.056,"Right, and then you're dealing with ports and cords and",ES2009b.A.argumentstructs.Erik.7,NONE
ES2009b.B.argumentstructs.Erik.9,B,1300.7,1301.48,'S too much.,ES2009b.A.argumentstructs.Erik.7,"ES2009b.D.argumentstructs.Erik.12, ES2009b.D.argumentstructs.Erik.13"
ES2009b.D.argumentstructs.Erik.12,D,1301.68,1302.11,Yeah.,ES2009b.B.argumentstructs.Erik.9,NONE
ES2009b.D.argumentstructs.Erik.13,D,1309.04,1309.7,For now.,ES2009b.B.argumentstructs.Erik.9,NONE
ES2009b.A.argumentstructs.Erik.8,A,1318.79,1319.66,"I dunno, what do you guys think ?",ES2009b.A.argumentstructs.Erik.7,ES2009b.B.argumentstructs.Erik.10
ES2009b.B.argumentstructs.Erik.10,B,1323.05,1329.04,Think we just need to come up with a nice black and red interface on the touch screen. That'd be okay.,ES2009b.A.argumentstructs.Erik.8,"ES2009b.D.argumentstructs.Erik.14, ES2009b.C.argumentstructs.Erik.5"
ES2009b.D.argumentstructs.Erik.14,D,1325.21,1326.09,Yeah. Nice.,ES2009b.B.argumentstructs.Erik.10,NONE
