ae_id,speaker,start_time,end_time,sentence,source,targets
ES2009c.C.argumentstructs.Erik.4,C,1081.08,1086.745,"I mean I think that we really have two main selling points, I think that our casing and the voice recognition",NONE,"ES2009c.D.argumentstructs.Erik.15, ES2009c.A.argumentstructs.Erik.8"
ES2009c.D.argumentstructs.Erik.15,D,1083.6,1085.344,Yeah 'cause with voice recognition,ES2009c.C.argumentstructs.Erik.4,ES2009c.D.argumentstructs.Erik.16
ES2009c.D.argumentstructs.Erik.16,D,1086.39,1090.05,I mean really this is pretty bells and whistles kinda remote.,ES2009c.D.argumentstructs.Erik.15,NONE
ES2009c.B.argumentstructs.Erik.7,B,1089.92,1090.26,Yeah.,ES2009c.A.argumentstructs.Erik.8,NONE
ES2009c.A.argumentstructs.Erik.8,A,1090.26,1100.0,"The voice rec thing, I mean,  if if we're looking at bottom line, now we're looking at upping the cost to seventeen to get the touch screen on, I think we might have to drop the voice rec.",ES2009c.C.argumentstructs.Erik.4,"ES2009c.B.argumentstructs.Erik.7, ES2009c.D.argumentstructs.Erik.17, ES2009c.A.argumentstructs.Erik.10, ES2009c.C.argumentstructs.Erik.6, ES2009c.C.argumentstructs.Erik.7, ES2009c.A.argumentstructs.Erik.13, ES2009c.A.argumentstructs.Erik.18"
ES2009c.D.argumentstructs.Erik.17,D,1099.91,1102.09,I think we'd have to decide between 'em definitely.,ES2009c.A.argumentstructs.Erik.8,"ES2009c.A.argumentstructs.Erik.9, ES2009c.C.argumentstructs.Erik.5, ES2009c.D.argumentstructs.Erik.18"
ES2009c.A.argumentstructs.Erik.9,A,1102.11,1102.66,Yeah.,ES2009c.D.argumentstructs.Erik.17,NONE
ES2009c.C.argumentstructs.Erik.5,C,1102.56,1111.37,"To be honest, we have the capa we have the design in-house, I mean we've we've come up with this, with this new voice  we're using it for our coffee machines already.",ES2009c.D.argumentstructs.Erik.17,ES2009c.D.argumentstructs.Erik.19
ES2009c.D.argumentstructs.Erik.18,D,1103.16,1103.72,Price-wise.,ES2009c.D.argumentstructs.Erik.17,NONE
ES2009c.D.argumentstructs.Erik.19,D,1108.41,1110.22,True. We've already got it.,ES2009c.C.argumentstructs.Erik.5,NONE
ES2009c.C.argumentstructs.14,C,1117.41,1119.96,guy down the hall. Sounds good.,NONE,NONE
ES2009c.A.argumentstructs.30,A,1123.04,1125.76,Hmm.,NONE,NONE
ES2009c.A.argumentstructs.Erik.10,A,1125.76,1127.79,What do you think on it Nathan ? About the voice rec ?,ES2009c.A.argumentstructs.Erik.8,ES2009c.B.argumentstructs.Erik.8
ES2009c.B.argumentstructs.Erik.8,B,1128.25,1142.27,I think if we  we do both the  obviously production costs are going to go way up um but it does put it into  it'd become the Rolls Royce of remote controls basically. It would be very nice.,ES2009c.A.argumentstructs.Erik.10,ES2009c.D.argumentstructs.Erik.20
ES2009c.D.argumentstructs.Erik.20,D,1139.86,1140.48,Pretty much.,ES2009c.B.argumentstructs.Erik.8,NONE
ES2009c.C.argumentstructs.Erik.6,C,1142.61,1146.88,I mean we we have to r reflect back on what our market research did say.,ES2009c.A.argumentstructs.Erik.8,ES2009c.D.argumentstructs.Erik.21
ES2009c.D.argumentstructs.37,D,1146.79,1159.41,"Right and they said they wanted voice recognition. Course, maybe they hadn't thought of this whole touch screen option, but definitely we know the market is there for voice recognition so to say we have the technology and we're not gonna use it even though we know it'll sell",NONE,NONE
ES2009c.D.argumentstructs.Erik.21,D,1160.64,1165.98,is a call I don't think I can give the highs ups. Like really I can't go in and say no we're gonna just ignore everything we know.,ES2009c.C.argumentstructs.Erik.6,ES2009c.A.argumentstructs.Erik.11
ES2009c.A.argumentstructs.31,A,1162.66,1163.0,Mm.,NONE,NONE
ES2009c.A.argumentstructs.Erik.11,A,1166.97,1167.37,Yeah.,ES2009c.D.argumentstructs.Erik.21,NONE
ES2009c.C.argumentstructs.Erik.7,C,1169.46,1171.79,Does having both really up our costs ?,ES2009c.A.argumentstructs.Erik.8,"ES2009c.A.argumentstructs.Erik.12, ES2009c.B.argumentstructs.Erik.9"
ES2009c.A.argumentstructs.Erik.12,A,1173.5,1186.02,"I can't see how it wouldn't, I mean, there's you know the old aphorism, you can have it fast, you can have it cheap or you can have it quality, pick two of three. You know, you can't you can't have all three. It's just impossible.",ES2009c.C.argumentstructs.Erik.7,ES2009c.D.argumentstructs.Erik.22
ES2009c.D.argumentstructs.Erik.22,D,1182.71,1182.99,Yeah.,ES2009c.A.argumentstructs.Erik.12,NONE
