ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010b.A.argumentstructs.Erik.9,A,1537.25,1551.568,"So we've simplified, we don't need all those um play, fast-forward, rewind, or no menu buttons. So we've pretty much pared it down to on-off, volume, mute, channel up and down, um the numbers",NONE,"ES2010b.C.argumentstructs.Erik.5, ES2010b.D.argumentstructs.Erik.5, ES2010b.A.argumentstructs.Erik.10, ES2010b.A.argumentstructs.Erik.11, ES2010b.D.argumentstructs.Erik.8"
ES2010b.C.argumentstructs.Erik.5,C,1541.67,1542.48,"Right, yeah.",ES2010b.A.argumentstructs.Erik.9,NONE
ES2010b.D.argumentstructs.Erik.5,D,1542.55,1542.97,Yeah.,ES2010b.A.argumentstructs.Erik.9,NONE
ES2010b.A.argumentstructs.Erik.10,A,1555.06,1555.85,Yeah.,ES2010b.A.argumentstructs.Erik.9,NONE
ES2010b.D.argumentstructs.12,D,1556.71,1557.05,Yeah.,NONE,NONE
ES2010b.A.argumentstructs.Erik.11,A,1562.72,1573.13,"Um can we go back to  I'm gonna look really quickly back at those examples and see if there is anything. Which one is yours, technical functions or functional requirement ? Okay.",ES2010b.A.argumentstructs.Erik.9,"ES2010b.C.argumentstructs.Erik.6, ES2010b.D.argumentstructs.Erik.6"
ES2010b.C.argumentstructs.Erik.6,C,1567.25,1568.89,Two examples. Yeah.,ES2010b.A.argumentstructs.Erik.11,NONE
ES2010b.C.argumentstructs.16,C,1572.13,1572.33,Yeah.,NONE,NONE
ES2010b.D.argumentstructs.Erik.6,D,1574.4,1586.17,"Yeah, audi audio settings and screen settings, we need those like audio settings mono, stereo, pitch, screen settings like brightness, colour, or do we just want that accessed accessed from the television itself ?",ES2010b.A.argumentstructs.Erik.11,"ES2010b.A.argumentstructs.Erik.12, ES2010b.C.argumentstructs.Erik.7"
ES2010b.A.argumentstructs.Erik.12,A,1585.19,1591.8,The T_V_. I think that that's fine just for the T_V_. I mean how often does the average user need to do that kind of stuff ?,ES2010b.D.argumentstructs.Erik.6,NONE
ES2010b.C.argumentstructs.Erik.7,C,1592.07,1602.72,"Well, the other option is sort of like down at the bottom, like farther away, you just have this sort of box inset where it's like the buttons that you don't use as much, but occasionally you will use.",ES2010b.D.argumentstructs.Erik.6,ES2010b.D.argumentstructs.Erik.7
ES2010b.A.argumentstructs.24,A,1601.17,1601.39,Hmm.,NONE,NONE
ES2010b.D.argumentstructs.Erik.7,D,1603.45,1620.96,"Yeah, 'cause we need to  we definitely need to have buttons for like sub-titles and things like that. It's 'cause the foreign film market is expanding and stuff, and like on television like I know f k living in Los Angeles it's tons of Spanish network television if it has English sub-titles it's definitely helpful.",ES2010b.C.argumentstructs.Erik.7,ES2010b.A.argumentstructs.Erik.13
ES2010b.C.argumentstructs.17,C,1603.76,1604.44,and so it's like,NONE,NONE
ES2010b.A.argumentstructs.Erik.13,A,1621.17,1630.22,"Couldn't we do that all through one button, something, a menu button, that pops up with a menu on the T_V_ that says, you know, audio, video, whatever, language, you know ?",ES2010b.D.argumentstructs.Erik.7,ES2010b.C.argumentstructs.Erik.8
