ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010c.C.argumentstructs.Erik.15,C,1388.38,1389.89,"What's it gonna  Yeah, what's it gonna look like.",NONE,"ES2010c.A.argumentstructs.Erik.20, ES2010c.B.argumentstructs.Erik.16, ES2010c.C.argumentstructs.Erik.22"
ES2010c.A.argumentstructs.Erik.20,A,1390.08,1400.99,"Okay. I ki I kind of  like your idea about the retro phone dial, and that  the central button could have, maybe our logo on it ?",ES2010c.C.argumentstructs.Erik.15,"ES2010c.A.argumentstructs.Erik.21, ES2010c.D.argumentstructs.Erik.18"
ES2010c.C.argumentstructs.27,C,1391.17,1392.73,Um.,NONE,NONE
ES2010c.A.argumentstructs.Erik.21,A,1402.13,1406.29,"It might be the four way scroll, too. I mean if  Yeah.",ES2010c.A.argumentstructs.Erik.20,NONE
ES2010c.D.argumentstructs.Erik.18,D,1404.4,1412.91,"Yeah, it could be whatever, as long as there's something big in the middle, because like the old phones, there's like that just like piece of metal or like a picture or something in the middle.",ES2010c.A.argumentstructs.Erik.20,"ES2010c.A.argumentstructs.Erik.22, ES2010c.C.argumentstructs.Erik.17"
ES2010c.A.argumentstructs.Erik.22,A,1409.06,1409.38,Yeah.,ES2010c.D.argumentstructs.Erik.18,NONE
ES2010c.A.argumentstructs.36,A,1411.53,1418.93,Mm-hmm. Mm.,NONE,NONE
ES2010c.C.argumentstructs.Erik.17,C,1411.72,1421.37,"Well, my issue with that is if it got too big though, 'cause if you have the circle and the button in the middle, then is it gonna get wider than your your hands are, because w",ES2010c.D.argumentstructs.Erik.18,ES2010c.C.argumentstructs.Erik.18
ES2010c.D.argumentstructs.Erik.19,D,1418.96,1419.76,"Oh, that's true.",ES2010c.C.argumentstructs.Erik.18,NONE
ES2010c.C.argumentstructs.Erik.18,C,1421.37,1425.41,And then would the buttons be too small if it was enough to fit on it ?,ES2010c.C.argumentstructs.Erik.17,"ES2010c.D.argumentstructs.Erik.19, ES2010c.D.argumentstructs.Erik.20"
ES2010c.D.argumentstructs.Erik.20,D,1425.59,1426.18,Good point.,ES2010c.C.argumentstructs.Erik.18,NONE
