ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010c.A.argumentstructs.Erik.10,A,1233.3,1236.98,"Okay, and what kind of chip would we need for this guy ?",NONE,ES2010c.B.argumentstructs.Erik.8
ES2010c.B.argumentstructs.Erik.8,B,1237.22,1239.824,How complicated  Are we gonna go with the voice activated,ES2010c.A.argumentstructs.Erik.10,"ES2010c.C.argumentstructs.Erik.8, ES2010c.A.argumentstructs.Erik.11"
ES2010c.C.argumentstructs.Erik.8,C,1238.75,1239.38,Yeah.,ES2010c.B.argumentstructs.Erik.8,NONE
ES2010c.A.argumentstructs.Erik.11,A,1239.81,1248.24,"I don't think we should do voice, I think we should just do um the recognition for when it's lost, you know.  could we  Yeah.",ES2010c.B.argumentstructs.Erik.8,"ES2010c.C.argumentstructs.Erik.9, ES2010c.D.argumentstructs.Erik.11"
ES2010c.C.argumentstructs.Erik.9,C,1246.75,1247.87,"A tracker, yeah.",ES2010c.A.argumentstructs.Erik.11,NONE
ES2010c.D.argumentstructs.28,D,1248.92,1254.06,"what it type of, yeah, for voice activation would it be like a certain term what we would say like,",NONE,NONE
ES2010c.A.argumentstructs.33,A,1254.28,1254.71,Hmm.,NONE,NONE
ES2010c.D.argumentstructs.Erik.11,D,1255.0,1258.22,because people could just be talking and we don't want it going off all the time.,ES2010c.A.argumentstructs.Erik.11,"ES2010c.A.argumentstructs.Erik.12, ES2010c.B.argumentstructs.Erik.9, ES2010c.C.argumentstructs.Erik.10, ES2010c.D.argumentstructs.Erik.13"
ES2010c.A.argumentstructs.Erik.12,A,1260.52,1260.78,Right.,ES2010c.D.argumentstructs.Erik.11,NONE
ES2010c.D.argumentstructs.29,D,1261.03,1261.44,So uh,NONE,NONE
ES2010c.B.argumentstructs.Erik.9,B,1261.41,1264.84,"Well, we could give it a specific code, you know, remote missing.",ES2010c.D.argumentstructs.Erik.11,ES2010c.D.argumentstructs.Erik.12
ES2010c.D.argumentstructs.Erik.12,D,1266.58,1276.36,"Ooh. Uh see I'm uh I'm strangely attracted to it, because I know that's  it's definitely gonna be big, because it's, I don't know, it's just so high-tech.",ES2010c.B.argumentstructs.Erik.9,NONE
ES2010c.C.argumentstructs.Erik.10,C,1275.33,1291.52,"Well, my little sister got  for Christmas she got one of those key finders that's like a key-ring, and you have to whistle in a certain frequency for it to work. And then she would laugh and it would start going off in her purse, and you couldn't turn it off. So it became highly irritating.",ES2010c.D.argumentstructs.Erik.11,ES2010c.B.argumentstructs.Erik.10
ES2010c.B.argumentstructs.Erik.10,B,1284.97,1286.63,"Yeah, see that would just irritate me.",ES2010c.C.argumentstructs.Erik.10,NONE
ES2010c.A.argumentstructs.34,A,1289.19,1291.95,Oh dear. Okay.,NONE,NONE
ES2010c.D.argumentstructs.30,D,1289.33,1290.71,"Oh, then maybe voice",NONE,NONE
ES2010c.D.argumentstructs.Erik.13,D,1291.96,1293.65,maybe voice activation won't be good.,ES2010c.D.argumentstructs.Erik.11,ES2010c.B.argumentstructs.Erik.11
ES2010c.B.argumentstructs.Erik.11,B,1292.32,1294.72,So I think having a key-phrase is much better.,ES2010c.D.argumentstructs.Erik.13,ES2010c.A.argumentstructs.Erik.13
ES2010c.A.argumentstructs.Erik.13,A,1294.84,1301.07,"Okay. Alright. But it's not gonna be voice activated in the fact that you would say, channel up, and it would work, right ?",ES2010c.B.argumentstructs.Erik.11,"ES2010c.D.argumentstructs.Erik.14, ES2010c.B.argumentstructs.Erik.12"
ES2010c.D.argumentstructs.Erik.14,D,1300.34,1302.28,"Yeah, n n no, we just want it to be a finder.",ES2010c.A.argumentstructs.Erik.13,ES2010c.A.argumentstructs.Erik.14
ES2010c.C.argumentstructs.26,C,1300.94,1301.29,But then it,NONE,NONE
ES2010c.A.argumentstructs.Erik.14,A,1301.07,1302.72,"Just a  Okay, alright.",ES2010c.D.argumentstructs.Erik.14,NONE
ES2010c.B.argumentstructs.Erik.12,B,1301.13,1301.6,No.,ES2010c.A.argumentstructs.Erik.13,ES2010c.C.argumentstructs.Erik.11
ES2010c.C.argumentstructs.Erik.11,C,1302.85,1304.19,Hmm. Okay.,ES2010c.B.argumentstructs.Erik.12,NONE
