ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010d.A.argumentstructs.Erik.8,A,569.82,576.09,"Down here, interface type. We're gonna have the integrated scroll scroll wheel. Isn't  oh those are just regular buttons.",NONE,"ES2010d.C.argumentstructs.Erik.4, ES2010d.B.argumentstructs.Erik.5, ES2010d.D.argumentstructs.Erik.7"
ES2010d.C.argumentstructs.Erik.4,C,573.43,576.27,"No, we don't have the scroll. Buttons.",ES2010d.A.argumentstructs.Erik.8,ES2010d.B.argumentstructs.Erik.4
ES2010d.D.argumentstructs.14,D,575.45,575.98,But it's,NONE,NONE
ES2010d.B.argumentstructs.Erik.4,B,575.57,577.37,"Well, that's the push-button too, right there.",ES2010d.C.argumentstructs.Erik.4,"ES2010d.D.argumentstructs.Erik.6, ES2010d.A.argumentstructs.Erik.9"
ES2010d.D.argumentstructs.Erik.6,D,577.88,580.39,"Yeah, but i so i",ES2010d.B.argumentstructs.Erik.4,NONE
ES2010d.A.argumentstructs.Erik.9,A,578.61,579.0,This ?,ES2010d.B.argumentstructs.Erik.4,NONE
ES2010d.B.argumentstructs.Erik.5,B,579.64,583.87,Integrated scroll-wheel or push-button. We're really having just push-button interface.,ES2010d.A.argumentstructs.Erik.8,ES2010d.A.argumentstructs.Erik.10
ES2010d.A.argumentstructs.Erik.10,A,583.96,586.33,"Okay, so we can just go  um.",ES2010d.B.argumentstructs.Erik.5,NONE
ES2010d.D.argumentstructs.Erik.7,D,587.36,590.62,"But will we w actually we'll need two, won't we ?",ES2010d.A.argumentstructs.Erik.8,"ES2010d.D.argumentstructs.Erik.8, ES2010d.B.argumentstructs.Erik.6, ES2010d.B.argumentstructs.Erik.7, ES2010d.D.argumentstructs.Erik.10"
ES2010d.D.argumentstructs.Erik.8,D,590.62,593.51,One for the top and then one for the s one e for each side.,ES2010d.D.argumentstructs.Erik.7,NONE
ES2010d.B.argumentstructs.Erik.6,B,593.2,598.89,"But it  that just covers the type of button we're having. Because we're not doing a scroll on the side, it's still push-button.",ES2010d.D.argumentstructs.Erik.7,ES2010d.C.argumentstructs.Erik.5
ES2010d.C.argumentstructs.Erik.5,C,600.04,606.25,Oh like the  twenty nine means like you have both scrolls and push-buttons. But we don't have any scrolls.,ES2010d.B.argumentstructs.Erik.6,NONE
ES2010d.B.argumentstructs.Erik.7,B,603.5,605.71,Push-button. But we just have push,ES2010d.D.argumentstructs.Erik.7,ES2010d.D.argumentstructs.Erik.9
ES2010d.D.argumentstructs.Erik.9,D,604.44,604.97,Okay.,ES2010d.B.argumentstructs.Erik.7,NONE
ES2010d.A.argumentstructs.15,A,605.74,608.35,I think what Courtney's talking about is do we need to put two here ?,NONE,NONE
ES2010d.D.argumentstructs.Erik.10,D,607.69,619.6,Like because there's like one interface right here and then  because it's not gonna be on the same plane when you press the button. There's gonna have to be additional signals on the sides. So is that gonna be an extra one on each side ?,ES2010d.D.argumentstructs.Erik.7,"ES2010d.A.argumentstructs.Erik.11, ES2010d.B.argumentstructs.Erik.8, ES2010d.A.argumentstructs.Erik.12, ES2010d.C.argumentstructs.Erik.6"
ES2010d.A.argumentstructs.Erik.11,A,614.01,614.38,Right.,ES2010d.D.argumentstructs.Erik.10,NONE
ES2010d.B.argumentstructs.Erik.8,B,615.18,616.99,Yeah. Okay.,ES2010d.D.argumentstructs.Erik.10,NONE
ES2010d.A.argumentstructs.Erik.12,A,619.96,622.65,"I don't know, they might put us  well, let's just.",ES2010d.D.argumentstructs.Erik.10,NONE
ES2010d.C.argumentstructs.Erik.6,C,622.16,624.35,"Two interfaces, is that what w should we s say ?",ES2010d.D.argumentstructs.Erik.10,"ES2010d.A.argumentstructs.Erik.13, ES2010d.D.argumentstructs.Erik.11"
ES2010d.B.argumentstructs.11,B,623.92,625.55,Let's call it th,NONE,NONE
ES2010d.A.argumentstructs.Erik.13,A,623.93,625.29,Two or would it be three ?,ES2010d.C.argumentstructs.Erik.6,NONE
ES2010d.D.argumentstructs.Erik.11,D,624.47,630.69,"Or three, because of one on each side and one on top. I mean it's fine 'cause it comes out the same as twenty nine. Well less than twenty nine even.",ES2010d.C.argumentstructs.Erik.6,"ES2010d.C.argumentstructs.Erik.7, ES2010d.B.argumentstructs.Erik.9"
ES2010d.C.argumentstructs.Erik.7,C,625.94,626.81,"Okay, fine. Yeah.",ES2010d.D.argumentstructs.Erik.11,NONE
ES2010d.B.argumentstructs.Erik.9,B,630.77,631.55,Okay.,ES2010d.D.argumentstructs.Erik.11,NONE
