ae_id,speaker,start_time,end_time,sentence,source,targets
ES2011b.C.argumentstructs.Erik.1,C,1117.7,1139.01,"Yeah. So. Okay, let's see if I can  I think still though, it shouldn't be that hard to take  like just reduce the number of buttons you know, like 'cause if you just have like one menu button, that works like with a you know, or you can just kind of scroll through the options u that come up on the T_V_.",NONE,"ES2011b.A.argumentstructs.Erik.1, ES2011b.D.argumentstructs.Erik.1, ES2011b.D.argumentstructs.Erik.4"
ES2011b.B.argumentstructs.2,B,1117.83,1148.1,Mm-hmm. Mm-hmm.,NONE,NONE
ES2011b.A.argumentstructs.Erik.1,A,1127.64,1128.03,Yeah.,ES2011b.C.argumentstructs.Erik.1,NONE
ES2011b.A.argumentstructs.6,A,1136.63,1148.51,Yeah. S Huh.,NONE,NONE
ES2011b.D.argumentstructs.Erik.1,D,1137.78,1154.83,"Well for sure we need the um  I think we can just design the channels ? I mean power's just a button, and it's not used that much, s and it's usually that red and I think it's quite nice to keep it like red.",ES2011b.C.argumentstructs.Erik.1,"ES2011b.C.argumentstructs.Erik.2, ES2011b.A.argumentstructs.Erik.2"
ES2011b.C.argumentstructs.Erik.2,C,1147.54,1147.99,Yeah.,ES2011b.D.argumentstructs.Erik.1,NONE
ES2011b.C.argumentstructs.7,C,1150.07,1154.63,Yeah. Yeah. Yeah.,NONE,NONE
ES2011b.A.argumentstructs.Erik.2,A,1154.98,1167.584,"You know, I've seen some remotes that  where you just hold one, like if you hold one down it's it's a different colour than the other buttons but that turns it on. So you don't actually have a separate power button, it's just",ES2011b.D.argumentstructs.Erik.1,"ES2011b.D.argumentstructs.Erik.2, ES2011b.C.argumentstructs.Erik.3"
ES2011b.D.argumentstructs.Erik.2,D,1166.52,1168.02,"Oh okay, yeah.",ES2011b.A.argumentstructs.Erik.2,NONE
ES2011b.C.argumentstructs.Erik.3,C,1167.72,1182.52,"It seems like that would be hard though. I mean, like because unless you know  yeah. Just 'cause I wouldn't  I would probably pick it up and just be like uh why is there no on button.  Yeah. B  Yeah.",ES2011b.A.argumentstructs.Erik.2,ES2011b.A.argumentstructs.Erik.3
ES2011b.A.argumentstructs.7,A,1168.44,1168.66,But,NONE,NONE
ES2011b.A.argumentstructs.Erik.3,A,1171.58,1173.35,It might be confusing. Yeah.,ES2011b.C.argumentstructs.Erik.3,"ES2011b.A.argumentstructs.Erik.4, ES2011b.B.argumentstructs.Erik.1"
ES2011b.A.argumentstructs.8,A,1175.44,1176.02,Yeah.,NONE,NONE
ES2011b.A.argumentstructs.Erik.4,A,1177.27,1186.49,Besides you like to be able to go power.  I have the power  I guess. So we definitely want a power button and numbers. Right.,ES2011b.A.argumentstructs.Erik.3,NONE
ES2011b.B.argumentstructs.Erik.1,B,1178.12,1181.36,"Yeah, I never think to hold something down.",ES2011b.A.argumentstructs.Erik.3,"ES2011b.D.argumentstructs.Erik.3, ES2011b.C.argumentstructs.Erik.4"
ES2011b.D.argumentstructs.Erik.3,D,1178.41,1178.99,Yeah.,ES2011b.B.argumentstructs.Erik.1,NONE
ES2011b.C.argumentstructs.Erik.4,C,1185.97,1186.45,Yeah.,ES2011b.B.argumentstructs.Erik.1,NONE
ES2011b.D.argumentstructs.Erik.4,D,1186.48,1210.272,"Well even um iPod thing, like um, I don't know if people like this but if you want to reduce the number, of buttons, instead of having like one to nine, have a sort of scrolling  I don't know. Yeah. Because people li seem  now the iPod's out people seem to like this thing that there's no",ES2011b.C.argumentstructs.Erik.1,"ES2011b.C.argumentstructs.Erik.5, ES2011b.D.argumentstructs.Erik.5, ES2011b.C.argumentstructs.Erik.6"
ES2011b.C.argumentstructs.Erik.5,C,1202.05,1205.63,"That sort of like joystick flat touch thing, yeah.",ES2011b.D.argumentstructs.Erik.4,NONE
ES2011b.D.argumentstructs.Erik.5,D,1211.98,1214.323,Know you don't have one two three four five,ES2011b.D.argumentstructs.Erik.4,NONE
ES2011b.C.argumentstructs.Erik.6,C,1212.93,1227.98,"Yeah, yeah. I think that's an interesting idea, 'cause it's cool, it's it's funny like you f like I just  I don't have an iPod but like I, you know, I just like started messing around with one of my friend's the other day, and you just sort of and  it's funny how you pick it up and you just figure out how to use it quite easily, like it's not that hard, you know.",ES2011b.D.argumentstructs.Erik.4,"ES2011b.A.argumentstructs.Erik.5, ES2011b.D.argumentstructs.Erik.6"
ES2011b.A.argumentstructs.9,A,1214.72,1214.95,Mm.,NONE,NONE
ES2011b.A.argumentstructs.Erik.5,A,1227.65,1227.98,Yeah.,ES2011b.C.argumentstructs.Erik.6,NONE
ES2011b.D.argumentstructs.Erik.6,D,1227.99,1231.27,"Yeah yeah, it's just  and it's one thing which has everything.",ES2011b.C.argumentstructs.Erik.6,NONE
