ae_id,speaker,start_time,end_time,sentence,source,targets
ES2011c.C.argumentstructs.12,C,627.43,630.65,I guess that's wh why I was thinking you may need to have some kind of a screen because,NONE,NONE
ES2011c.C.argumentstructs.Erik.1,C,631.75,647.024,So that people can go arou go back and forth and choose if  or or  then again if you just  I guess  I c I can see like some kind of a thing where like you sort of have like the number come up on the T_V_ like what channel you're on. You can just scroll and you can just get to like five or like twelve or,NONE,"ES2011c.D.argumentstructs.Erik.1, ES2011c.B.argumentstructs.Erik.1, ES2011c.B.argumentstructs.Erik.2, ES2011c.A.argumentstructs.Erik.1, ES2011c.B.argumentstructs.Erik.4"
ES2011c.D.argumentstructs.Erik.1,D,642.64,645.1,"Yeah, yeah, yeah. Yeah, yeah.",ES2011c.C.argumentstructs.Erik.1,NONE
ES2011c.B.argumentstructs.Erik.1,B,643.71,644.01,Yeah.,ES2011c.C.argumentstructs.Erik.1,NONE
ES2011c.A.argumentstructs.13,A,646.96,648.44,But but imagine someone with s,NONE,NONE
ES2011c.B.argumentstructs.Erik.2,B,647.14,650.22,"My flatmates actually had one with a wheel, and it it did show up on the T_V_",ES2011c.C.argumentstructs.Erik.1,NONE
ES2011c.C.argumentstructs.13,C,649.61,650.76,I oh yeah ?,NONE,NONE
ES2011c.B.argumentstructs.11,B,650.22,650.22,.,NONE,NONE
ES2011c.A.argumentstructs.Erik.1,A,651.44,656.854,But i what if you have satellite and you have like two hundred channels. Then to get to channel one eighty nine you have to,ES2011c.C.argumentstructs.Erik.1,"ES2011c.C.argumentstructs.Erik.2, ES2011c.B.argumentstructs.Erik.3, ES2011c.C.argumentstructs.Erik.4"
ES2011c.C.argumentstructs.Erik.2,C,654.56,659.868,'Cause you'll have to like  but you can quickly s you can,ES2011c.A.argumentstructs.Erik.1,ES2011c.D.argumentstructs.Erik.2
ES2011c.D.argumentstructs.Erik.2,D,655.67,656.59,Yeah.,ES2011c.C.argumentstructs.Erik.2,NONE
ES2011c.B.argumentstructs.Erik.3,B,656.55,662.42,"They have to r wheel really fast. But I think the wheel goes through like a hundred channels, at least on theirs.",ES2011c.A.argumentstructs.Erik.1,"ES2011c.A.argumentstructs.Erik.2, ES2011c.C.argumentstructs.Erik.3, ES2011c.D.argumentstructs.Erik.3"
ES2011c.A.argumentstructs.Erik.2,A,657.76,659.008,Yeah.,ES2011c.B.argumentstructs.Erik.3,NONE
ES2011c.C.argumentstructs.Erik.3,C,660.44,661.03,Yeah.,ES2011c.B.argumentstructs.Erik.3,NONE
ES2011c.D.argumentstructs.Erik.3,D,660.46,661.77,"Yeah, yeah, yeah.",ES2011c.B.argumentstructs.Erik.3,NONE
ES2011c.C.argumentstructs.Erik.4,C,662.55,672.192,"Yeah if you do, it w so it would have to be  you  I mean so you basically just kinda need to figure out like what kind of, you know, range we need to have on the wheel, and um",ES2011c.A.argumentstructs.Erik.1,ES2011c.C.argumentstructs.Erik.5
ES2011c.C.argumentstructs.14,C,674.75,683.97,"you know, th you're either doing this motion to like control the channels or like once once you stop that, you know, you can like tap for, um, different",NONE,NONE
ES2011c.A.argumentstructs.Erik.3,A,683.24,683.81,Yeah.,ES2011c.C.argumentstructs.Erik.5,NONE
ES2011c.C.argumentstructs.Erik.5,C,685.91,694.24,"uh, whatchamacallits, different um, you know, functions like volume or, like you can tap just to get to different channels.",ES2011c.C.argumentstructs.Erik.4,"ES2011c.A.argumentstructs.Erik.3, ES2011c.C.argumentstructs.Erik.6"
ES2011c.C.argumentstructs.Erik.6,C,695.92,699.83,Like if you just wanted to go to like  from five to six you could tap or someth,ES2011c.C.argumentstructs.Erik.5,"ES2011c.A.argumentstructs.Erik.4, ES2011c.C.argumentstructs.Erik.7"
ES2011c.A.argumentstructs.Erik.4,A,699.93,700.31,Right.,ES2011c.C.argumentstructs.Erik.6,NONE
ES2011c.C.argumentstructs.Erik.7,C,701.01,719.12,"And then there's also the concern about you know um  how do you get to the menu if you wanna change the brightness of your television, or if you want to um  you know switch around, I don't know, like, these different modes like turn on the timer or like something something like that, like",ES2011c.C.argumentstructs.Erik.6,"ES2011c.A.argumentstructs.Erik.5, ES2011c.A.argumentstructs.Erik.6"
ES2011c.A.argumentstructs.Erik.5,A,716.46,716.73,Yeah,ES2011c.C.argumentstructs.Erik.7,NONE
ES2011c.A.argumentstructs.Erik.6,A,718.68,726.6,"I mean with that many options, you'd   uh  I'd think that the screen would be better, because you could have that menu option, sort of",ES2011c.C.argumentstructs.Erik.7,"ES2011c.C.argumentstructs.Erik.8, ES2011c.C.argumentstructs.Erik.9"
ES2011c.C.argumentstructs.Erik.8,C,723.22,724.816,"I would think so too, like",ES2011c.A.argumentstructs.Erik.6,NONE
ES2011c.C.argumentstructs.Erik.9,C,726.18,741.6,"So I mean  and it seems it w it does seem a little silly to have this screen if you hardly are ever using it, you know, because  but then again it would  it does make kind of  if the screen's sort of just like an option that, like, is just there and you're not really using it, that's kind of  m yeah.",ES2011c.A.argumentstructs.Erik.6,ES2011c.A.argumentstructs.Erik.7
ES2011c.A.argumentstructs.Erik.7,A,731.94,732.29,Yeah.,ES2011c.C.argumentstructs.Erik.9,NONE
ES2011c.A.argumentstructs.14,A,739.17,743.07,Yeah. Uh.,NONE,NONE
ES2011c.B.argumentstructs.Erik.4,B,739.79,749.64,"It's more expensive according to the design people. You have to get a  an advanced chip if you wanna have a screen in, which is more expensive than the regular chip, which is more expensive than the minimal.",ES2011c.C.argumentstructs.Erik.1,ES2011c.C.argumentstructs.Erik.10
ES2011c.C.argumentstructs.Erik.10,C,742.47,743.74,"Yeah, that's the only thing though.",ES2011c.B.argumentstructs.Erik.4,NONE
