ae_id,speaker,start_time,end_time,sentence,source,targets
ES2011d.A.argumentstructs.Erik.1,A,1097.26,1106.55,"See I'm having I'm having trouble imagining the  is it uh gonna be the size, like the the controller ? It  or bigger ?",NONE,"ES2011d.B.argumentstructs.Erik.1, ES2011d.C.argumentstructs.Erik.2"
ES2011d.B.argumentstructs.7,B,1107.03,1107.34,mm.,NONE,NONE
ES2011d.A.argumentstructs.11,A,1107.22,1108.14,Because,NONE,NONE
ES2011d.C.argumentstructs.7,C,1111.87,1113.49,you could hold it in your hand better.,NONE,NONE
ES2011d.B.argumentstructs.Erik.1,B,1114.09,1119.4,"I think the base would definitely be larger, 'cause some of these are not as easy to hold. They're kinda smallish.",ES2011d.A.argumentstructs.Erik.1,"ES2011d.A.argumentstructs.Erik.2, ES2011d.A.argumentstructs.Erik.3"
ES2011d.A.argumentstructs.Erik.2,A,1118.01,1118.54,Yeah.,ES2011d.B.argumentstructs.Erik.1,NONE
ES2011d.A.argumentstructs.Erik.3,A,1119.95,1141.92,"No but I imagine even if it was bigger, like if it's round and it's big then you you can't get  that's why remote controls are long because you have that thumb kind of  so c they could all be bananas and cucumbers.  Um but I don't s I I personally don't think this is comfortable to to sit there, like it's an awkward position.",ES2011d.B.argumentstructs.Erik.1,"ES2011d.C.argumentstructs.Erik.1, ES2011d.B.argumentstructs.Erik.2"
ES2011d.C.argumentstructs.Erik.1,C,1124.58,1127.31,Yeah. The flat one. Yeah.,ES2011d.A.argumentstructs.Erik.3,NONE
ES2011d.B.argumentstructs.Erik.2,B,1125.64,1126.07,Yeah.,ES2011d.A.argumentstructs.Erik.3,NONE
ES2011d.C.argumentstructs.8,C,1132.2,1132.9,Yeah.,NONE,NONE
ES2011d.C.argumentstructs.Erik.2,C,1138.61,1144.08,I didn't  yeah. But like if if you just squash them flat like and you made it flat,ES2011d.A.argumentstructs.Erik.1,"ES2011d.B.argumentstructs.Erik.3, ES2011d.C.argumentstructs.Erik.3, ES2011d.A.argumentstructs.Erik.5"
ES2011d.B.argumentstructs.Erik.3,B,1144.04,1147.64,Well if they're that s uh stress ball stuff they would be pretty squishable.,ES2011d.C.argumentstructs.Erik.2,NONE
ES2011d.C.argumentstructs.Erik.3,C,1150.45,1153.36,"But it's still too big I think, in your hand. Yeah.",ES2011d.C.argumentstructs.Erik.2,ES2011d.A.argumentstructs.Erik.4
ES2011d.B.argumentstructs.8,B,1150.74,1150.86,Mm.,NONE,NONE
ES2011d.A.argumentstructs.Erik.4,A,1152.24,1152.96,Yeah.,ES2011d.C.argumentstructs.Erik.3,NONE
ES2011d.A.argumentstructs.Erik.5,A,1155.82,1159.488,And would it even resemble fruit that way ? I mean,ES2011d.C.argumentstructs.Erik.2,ES2011d.C.argumentstructs.Erik.4
ES2011d.C.argumentstructs.Erik.4,C,1159.02,1166.35,"Yeah like certain ones  you'd have to limit the fruit selection, like you could probably do a strawberry still. I think the broccoli would be out.",ES2011d.A.argumentstructs.Erik.5,"ES2011d.A.argumentstructs.Erik.6, ES2011d.C.argumentstructs.Erik.5, ES2011d.A.argumentstructs.Erik.9"
ES2011d.A.argumentstructs.Erik.6,A,1161.91,1162.2,Yeah.,ES2011d.C.argumentstructs.Erik.4,NONE
ES2011d.A.argumentstructs.12,A,1164.78,1165.28,Yeah.,NONE,NONE
ES2011d.C.argumentstructs.Erik.5,C,1167.51,1172.78,"You could do, although the broccoli is quite comfortable, I have to say, like  sorta like a joystick.",ES2011d.C.argumentstructs.Erik.4,"ES2011d.A.argumentstructs.Erik.7, ES2011d.D.argumentstructs.Erik.2, ES2011d.D.argumentstructs.Erik.3"
ES2011d.A.argumentstructs.Erik.7,A,1171.73,1175.52,"Yeah that I I  when you were holding that before, it actually looked  yeah.",ES2011d.C.argumentstructs.Erik.5,ES2011d.D.argumentstructs.Erik.1
ES2011d.D.argumentstructs.Erik.1,D,1173.34,1175.44,Yeah. That looked really good.,ES2011d.A.argumentstructs.Erik.7,NONE
ES2011d.D.argumentstructs.Erik.2,D,1178.01,1180.15,"Are there any fruits that look like broccoli, no ?",ES2011d.C.argumentstructs.Erik.5,"ES2011d.B.argumentstructs.Erik.4, ES2011d.B.argumentstructs.Erik.5"
ES2011d.B.argumentstructs.Erik.4,B,1182.85,1183.88,Not that I can think of.,ES2011d.D.argumentstructs.Erik.2,NONE
ES2011d.B.argumentstructs.Erik.5,B,1183.88,1188.132,Rhubarb.,ES2011d.D.argumentstructs.Erik.2,NONE
ES2011d.D.argumentstructs.Erik.3,D,1188.65,1192.8,I think that broccoli is my favourite actually. Uh despite the,ES2011d.C.argumentstructs.Erik.5,ES2011d.A.argumentstructs.Erik.8
ES2011d.A.argumentstructs.Erik.8,A,1191.3,1191.72,Yeah.,ES2011d.D.argumentstructs.Erik.3,NONE
ES2011d.A.argumentstructs.Erik.9,A,1193.45,1206.71,What if um the  it was just patterns on like  we we chose the shape or the sh shape could be whatever we wanted and then it would just be like a design on the rubber.,ES2011d.C.argumentstructs.Erik.4,ES2011d.A.argumentstructs.Erik.10
ES2011d.C.argumentstructs.9,C,1208.34,1209.99,Huh ? Oh okay.,NONE,NONE
ES2011d.A.argumentstructs.Erik.10,A,1209.33,1213.35,You know like like just a printed yeah or coloured yeah.,ES2011d.A.argumentstructs.Erik.9,ES2011d.B.argumentstructs.Erik.6
