ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012a.A.argumentstructs.Erik.6,A,635.07,641.4,Any other thoughts about um th the physical appearance of a  of remote controls ?,NONE,"ES2012a.C.argumentstructs.Erik.2, ES2012a.A.argumentstructs.Erik.8"
ES2012a.C.argumentstructs.Erik.2,C,641.68,654.14,"I think something that's comfortable to hold because sometimes you get the remote controls that are just those big, rectangular things and uh they're kind of awkward to hold onto, so something that's more comfortable that fits in a person's hand better.",ES2012a.A.argumentstructs.Erik.6,ES2012a.A.argumentstructs.Erik.7
ES2012a.D.argumentstructs.13,D,647.22,647.36,Mm.,NONE,NONE
ES2012a.A.argumentstructs.Erik.7,A,655.66,677.0,I mean th the thing that i immediately comes to mind is computer mouses which um I mean y you get all sorts of shapes in the shops and s you know some quite fancy ones um than the   some from personal experience which look nice but  aren't particularly comfortable.,ES2012a.C.argumentstructs.Erik.2,"ES2012a.C.argumentstructs.Erik.3, ES2012a.D.argumentstructs.Erik.6"
ES2012a.C.argumentstructs.Erik.3,C,661.82,662.19,Yeah.,ES2012a.A.argumentstructs.Erik.7,NONE
ES2012a.D.argumentstructs.Erik.6,D,662.76,663.04,Yeah.,ES2012a.A.argumentstructs.Erik.7,NONE
ES2012a.C.argumentstructs.8,C,668.67,677.01,Yeah. Yeah.,NONE,NONE
ES2012a.A.argumentstructs.Erik.8,A,677.0,687.696,Um  any thoughts about buttons or flat screens or uh uh,ES2012a.A.argumentstructs.Erik.6,ES2012a.D.argumentstructs.Erik.7
ES2012a.D.argumentstructs.Erik.7,D,689.65,709.5,"Well from the mouse idea you could,  remote is a piece of plastic with the big rubber buttons sticking out of it which you press, whereas if you want   could all be flat and the buttons are very kind of almost subtle that instead of being raised out of the device uh you push into device you see, like a mouse button.",ES2012a.A.argumentstructs.Erik.8,ES2012a.A.argumentstructs.Erik.9
ES2012a.A.argumentstructs.Erik.9,A,709.59,721.53,"Yes, I mean  the only thing is if if you're watching television in a in a a darkened room um you need to be able to uh fi find the button buttons easily.",ES2012a.D.argumentstructs.Erik.7,"ES2012a.D.argumentstructs.Erik.8, ES2012a.C.argumentstructs.Erik.4"
ES2012a.B.argumentstructs.5,B,715.71,727.74,Mm. Mm.,NONE,NONE
ES2012a.D.argumentstructs.14,D,716.12,716.71,I suppose.,NONE,NONE
ES2012a.D.argumentstructs.Erik.8,D,719.3,720.27,"Easily, yeah yeah.",ES2012a.A.argumentstructs.Erik.9,NONE
ES2012a.C.argumentstructs.Erik.4,C,722.05,730.09,But maybe they could be concave instead of sticking up to have them  be kind of down so you could feel them better.,ES2012a.A.argumentstructs.Erik.9,"ES2012a.A.argumentstructs.Erik.10, ES2012a.C.argumentstructs.Erik.6"
ES2012a.D.argumentstructs.15,D,727.36,727.55,Mm.,NONE,NONE
ES2012a.A.argumentstructs.Erik.10,A,729.96,752.096,"Yeah, that's uh  must admit I don't think I've ever seen one with concave buttons, that's uh  certainly be different. Um do we need it to uh  I can't think of any re remote controls that I know of that actually light up at all. Do we do we want uh",ES2012a.C.argumentstructs.Erik.4,"ES2012a.C.argumentstructs.Erik.5, ES2012a.B.argumentstructs.Erik.2"
ES2012a.C.argumentstructs.Erik.5,C,750.48,751.46,Oh yeah.,ES2012a.A.argumentstructs.Erik.10,NONE
ES2012a.B.argumentstructs.Erik.2,B,750.8,751.92,Mm that would be good.,ES2012a.A.argumentstructs.Erik.10,NONE
ES2012a.C.argumentstructs.Erik.6,C,752.71,754.47,Like a like a mobile phone ?,ES2012a.C.argumentstructs.Erik.4,"ES2012a.C.argumentstructs.Erik.7, ES2012a.A.argumentstructs.Erik.11, ES2012a.D.argumentstructs.Erik.9"
ES2012a.A.argumentstructs.Erik.11,A,754.12,754.71,Yeah.,ES2012a.C.argumentstructs.Erik.6,NONE
ES2012a.B.argumentstructs.6,B,754.41,755.99,Mm. Mm.,NONE,NONE
ES2012a.C.argumentstructs.Erik.7,C,754.47,755.01,Yeah.,ES2012a.C.argumentstructs.Erik.6,NONE
ES2012a.D.argumentstructs.Erik.9,D,755.68,757.25,"Mm, yeah that would be good.",ES2012a.C.argumentstructs.Erik.6,NONE
