ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012b.A.argumentstructs.Erik.1,A,1784.75,1831.26,"Uh it seems seems to me there are a number of fundamental decisions to make before we um  I think your point about the the big energy source is uh a very valid one. Um I don't suppose we've got any statistics on the the life expectancy of uh remote controls, particularly sort of independent ones. Um given you know, the number of things you buy these days, which you know, have a a a lithium whatever battery in, that's uh, you know never needs replacing. Um perhaps we should have the the disposable remote control, uh um you know, one  some sort of typical usage. You know, the the the battery will last know, five, ten years.",NONE,ES2012b.A.argumentstructs.Erik.2
ES2012b.A.argumentstructs.Erik.2,A,1832.34,1840.58,"By which time  I mean when all's said and done, the digital television  will be taking over in that time scale.",ES2012b.A.argumentstructs.Erik.1,ES2012b.A.argumentstructs.Erik.3
ES2012b.B.argumentstructs.7,B,1838.39,1838.65,Mm.,NONE,NONE
ES2012b.D.argumentstructs.5,D,1840.04,1840.2,Mm-hmm.,NONE,NONE
ES2012b.A.argumentstructs.Erik.3,A,1840.58,1849.204,"Um uh uh p perhaps we should, know, reduce the uh, you know, the sort of moving parts even more by not even having a battery compartment and uh",ES2012b.A.argumentstructs.Erik.2,ES2012b.B.argumentstructs.Erik.1
ES2012b.B.argumentstructs.Erik.1,B,1848.4,1851.31,Just having one that's guaranteed to last five to ten years ?,ES2012b.A.argumentstructs.Erik.3,"ES2012b.B.argumentstructs.Erik.2, ES2012b.A.argumentstructs.Erik.4"
ES2012b.A.argumentstructs.Erik.4,A,1850.88,1879.147,"Yeah, and if if anybody manages to run it down, we'll we'll give 'em a new one. Um it's, you know, it's  what it saves in cost and you know there there's a  well, it's actually a marketing gimmick. I mean it's hardly a gimmick, it's uh it's totally practical. Uh so I th think you know the idea of a rechargeable one is um uh unless you're really high tech and it sort of just recharges itself if it's n by, you know, magnetic waves or whatever, if if it",ES2012b.B.argumentstructs.Erik.1,"ES2012b.B.argumentstructs.Erik.3, ES2012b.D.argumentstructs.Erik.1, ES2012b.A.argumentstructs.Erik.8"
ES2012b.B.argumentstructs.Erik.2,B,1851.31,1852.2,"Oh, cool.",ES2012b.B.argumentstructs.Erik.1,NONE
ES2012b.B.argumentstructs.Erik.3,B,1854.45,1855.62,"Yeah, fair enough.",ES2012b.A.argumentstructs.Erik.4,NONE
ES2012b.D.argumentstructs.Erik.1,D,1878.12,1883.84,It could have like uh  know like a cordless phone in your house it s got like a base that sits there all the time.,ES2012b.A.argumentstructs.Erik.4,ES2012b.A.argumentstructs.Erik.5
ES2012b.A.argumentstructs.Erik.5,A,1882.65,1886.61,Yeah.  Are are people really gonna use it though ? Um.,ES2012b.D.argumentstructs.Erik.1,"ES2012b.D.argumentstructs.Erik.2, ES2012b.C.argumentstructs.Erik.1"
ES2012b.B.argumentstructs.8,B,1882.79,1883.77,"Mm, mm.",NONE,NONE
ES2012b.D.argumentstructs.Erik.2,D,1885.68,1887.05,"I suppose, yeah.",ES2012b.A.argumentstructs.Erik.5,NONE
ES2012b.C.argumentstructs.Erik.1,C,1885.81,1892.37,"Yeah, people are pro I would think that people might forget  I mean people forget to put their cordless phones back on there, so.",ES2012b.A.argumentstructs.Erik.5,"ES2012b.B.argumentstructs.Erik.4, ES2012b.A.argumentstructs.Erik.6, ES2012b.B.argumentstructs.Erik.5"
ES2012b.B.argumentstructs.Erik.4,B,1886.73,1887.33,Mm yeah.,ES2012b.C.argumentstructs.Erik.1,NONE
ES2012b.A.argumentstructs.9,A,1889.64,1890.66,I I th I think,NONE,NONE
ES2012b.B.argumentstructs.9,B,1891.92,1899.32,Mm-mm. Mm.,NONE,NONE
ES2012b.A.argumentstructs.Erik.6,A,1892.52,1904.41,"Yeah, it's um  I mean I know that somei times my my wife goes out in the morning and says oh I should have put the phone on to charge and then then she's had those for so long that if she hasn't worked that out by now. Um.",ES2012b.C.argumentstructs.Erik.1,ES2012b.D.argumentstructs.Erik.3
ES2012b.D.argumentstructs.Erik.3,D,1892.88,1893.13,Yeah.,ES2012b.A.argumentstructs.Erik.6,NONE
ES2012b.B.argumentstructs.Erik.5,B,1905.03,1915.03,"'Cause I only remember to charge my cell phone uh when battery dies.  And that's pretty much  yeah. Yeah, when it turns itself off, that's when I plug it in, yeah.",ES2012b.C.argumentstructs.Erik.1,"ES2012b.C.argumentstructs.Erik.2, ES2012b.A.argumentstructs.Erik.7"
ES2012b.C.argumentstructs.Erik.2,C,1909.29,1909.53,Yeah.,ES2012b.B.argumentstructs.Erik.5,NONE
ES2012b.A.argumentstructs.Erik.7,A,1909.57,1914.36,"When it  yeah, wh when it's died is a problem. Yeah, yeah, yeah,",ES2012b.B.argumentstructs.Erik.5,NONE
ES2012b.A.argumentstructs.Erik.8,A,1914.36,1921.75,so uh um what so wh what what do we think about the um the the permanent mm battery ?,ES2012b.A.argumentstructs.Erik.4,"ES2012b.B.argumentstructs.Erik.6, ES2012b.D.argumentstructs.Erik.4"
ES2012b.B.argumentstructs.Erik.6,B,1921.83,1923.89,"Yeah, think that's a good idea.",ES2012b.A.argumentstructs.Erik.8,NONE
ES2012b.D.argumentstructs.Erik.4,D,1922.97,1925.04,"Uh. That sounds pretty good, yeah.",ES2012b.A.argumentstructs.Erik.8,NONE
