ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012c.D.argumentstructs.Rutger.13,D,1341.93,1345.45,if we could save  depending on the cost of the product itself,NONE,"ES2012c.D.argumentstructs.Rutger.14, ES2012c.D.argumentstructs.Rutger.16"
ES2012c.D.argumentstructs.Rutger.14,D,1345.45,1351.21,"you know, could we have uh a cheaper b cheaper power source and then just have it annually renewed ?",ES2012c.D.argumentstructs.Rutger.13,ES2012c.D.argumentstructs.Rutger.15
ES2012c.D.argumentstructs.29,D,1345.45,1345.45,",",NONE,NONE
ES2012c.D.argumentstructs.Rutger.15,D,1352.75,1355.44,Instead of having a ten year guarantee ?,ES2012c.D.argumentstructs.Rutger.14,NONE
ES2012c.D.argumentstructs.Rutger.16,D,1355.44,1360.27,"With interchangeable covers, could just buy a new one every year, a new one when new fashions come out.",ES2012c.D.argumentstructs.Rutger.13,"ES2012c.C.argumentstructs.Rutger.21, ES2012c.A.argumentstructs.Rutger.25, ES2012c.B.argumentstructs.Rutger.12, ES2012c.C.argumentstructs.Rutger.22, ES2012c.A.argumentstructs.Rutger.31, ES2012c.A.argumentstructs.Rutger.33, ES2012c.B.argumentstructs.Rutger.19"
ES2012c.C.argumentstructs.Rutger.21,C,1359.12,1359.5,Yeah.,ES2012c.D.argumentstructs.Rutger.16,NONE
ES2012c.B.argumentstructs.35,B,1360.87,1381.36,Mm. Mm. I,NONE,NONE
ES2012c.A.argumentstructs.Rutger.25,A,1362.85,1378.62,"I I mean it its uh I  that's an interesting idea, it's like the old Swatch watch where uh um on only batteries ever got changed in those, 'cause people just bought a new one when it went out of fashion, but it's just never been seen as a a fashion item before.",ES2012c.D.argumentstructs.Rutger.16,"ES2012c.A.argumentstructs.Rutger.26, ES2012c.D.argumentstructs.Rutger.17"
ES2012c.D.argumentstructs.Rutger.17,D,1378.27,1378.63,Yeah.,ES2012c.A.argumentstructs.Rutger.25,NONE
ES2012c.A.argumentstructs.Rutger.26,A,1378.62,1383.312,Um that's  yes if if if they're made in sufficient quantity,ES2012c.A.argumentstructs.Rutger.25,NONE
ES2012c.C.argumentstructs.43,C,1380.42,1380.58,Wh,NONE,NONE
ES2012c.B.argumentstructs.Rutger.12,B,1383.52,1391.22,"I think it's easier sometimes to have them buy changeable covers for it than to buy a whole new one, because you don't feel like you're investing in a whole new product.",ES2012c.D.argumentstructs.Rutger.16,ES2012c.A.argumentstructs.Rutger.27
ES2012c.A.argumentstructs.Rutger.27,A,1391.16,1409.73,"W I mean we we can uh uh b but I mean my feeling is that current power sources are such that for relatively little cost you can make it last, you know, a long time. Um but if we also make it cheap enough that people either change the cover every year or even buy a new one every year then it it's it's even better.",ES2012c.B.argumentstructs.Rutger.12,ES2012c.B.argumentstructs.Rutger.13
ES2012c.B.argumentstructs.Rutger.13,B,1394.75,1395.09,Yeah.,ES2012c.A.argumentstructs.Rutger.27,NONE
ES2012c.B.argumentstructs.36,B,1396.68,1410.11,Mm. Yeah. Mm. Mm.,NONE,NONE
ES2012c.C.argumentstructs.Rutger.22,C,1410.1,1412.8,What if we included the batteries in the cover ?,ES2012c.D.argumentstructs.Rutger.16,"ES2012c.D.argumentstructs.Rutger.18, ES2012c.B.argumentstructs.Rutger.14, ES2012c.C.argumentstructs.Rutger.23, ES2012c.A.argumentstructs.Rutger.28, ES2012c.D.argumentstructs.Rutger.19"
ES2012c.D.argumentstructs.Rutger.18,D,1410.47,1410.92,Mm-hmm.,ES2012c.C.argumentstructs.Rutger.22,NONE
ES2012c.B.argumentstructs.Rutger.14,B,1413.67,1419.45,Oh yeah. I like that. That all c also kind of encourages 'em to buy new covers and  yeah.,ES2012c.C.argumentstructs.Rutger.22,NONE
ES2012c.C.argumentstructs.44,C,1414.35,1416.32,So um like,NONE,NONE
ES2012c.C.argumentstructs.Rutger.23,C,1419.12,1424.22,"Yeah, so can I see that thing ? Just  this as examples.",ES2012c.C.argumentstructs.Rutger.22,NONE
ES2012c.B.argumentstructs.37,B,1421.21,1421.53,Um.,NONE,NONE
ES2012c.A.argumentstructs.59,A,1421.53,1422.11,S,NONE,NONE
