ae_id,speaker,start_time,end_time,sentence,source,targets
ES2013c.A.argumentstructs.Rutger.1,A,1934.47,1992.59,"what form of energy are we going to use, which  the choices that we've discussed were pretty much battery, kinetic or solar. Um this is where Kate's expertise comes in, and our decision making will be a little bit guided by Kate at this point. The  You were saying that the kinetic would be useful, that is you just have to move it some and you'd be able to use it um as opposed to a battery that you have to either put it in a recharger or um keep replacing the batteries. Um or solar that you'd have difficulty with it if it's a dark day, that it'll die on you, and no way to do it. That's the day you wanna use the T_V_. Um so what's our pleasure here, what would be the cost consequences of each of the three ?",NONE,"ES2013c.B.argumentstructs.Rutger.1, ES2013c.A.argumentstructs.Rutger.3"
ES2013c.B.argumentstructs.6,B,1985.54,1986.05,Mm.,NONE,NONE
ES2013c.B.argumentstructs.Rutger.1,B,1994.66,2005.21,"Oh unfortunately I don't have costing information. I i in terms of workability, I I think the the two front-runners are the standard battery or the kinetic,",ES2013c.A.argumentstructs.Rutger.1,"ES2013c.B.argumentstructs.Rutger.2, ES2013c.A.argumentstructs.Rutger.2"
ES2013c.A.argumentstructs.Rutger.2,A,1997.57,1998.24,Okay.,ES2013c.B.argumentstructs.Rutger.1,NONE
ES2013c.B.argumentstructs.Rutger.2,B,2005.21,2007.73,but I'm sorry I don't figures on the difference in cost.,ES2013c.B.argumentstructs.Rutger.1,NONE
ES2013c.A.argumentstructs.Rutger.3,A,2005.46,2012.26,Mm 'kay. What's the uh feelings of the group on the kinetic ?,ES2013c.A.argumentstructs.Rutger.1,"ES2013c.D.argumentstructs.Rutger.1, ES2013c.C.argumentstructs.Rutger.1, ES2013c.D.argumentstructs.Rutger.2, ES2013c.C.argumentstructs.Rutger.2, ES2013c.A.argumentstructs.Rutger.4"
ES2013c.D.argumentstructs.Rutger.1,D,2011.88,2021.21,"I've used kinetic in terms of watches and it's very very uh handy, you don't even notice um that it's there.",ES2013c.A.argumentstructs.Rutger.3,NONE
ES2013c.C.argumentstructs.Rutger.1,C,2020.29,2030.32,"It sounds great. I've never come across it before, but it sounds fantastic. Sounds like it could be g a really good economical  it would make the whole thing a lot lighter, more convenient",ES2013c.A.argumentstructs.Rutger.3,NONE
ES2013c.D.argumentstructs.6,D,2027.07,2027.64,Mm-hmm.,NONE,NONE
ES2013c.C.argumentstructs.7,C,2030.32,2030.32,.,NONE,NONE
ES2013c.A.argumentstructs.5,A,2030.6,2033.98,Hmm. Hmm.,NONE,NONE
ES2013c.D.argumentstructs.Rutger.2,D,2030.95,2038.78,"It could tie in with the fanciful design as uh, you know,  throw the banana, you know, just gotta keep it moving.",ES2013c.A.argumentstructs.Rutger.3,NONE
ES2013c.C.argumentstructs.Rutger.2,C,2033.62,2040.66,"Yeah. 'Cause it's really a quite attractive thought, isn't it ? It's like  yeah, a good selling point.",ES2013c.A.argumentstructs.Rutger.3,NONE
ES2013c.A.argumentstructs.Rutger.4,A,2039.58,2043.38,So the consensus seems to be use the kinetic if it's at all possible.,ES2013c.A.argumentstructs.Rutger.3,"ES2013c.C.argumentstructs.Rutger.3, ES2013c.B.argumentstructs.Rutger.3"
ES2013c.D.argumentstructs.7,D,2039.65,2039.74,Be,NONE,NONE
ES2013c.C.argumentstructs.Rutger.3,C,2043.62,2049.83,But it does depend how much I mean how much it costs and how much more development and research it needs.,ES2013c.A.argumentstructs.Rutger.4,ES2013c.D.argumentstructs.Rutger.3
ES2013c.D.argumentstructs.Rutger.3,D,2049.78,2050.26,Yeah.,ES2013c.C.argumentstructs.Rutger.3,NONE
ES2013c.A.argumentstructs.6,A,2049.89,2070.89,Mm. Mm. Mm. Hmm. Yeah.,NONE,NONE
ES2013c.B.argumentstructs.Rutger.3,B,2050.21,2056.49,"And and how much you do have to keep it moving, 'cause I'm conscious that watching T_V_ can be quite a sed sedentary activity.",ES2013c.A.argumentstructs.Rutger.4,"ES2013c.D.argumentstructs.Rutger.4, ES2013c.D.argumentstructs.Rutger.5"
ES2013c.D.argumentstructs.Rutger.4,D,2052.79,2053.11,Yeah.,ES2013c.B.argumentstructs.Rutger.3,NONE
ES2013c.D.argumentstructs.Rutger.5,D,2056.5,2067.7,"Mm-hmm. But I could market that as a um as a  a  I was thinking actually a a cost saver down the road, in terms of battery, you know.",ES2013c.B.argumentstructs.Rutger.3,ES2013c.C.argumentstructs.Rutger.5
ES2013c.C.argumentstructs.Rutger.5,C,2059.552,2063.248,Do your exercises while you're watching the T_V_.,ES2013c.D.argumentstructs.Rutger.5,"ES2013c.B.argumentstructs.Rutger.4, ES2013c.B.argumentstructs.Rutger.5"
ES2013c.B.argumentstructs.Rutger.4,B,2060.893,2063.531,Yeah.,ES2013c.C.argumentstructs.Rutger.5,NONE
ES2013c.B.argumentstructs.Rutger.5,B,2067.43,2069.93,"True, yeah, m more more environmentally friendly.",ES2013c.C.argumentstructs.Rutger.5,ES2013c.C.argumentstructs.Rutger.6
ES2013c.C.argumentstructs.Rutger.6,C,2069.91,2071.36,"Yeah, that's what I was thinking as well.",ES2013c.B.argumentstructs.Rutger.5,NONE
ES2013c.D.argumentstructs.8,D,2070.02,2072.24,"Mm-hmm. You know, kind of the",NONE,NONE
