ae_id,speaker,start_time,end_time,sentence,source,targets
ES2014b.C.argumentstructs.Rutger.1,C,809.67,818.91,"Yeah. And I don't really think that you need nine numbers. I mean how often do you use seven, eight and nine ? I think just one to six and then channel up and down should be enough.",NONE,"ES2014b.A.argumentstructs.Rutger.1, ES2014b.C.argumentstructs.Rutger.2, ES2014b.B.argumentstructs.Rutger.1, ES2014b.A.argumentstructs.Rutger.2, ES2014b.A.argumentstructs.Rutger.3, ES2014b.A.argumentstructs.Rutger.5, ES2014b.C.argumentstructs.Rutger.7"
ES2014b.A.argumentstructs.17,A,810.72,812.33,Well b uh w,NONE,NONE
ES2014b.A.argumentstructs.Rutger.1,A,819.51,835.447,"Well th the on the   Well uh for for general television purposes obviously you have channels one to five at this point in time, and we'd have to have some room for uh future such channels. But but",ES2014b.C.argumentstructs.Rutger.1,NONE
ES2014b.C.argumentstructs.Rutger.2,C,819.77,821.06,Like how often do you hit nine ?,ES2014b.C.argumentstructs.Rutger.1,ES2014b.D.argumentstructs.Rutger.1
ES2014b.D.argumentstructs.Rutger.1,D,821.31,821.61,Mm-hmm.,ES2014b.C.argumentstructs.Rutger.2,NONE
ES2014b.B.argumentstructs.Rutger.1,B,833.83,838.368,"It's just people are used to seeing that, so if we didn't have them then they might think it's",ES2014b.C.argumentstructs.Rutger.1,NONE
ES2014b.A.argumentstructs.18,A,853.74,858.95,actual television channels do we have to uh prepare for ? I would have thought that uh,NONE,NONE
ES2014b.A.argumentstructs.Rutger.2,A,859.339,881.46,"it's forever expanding and at the moment we've got  although you've onl you've got the five standard, you've got the B_B_C_ have come up with a further six and uh there's uh I don't know exactly how many channels there are on uh when you take into account uh Sky and various other um various others.",ES2014b.C.argumentstructs.Rutger.1,NONE
ES2014b.D.argumentstructs.Rutger.2,D,870.53,870.89,Mm-hmm.,ES2014b.A.argumentstructs.Rutger.3,NONE
ES2014b.B.argumentstructs.16,B,877.76,878.18,Hmm.,NONE,NONE
ES2014b.A.argumentstructs.Rutger.3,A,881.46,901.36,"So I would've thought that we wouldn't, you know, rather  Okay, if the time of flicking from one to other, but presumably it'll take a second 'cause you have to be able to stop it. Maybe you could have a fast forward on the on the channels that w and then you could dispense with more otherwise. Y you'd want you'd want to get fairly quickly to the channel that you wanted.",ES2014b.C.argumentstructs.Rutger.1,"ES2014b.D.argumentstructs.Rutger.2, ES2014b.C.argumentstructs.Rutger.4, ES2014b.A.argumentstructs.Rutger.4"
ES2014b.C.argumentstructs.11,C,881.51,881.76,Hmm.,NONE,NONE
ES2014b.C.argumentstructs.Rutger.4,C,902.8,912.96,"Um some remotes have kind of favourite options where if you always flick from channel one to channel six, um if that's a favourite you just like by-pass two to five.",ES2014b.A.argumentstructs.Rutger.3,NONE
ES2014b.A.argumentstructs.19,A,911.68,912.53,Mm-hmm.,NONE,NONE
ES2014b.A.argumentstructs.Rutger.4,A,913.94,936.04,"Yeah, I s I suppose in a sense you could have um if you've got a hundred channels then if you had sort of an easy way of getting  rather than having to go one to a hundred, you could go one to one to ten, ten to twenty and then have a second button to get you to the actual channel you want and that would cut down your time. Anyway.",ES2014b.A.argumentstructs.Rutger.3,ES2014b.C.argumentstructs.Rutger.5
ES2014b.C.argumentstructs.12,C,925.45,925.62,Hmm.,NONE,NONE
ES2014b.C.argumentstructs.Rutger.5,C,933.26,945.36,"Mm. Um. But I think a lot of um like Cable and Sky and stuff, that would be tuned to one channel, and then you'd have another remote for all of those channels. Like to get to fifty five and the higher numbers",ES2014b.A.argumentstructs.Rutger.4,ES2014b.B.argumentstructs.Rutger.3
ES2014b.B.argumentstructs.Rutger.3,B,942.96,943.61,"Okay, yeah.",ES2014b.C.argumentstructs.Rutger.5,NONE
ES2014b.A.argumentstructs.Rutger.5,A,945.31,951.98,"Whatever.  Okay. Okay. Limit the number of buttons, user friendly.",ES2014b.C.argumentstructs.Rutger.1,ES2014b.C.argumentstructs.Rutger.6
ES2014b.C.argumentstructs.Rutger.6,C,946.45,947.14,Yeah.,ES2014b.A.argumentstructs.Rutger.5,NONE
ES2014b.C.argumentstructs.Rutger.7,C,952.62,956.55,But I suppose nine's not really excessive. I suppose it does make a good pattern.,ES2014b.C.argumentstructs.Rutger.1,ES2014b.B.argumentstructs.Rutger.4
ES2014b.B.argumentstructs.Rutger.4,B,954.6,963.488,I suppose with nine you've got the the like the last one which makes the tenth means you  uh it's like uh multiples you can put them together so you can make any number. So with that we'd kind of by-pass any problems with,ES2014b.C.argumentstructs.Rutger.7,"ES2014b.A.argumentstructs.Rutger.6, ES2014b.B.argumentstructs.Rutger.5"
ES2014b.A.argumentstructs.20,A,962.26,962.59,Yeah.,NONE,NONE
ES2014b.A.argumentstructs.Rutger.6,A,964.02,967.92,"Well that's true, yeah, you could get fifty by five and a zero or whatever, that that makes sense.",ES2014b.B.argumentstructs.Rutger.4,NONE
ES2014b.B.argumentstructs.17,B,964.81,965.16,Yeah.,NONE,NONE
ES2014b.B.argumentstructs.Rutger.5,B,966.83,970.32,Yeah. 'Cause that facilitates having all the numbers you could ever need.,ES2014b.B.argumentstructs.Rutger.4,"ES2014b.A.argumentstructs.Rutger.7, ES2014b.C.argumentstructs.Rutger.8"
ES2014b.A.argumentstructs.Rutger.7,A,970.84,971.09,Yeah.,ES2014b.B.argumentstructs.Rutger.5,NONE
ES2014b.B.argumentstructs.18,B,971.49,971.85,Um.,NONE,NONE
ES2014b.D.argumentstructs.17,D,972.45,972.73,Mm-hmm.,NONE,NONE
ES2014b.A.argumentstructs.21,A,972.53,972.77,Does.,NONE,NONE
ES2014b.C.argumentstructs.Rutger.8,C,974.16,975.05,Okay.,ES2014b.B.argumentstructs.Rutger.5,NONE
