ae_id,speaker,start_time,end_time,sentence,source,targets
ES2014c.D.argumentstructs.36,D,1438.42,1488.92,"we need to emphasise the fancy design with on on our remote control above all else. And then also try and add in technological informat innovation which could be our sort of find the thing with a hand clap. And then we need to ma sort of make it easy to use that's as a third priority, so perhaps um fewer fewer buttons and functions as we've as we've discussed. And then maybe find a way to incorporate these trends so that we sort of capture people's imaginations. So maybe we could make the buttons shaped like fruit and veg, or the the buttons could be spongy, uh somehow. Maybe we could make them out of rubber rather than sort of hard plastic. And then sort of even wackier than that, we could maybe have a fruit or vegetable shaped remote, say in the shape of a banana or something like that.",NONE,NONE
ES2014c.D.argumentstructs.Rutger.4,D,1490.42,1497.628,"Right, so that'll be it. Maybe a banana or courgette or something.",NONE,ES2014c.D.argumentstructs.Rutger.5
ES2014c.D.argumentstructs.Rutger.5,D,1499.89,1511.86,"How how far we actually want to go along and sort of follow the trends, do we think the trends are particularly important for this type of gadget, or or you know, do they not matter that much ?",ES2014c.D.argumentstructs.Rutger.4,"ES2014c.C.argumentstructs.Rutger.6, ES2014c.A.argumentstructs.Rutger.7, ES2014c.C.argumentstructs.Rutger.8, ES2014c.A.argumentstructs.Rutger.9, ES2014c.B.argumentstructs.Rutger.13, ES2014c.B.argumentstructs.Rutger.14, ES2014c.A.argumentstructs.Rutger.14, ES2014c.B.argumentstructs.Rutger.18, ES2014c.B.argumentstructs.Rutger.20, ES2014c.C.argumentstructs.Rutger.19"
ES2014c.C.argumentstructs.Rutger.6,C,1512.37,1516.87,"I think if you start making the buttons fruit shaped, it might make it more complicated to use.",ES2014c.D.argumentstructs.Rutger.5,"ES2014c.D.argumentstructs.Rutger.6, ES2014c.C.argumentstructs.Rutger.7"
ES2014c.A.argumentstructs.Rutger.7,A,1517.1,1529.88,"Well you were just talking about you've got to be careful how you shape your buttons, 'cause you're can mis-direct people. And I would've thought the functionality  'cause the people get cheesed off by things  by having to read instructions et cetera, so.",ES2014c.D.argumentstructs.Rutger.5,NONE
ES2014c.D.argumentstructs.Rutger.6,D,1522.8,1523.08,Yeah.,ES2014c.C.argumentstructs.Rutger.6,NONE
ES2014c.C.argumentstructs.Rutger.7,C,1523.01,1523.75,Yeah.,ES2014c.C.argumentstructs.Rutger.6,NONE
ES2014c.A.argumentstructs.33,A,1530.528,1538.019,...,NONE,NONE
ES2014c.C.argumentstructs.Rutger.8,C,1531.52,1538.14,"Maybe just one button, say the standby button is quite kinda separate from all the other functions. Maybe that could be a little apple.",ES2014c.D.argumentstructs.Rutger.5,"ES2014c.D.argumentstructs.Rutger.7, ES2014c.C.argumentstructs.Rutger.9, ES2014c.A.argumentstructs.Rutger.8, ES2014c.B.argumentstructs.Rutger.12"
ES2014c.D.argumentstructs.Rutger.7,D,1537.976,1540.91,Maybe yeah.,ES2014c.C.argumentstructs.Rutger.8,NONE
ES2014c.C.argumentstructs.Rutger.9,C,1538.71,1542.58,"And then that wouldn't get in the way of like kinda one to nine, and it wouldn't confuse the numbers.",ES2014c.C.argumentstructs.Rutger.8,NONE
ES2014c.A.argumentstructs.Rutger.8,A,1538.76,1550.95,"Okay. Now ? Yeah. Stand-by button. No th that that incorporates the trend whilst at the same time not confusing people, if you're looking for functionality.",ES2014c.C.argumentstructs.Rutger.8,ES2014c.D.argumentstructs.Rutger.8
ES2014c.D.argumentstructs.Rutger.8,D,1547.99,1548.24,Mm-hmm.,ES2014c.A.argumentstructs.Rutger.8,NONE
ES2014c.B.argumentstructs.Rutger.12,B,1551.48,1558.259,"Well I dunno I I guess maybe fruit and vegetables may be popular at the moment, but as we know how fickle the fashion markets are, maybe",ES2014c.C.argumentstructs.Rutger.8,NONE
ES2014c.A.argumentstructs.Rutger.9,A,1555.49,1581.58,"But what are they gonna be next  Yeah. What are they gonna be next year.  But but th but okay but you you can incorporate the tr If y if you change all the buttons then you've got the problem that this year's fruit and veg, next year's uh  I was gonna say animals or elephants or w whatever. That means you're constantly changing your production schedule, and you've gotta make different moulds and everything else, so that's not a good idea I would I would suggest.",ES2014c.D.argumentstructs.Rutger.5,"ES2014c.D.argumentstructs.Rutger.9, ES2014c.D.argumentstructs.Rutger.10"
ES2014c.D.argumentstructs.Rutger.9,D,1557.53,1559.776,Yeah yeah.,ES2014c.A.argumentstructs.Rutger.9,NONE
ES2014c.C.argumentstructs.31,C,1559.03,1560.04,Hmm. S,NONE,NONE
