ae_id,speaker,start_time,end_time,sentence,source,targets
ES2014c.C.argumentstructs.Rutger.21,C,1960.45,1966.63,"Uh we haven't really talked about uh the curvature of the case. There's flat, there's single-curved and there's double-curved.",NONE,"ES2014c.C.argumentstructs.Rutger.22, ES2014c.B.argumentstructs.Rutger.33, ES2014c.D.argumentstructs.Rutger.27, ES2014c.A.argumentstructs.Rutger.26, ES2014c.B.argumentstructs.Rutger.35, ES2014c.C.argumentstructs.Rutger.26, ES2014c.C.argumentstructs.Rutger.27, ES2014c.A.argumentstructs.Rutger.29"
ES2014c.B.argumentstructs.52,B,1967.33,1969.27,Um. Mayb,NONE,NONE
ES2014c.C.argumentstructs.Rutger.22,C,1969.06,1971.38,I'm not exactly sure what these things look like.,ES2014c.C.argumentstructs.Rutger.21,NONE
ES2014c.B.argumentstructs.Rutger.33,B,1970.36,1973.4,Maybe curves give it like the slightly more aesthetic feel ?,ES2014c.C.argumentstructs.Rutger.21,ES2014c.B.argumentstructs.Rutger.34
ES2014c.B.argumentstructs.Rutger.34,B,1973.4,1981.904,But the double curve wouldn't require us to perform miracles with the Plasticine.,ES2014c.B.argumentstructs.Rutger.33,NONE
ES2014c.D.argumentstructs.Rutger.27,D,1981.88,1985.14,"When you say d when you say double-curved, what what exactly does that mean ?",ES2014c.C.argumentstructs.Rutger.21,ES2014c.C.argumentstructs.Rutger.23
ES2014c.D.argumentstructs.49,D,1987.58,1988.26,Okay.,NONE,NONE
ES2014c.C.argumentstructs.38,C,1987.66,1989.51,Um I'll show you,NONE,NONE
ES2014c.C.argumentstructs.Rutger.23,C,1991.97,1993.71,the remotes that I've got.,ES2014c.D.argumentstructs.Rutger.27,ES2014c.C.argumentstructs.Rutger.24
ES2014c.C.argumentstructs.39,C,1995.62,1996.5,Let's just get that bigger.,NONE,NONE
ES2014c.C.argumentstructs.Rutger.24,C,1998.05,2004.5,"See how uh the one  Oh I'm not plugged in, am I ?  That doesn't help.  Shall I just turn it round for time ?",ES2014c.C.argumentstructs.Rutger.23,ES2014c.D.argumentstructs.Rutger.28
ES2014c.D.argumentstructs.Rutger.28,D,2000.34,2004.22,No you're not connected to me anymore.,ES2014c.C.argumentstructs.Rutger.24,NONE
ES2014c.A.argumentstructs.Rutger.26,A,2002.07,2032.11,"One one thing to cons one thing to consider is that in some ways you want um  by having a fairly standard case it means they can all fit together on top of each other therefore for storage purposes in shops and the like and it makes it easier that you can  if you can store them up on top of each other. Whereas if you do um fancy things with it, you then gotta put it in a ca a a packaging box that that does that. And the cost of packaging could be quite important vis-a-vis the total cost of the product.",ES2014c.C.argumentstructs.Rutger.21,ES2014c.D.argumentstructs.Rutger.29
ES2014c.D.argumentstructs.50,D,2008.91,2010.06,That should come up.,NONE,NONE
ES2014c.D.argumentstructs.Rutger.29,D,2016.9,2018.52,Mm,ES2014c.A.argumentstructs.Rutger.26,NONE
ES2014c.B.argumentstructs.53,B,2017.79,2018.21,Mm-hmm.,NONE,NONE
ES2014c.D.argumentstructs.51,D,2018.52,2018.52,.,NONE,NONE
ES2014c.B.argumentstructs.Rutger.35,B,2032.08,2038.665,"Yeah yeah. So shall we go through quickly and just work out what we've decide on, if we have to kind of",ES2014c.C.argumentstructs.Rutger.21,"ES2014c.D.argumentstructs.Rutger.30, ES2014c.C.argumentstructs.Rutger.25"
ES2014c.D.argumentstructs.Rutger.30,D,2032.71,2032.88,Mm-hmm,ES2014c.B.argumentstructs.Rutger.35,NONE
ES2014c.C.argumentstructs.Rutger.25,C,2032.81,2033.19,Hmm.,ES2014c.B.argumentstructs.Rutger.35,NONE
ES2014c.D.argumentstructs.52,D,2032.88,2046.22,. Yeah. Right.,NONE,NONE
ES2014c.C.argumentstructs.Rutger.26,C,2040.45,2052.59,"Um it's not very clear up there, but you can see some of them have got kind of bulges, like the second one and the end one uh where there's a curve there. I'm not exactl I don't know if a double curve is maybe it comes up slightly, or ?",ES2014c.C.argumentstructs.Rutger.21,"ES2014c.A.argumentstructs.Rutger.27, ES2014c.D.argumentstructs.Rutger.31"
ES2014c.A.argumentstructs.38,A,2041.89,2042.34,No.,NONE,NONE
ES2014c.A.argumentstructs.Rutger.27,A,2044.21,2045.08,Mm yep.,ES2014c.C.argumentstructs.Rutger.26,NONE
ES2014c.D.argumentstructs.Rutger.31,D,2052.086,2053.84,That's what I was trying to work out.,ES2014c.C.argumentstructs.Rutger.26,NONE
ES2014c.C.argumentstructs.Rutger.27,C,2053.728,2058.01,But um it is a kinda sleeker look if you've got curves in there.,ES2014c.C.argumentstructs.Rutger.21,ES2014c.A.argumentstructs.Rutger.28
ES2014c.A.argumentstructs.Rutger.28,A,2055.18,2056.43,Oh right.,ES2014c.C.argumentstructs.Rutger.27,NONE
