ae_id,speaker,start_time,end_time,sentence,source,targets
ES2015d.D.argumentstructs.Rutger.22,D,929.52,936.88,"Okay. Uh, question number five. What's um  will people be willing to spend twenty five Euros on this product ?",NONE,"ES2015d.D.argumentstructs.Rutger.23, ES2015d.C.argumentstructs.Rutger.21, ES2015d.B.argumentstructs.Rutger.22, ES2015d.D.argumentstructs.Rutger.25, ES2015d.D.argumentstructs.Rutger.27, ES2015d.D.argumentstructs.Rutger.31, ES2015d.D.argumentstructs.Rutger.32"
ES2015d.D.argumentstructs.Rutger.23,D,936.88,940.81,Remember that eighty percent of users were willing to spend more money when a remote control looked fancy.,ES2015d.D.argumentstructs.Rutger.22,NONE
ES2015d.C.argumentstructs.Rutger.21,C,941.52,953.43,"I think we have to market it in the right way, that um  to say that it is simplistic. So people don't just see it and think, uh, this is so simplistic, I don't want to spend twenty five Euros. We have to market it.",ES2015d.D.argumentstructs.Rutger.22,"ES2015d.B.argumentstructs.Rutger.20, ES2015d.A.argumentstructs.Rutger.22, ES2015d.D.argumentstructs.Rutger.24"
ES2015d.D.argumentstructs.41,D,943.77,944.2,Mm-hmm.,NONE,NONE
ES2015d.B.argumentstructs.Rutger.20,B,944.14,944.76,Yeah.,ES2015d.C.argumentstructs.Rutger.21,NONE
ES2015d.A.argumentstructs.Rutger.22,A,950.64,951.12,Yeah.,ES2015d.C.argumentstructs.Rutger.21,NONE
ES2015d.D.argumentstructs.Rutger.24,D,952.8,954.65,Yeah it  the marketing will have a lot to do with it.,ES2015d.C.argumentstructs.Rutger.21,ES2015d.B.argumentstructs.Rutger.21
ES2015d.B.argumentstructs.Rutger.21,B,953.15,954.15,Yeah.,ES2015d.D.argumentstructs.Rutger.24,NONE
ES2015d.B.argumentstructs.Rutger.22,B,954.15,961.667,"And  the kinetic energy, shaker-style-y, whoo, ooh no.",ES2015d.D.argumentstructs.Rutger.22,"ES2015d.C.argumentstructs.Rutger.22, ES2015d.A.argumentstructs.Rutger.23"
ES2015d.C.argumentstructs.Rutger.22,C,955.06,966.784,And the kinetic energy part. Yeah.  Don't shake,ES2015d.B.argumentstructs.Rutger.22,NONE
ES2015d.A.argumentstructs.Rutger.23,A,957.77,958.37,Yeah.,ES2015d.B.argumentstructs.Rutger.22,NONE
ES2015d.D.argumentstructs.Rutger.25,D,959.617,967.625,Shake it and the buttons fall off.,ES2015d.D.argumentstructs.Rutger.22,"ES2015d.A.argumentstructs.Rutger.24, ES2015d.B.argumentstructs.Rutger.23"
ES2015d.A.argumentstructs.Rutger.24,A,959.797,965.827,Durable.,ES2015d.D.argumentstructs.Rutger.25,NONE
ES2015d.B.argumentstructs.Rutger.23,B,962.47,967.75,"But you know, those'll be firmly on.",ES2015d.D.argumentstructs.Rutger.25,NONE
ES2015d.C.argumentstructs.Rutger.23,C,967.84,973.0,Oh no the plus.  You're  use the zero.  Make a new one.,NONE,NONE
ES2015d.D.argumentstructs.Rutger.27,D,969.91,970.51,"No, I guess,",ES2015d.D.argumentstructs.Rutger.22,ES2015d.D.argumentstructs.Rutger.29
ES2015d.D.argumentstructs.Rutger.29,D,970.51,975.38,"I don't know much about the remote control industry, how much your average sells for,",ES2015d.D.argumentstructs.Rutger.27,"ES2015d.A.argumentstructs.Rutger.25, ES2015d.C.argumentstructs.Rutger.24"
ES2015d.A.argumentstructs.Rutger.25,A,974.73,978.048,But you're our Marketing Expert.,ES2015d.D.argumentstructs.Rutger.29,ES2015d.D.argumentstructs.Rutger.30
ES2015d.D.argumentstructs.Rutger.30,D,975.38,976.95,"but  I know I am, aren't I ?",ES2015d.A.argumentstructs.Rutger.25,NONE
ES2015d.C.argumentstructs.Rutger.24,C,976.72,983.45,"I think they're about ten po ten pound, aren't they ? About ten pounds. Fifteen ?",ES2015d.D.argumentstructs.Rutger.29,NONE
ES2015d.D.argumentstructs.Rutger.31,D,982.78,987.37,But you don't have to buy batteries. So in the long term this can actually save you money. So we'll market it that way too.,ES2015d.D.argumentstructs.Rutger.22,"ES2015d.C.argumentstructs.Rutger.25, ES2015d.B.argumentstructs.Rutger.24, ES2015d.A.argumentstructs.Rutger.26"
ES2015d.C.argumentstructs.Rutger.25,C,985.39,985.93,Yeah.,ES2015d.D.argumentstructs.Rutger.31,NONE
ES2015d.B.argumentstructs.Rutger.24,B,985.41,986.66,"Mm, yeah, that's true.",ES2015d.D.argumentstructs.Rutger.31,NONE
ES2015d.A.argumentstructs.Rutger.26,A,985.91,989.18,Oh. Exactly. Exactly.,ES2015d.D.argumentstructs.Rutger.31,ES2015d.B.argumentstructs.Rutger.25
ES2015d.B.argumentstructs.Rutger.25,B,988.19,990.45,Yeah. Good point,ES2015d.A.argumentstructs.Rutger.26,NONE
ES2015d.D.argumentstructs.Rutger.32,D,989.09,994.252,"So yeah I think with a good marketing scheme um and the personalisation options, it'll",ES2015d.D.argumentstructs.Rutger.22,"ES2015d.A.argumentstructs.Rutger.27, ES2015d.B.argumentstructs.Rutger.26"
ES2015d.B.argumentstructs.31,B,990.45,990.45,.,NONE,NONE
ES2015d.A.argumentstructs.Rutger.27,A,993.94,995.59,Yeah. I would give it a two still though.,ES2015d.D.argumentstructs.Rutger.32,NONE
ES2015d.B.argumentstructs.Rutger.26,B,995.07,996.49,Yeah. Yeah.,ES2015d.D.argumentstructs.Rutger.32,NONE
ES2015d.A.argumentstructs.34,A,1004.45,1022.68,Mm. Oh yeah. Yeah. Yeah.,NONE,NONE
ES2015d.C.argumentstructs.31,C,1014.95,1015.43,yeah.,NONE,NONE
ES2015d.B.argumentstructs.32,B,1016.0,1023.19,"you won't have to think about it. You don't have to look down to find them. They're clearly there, easy to use. Simple.",NONE,NONE
ES2015d.D.argumentstructs.42,D,1045.04,1046.12,was it implemented ?,NONE,NONE
