ae_id,speaker,start_time,end_time,sentence,source,targets
ES2016b.B.argumentstructs.Rutger.1,B,1140.44,1172.2,"The user interface. That's something we can also discuss. Um as we've heard uh speech recognition is the hype obviously in the moment. Speech recognition um interface, we don't know that. Or if we just do the usual button thing. Or we have a touch pad or something like that  that's something we can discuss. And of course the energy source. Batteries. Solar cells. Who knows ?",NONE,"ES2016b.B.argumentstructs.Rutger.3, ES2016b.A.argumentstructs.Rutger.1, ES2016b.C.argumentstructs.Rutger.1, ES2016b.D.argumentstructs.Rutger.2, ES2016b.A.argumentstructs.Rutger.9"
ES2016b.B.argumentstructs.Rutger.3,B,1177.69,1196.04,"Of course it's always a question whether these these components are in fact  available cheap enough, developed enough. But that's like I s I suppose rather up to marketing, and not to to the industrial design department.",ES2016b.B.argumentstructs.Rutger.1,NONE
ES2016b.A.argumentstructs.Rutger.1,A,1193.51,1198.736,"So we could  the the the more complex we make it of course, the more expensive",ES2016b.B.argumentstructs.Rutger.1,"ES2016b.B.argumentstructs.Rutger.4, ES2016b.A.argumentstructs.Rutger.2"
ES2016b.B.argumentstructs.Rutger.4,B,1197.73,1200.31,Expensive it's gonna be get uh. Yeah.,ES2016b.A.argumentstructs.Rutger.1,NONE
ES2016b.A.argumentstructs.Rutger.2,A,1200.63,1209.33,But people have said that they would  well younger generations of people have said that they would pay more for a speech recognition remote. So,ES2016b.A.argumentstructs.Rutger.1,"ES2016b.B.argumentstructs.Rutger.5, ES2016b.A.argumentstructs.Rutger.3"
ES2016b.D.argumentstructs.5,D,1207.37,1208.1,Mm-hmm.,NONE,NONE
ES2016b.B.argumentstructs.Rutger.5,B,1210.13,1210.45,Right.,ES2016b.A.argumentstructs.Rutger.2,NONE
ES2016b.A.argumentstructs.Rutger.3,A,1210.42,1213.01,possibly it might be worth the investment.,ES2016b.A.argumentstructs.Rutger.2,NONE
ES2016b.C.argumentstructs.Rutger.1,C,1213.12,1224.27,I think speech recognition was uh one of those things where um they have to be really good for them to work. 'Cause sometimes you find yourself just saying things over and o  if it's on your phone.,ES2016b.B.argumentstructs.Rutger.1,"ES2016b.D.argumentstructs.Rutger.1, ES2016b.A.argumentstructs.Rutger.4, ES2016b.C.argumentstructs.Rutger.2, ES2016b.A.argumentstructs.Rutger.5, ES2016b.A.argumentstructs.Rutger.6, ES2016b.C.argumentstructs.Rutger.5, ES2016b.A.argumentstructs.Rutger.7"
ES2016b.D.argumentstructs.Rutger.1,D,1223.03,1223.941,Yeah.,ES2016b.C.argumentstructs.Rutger.1,NONE
ES2016b.A.argumentstructs.Rutger.4,A,1224.36,1224.88,I agree.,ES2016b.C.argumentstructs.Rutger.1,NONE
ES2016b.C.argumentstructs.Rutger.2,C,1226.01,1232.25,And you need to sort of take into light languages and then  different dialects I suppose as well.,ES2016b.C.argumentstructs.Rutger.1,NONE
ES2016b.A.argumentstructs.Rutger.5,A,1226.07,1252.47,"Well  I  myself I find, when you, h when there's something like spee speech recognition. Like uh you call on the phone and you try to change your telephone or power or something. Sometimes they have a a speech recognition on the other end, and you say one for this, and you find yours, like you said, saying the same thing over and over and over.",ES2016b.C.argumentstructs.Rutger.1,ES2016b.C.argumentstructs.Rutger.3
ES2016b.C.argumentstructs.Rutger.3,C,1245.47,1245.71,Yeah.,ES2016b.A.argumentstructs.Rutger.5,NONE
ES2016b.A.argumentstructs.Rutger.6,A,1252.69,1261.45,"I find myself, especially if I'm in a crowd of people, looking really silly. So maybe if you're sitting on your couch with a bunch of people then",ES2016b.C.argumentstructs.Rutger.1,ES2016b.C.argumentstructs.Rutger.4
ES2016b.C.argumentstructs.Rutger.4,C,1257.14,1257.44,Yeah.,ES2016b.A.argumentstructs.Rutger.6,NONE
ES2016b.C.argumentstructs.Rutger.5,C,1263.06,1269.712,And wou I don't know if would would you want to keep saying stuff if you were watching stuff. If you were watching something would you sort of be wanting,ES2016b.C.argumentstructs.Rutger.1,NONE
ES2016b.A.argumentstructs.10,A,1263.11,1265.33,"you know, you",NONE,NONE
ES2016b.A.argumentstructs.Rutger.7,A,1269.65,1275.98,"Volume up. Volume down. Change the channel, you know channel up, channel down ? I I don't know.",ES2016b.C.argumentstructs.Rutger.1,ES2016b.C.argumentstructs.Rutger.6
ES2016b.C.argumentstructs.Rutger.6,C,1271.01,1271.32,Yeah.,ES2016b.A.argumentstructs.Rutger.7,NONE
ES2016b.D.argumentstructs.Rutger.2,D,1276.69,1290.48,"Another thing about these figures is ninety one percent of the youngest age groups said they'd do it, but probably a lot of them that's actually their parents money. Like I don't know if they would actually go out and purchase this themselves, a fifteen year old you know.",ES2016b.B.argumentstructs.Rutger.1,ES2016b.C.argumentstructs.Rutger.7
ES2016b.C.argumentstructs.Rutger.7,C,1288.89,1296.224,I think  As well it'd be j the gimmick factor for the younger people. But practically I don't think it's,ES2016b.D.argumentstructs.Rutger.2,"ES2016b.D.argumentstructs.Rutger.3, ES2016b.A.argumentstructs.Rutger.8"
ES2016b.A.argumentstructs.11,A,1292.88,1293.5,Mm-hmm.,NONE,NONE
ES2016b.D.argumentstructs.Rutger.3,D,1293.42,1293.86,Yeah.,ES2016b.C.argumentstructs.Rutger.7,NONE
ES2016b.A.argumentstructs.Rutger.8,A,1295.8,1299.488,"It's a, it's a gimmick factor that they like at first, and",ES2016b.C.argumentstructs.Rutger.7,"ES2016b.C.argumentstructs.Rutger.8, ES2016b.D.argumentstructs.Rutger.4"
ES2016b.C.argumentstructs.Rutger.8,C,1299.0,1300.25,Yeah. It'll wear off.,ES2016b.A.argumentstructs.Rutger.8,NONE
ES2016b.D.argumentstructs.Rutger.4,D,1300.3,1301.41,Gets old yeah.,ES2016b.A.argumentstructs.Rutger.8,NONE
ES2016b.A.argumentstructs.Rutger.9,A,1306.06,1307.01,Okay.,ES2016b.B.argumentstructs.Rutger.1,NONE
ES2016b.A.argumentstructs.12,A,1307.01,1308.14,Um,NONE,NONE
