ae_id,speaker,start_time,end_time,sentence,source,targets
ES2016d.D.argumentstructs.Rutger.15,D,753.15,756.36,Okay. Are we technologically innovative ?,NONE,"ES2016d.C.argumentstructs.Rutger.24, ES2016d.B.argumentstructs.Rutger.20, ES2016d.D.argumentstructs.Rutger.17, ES2016d.D.argumentstructs.Rutger.18, ES2016d.A.argumentstructs.Rutger.25, ES2016d.D.argumentstructs.Rutger.21, ES2016d.B.argumentstructs.Rutger.24, ES2016d.B.argumentstructs.Rutger.26"
ES2016d.B.argumentstructs.34,B,758.64,759.11,Uh,NONE,NONE
ES2016d.C.argumentstructs.Rutger.24,C,759.067,765.62,I'd say so. Uh don't get many mo remote controls with screens on.,ES2016d.D.argumentstructs.Rutger.15,NONE
ES2016d.B.argumentstructs.Rutger.20,B,759.872,775.62,It's all just  It's all just stolen technology when it comes down to    right right right right.,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.C.argumentstructs.Rutger.25, ES2016d.D.argumentstructs.Rutger.16"
ES2016d.C.argumentstructs.Rutger.25,C,766.91,769.36,Yeah it's stolen technology. But we have.,ES2016d.B.argumentstructs.Rutger.20,NONE
ES2016d.D.argumentstructs.Rutger.16,D,766.96,768.939,From iPod yeah.,ES2016d.B.argumentstructs.Rutger.20,ES2016d.A.argumentstructs.Rutger.23
ES2016d.A.argumentstructs.Rutger.23,A,767.82,776.38,"It's   But there's not a lot of yellow, there's not a lotta yellow. Course that wasn't really  we were kinda forced to take that colour.",ES2016d.D.argumentstructs.Rutger.16,NONE
ES2016d.D.argumentstructs.Rutger.17,D,770.17,771.97,But for remotes  yeah.,ES2016d.D.argumentstructs.Rutger.15,NONE
ES2016d.C.argumentstructs.33,C,773.51,773.67,Fa,NONE,NONE
ES2016d.D.argumentstructs.Rutger.18,D,777.79,779.27,Two ? Three ?,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.C.argumentstructs.Rutger.26, ES2016d.A.argumentstructs.Rutger.24"
ES2016d.C.argumentstructs.Rutger.26,C,779.892,782.68,'cause it's stolen. No maybe not.,ES2016d.D.argumentstructs.Rutger.18,NONE
ES2016d.A.argumentstructs.Rutger.24,A,780.44,783.963,"I don't know that we are that innovative, to tell you the truth.",ES2016d.D.argumentstructs.Rutger.18,"ES2016d.B.argumentstructs.Rutger.21, ES2016d.D.argumentstructs.Rutger.19"
ES2016d.B.argumentstructs.Rutger.21,B,782.62,783.61,Yeah not really.,ES2016d.A.argumentstructs.Rutger.24,NONE
ES2016d.D.argumentstructs.Rutger.19,D,783.91,787.17,But how many remotes do you see like this ? Not so many,ES2016d.A.argumentstructs.Rutger.24,NONE
ES2016d.A.argumentstructs.Rutger.25,A,786.45,792.41,If we added the screaming factor  then we go up.,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.A.argumentstructs.Rutger.26, ES2016d.B.argumentstructs.Rutger.22, ES2016d.D.argumentstructs.Rutger.20"
ES2016d.D.argumentstructs.29,D,787.17,787.17,.,NONE,NONE
ES2016d.B.argumentstructs.Rutger.22,B,791.98,792.45,Right.,ES2016d.A.argumentstructs.Rutger.25,NONE
ES2016d.A.argumentstructs.Rutger.26,A,792.41,795.81,Um I would say we're probably at four,ES2016d.A.argumentstructs.Rutger.25,NONE
ES2016d.A.argumentstructs.36,A,795.81,795.81,.,NONE,NONE
ES2016d.D.argumentstructs.Rutger.20,D,795.97,801.53,Really ? Okay.  That's gonna hurt us. Okay.,ES2016d.A.argumentstructs.Rutger.25,NONE
ES2016d.D.argumentstructs.Rutger.21,D,801.53,803.26,Um spongy material ?,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.B.argumentstructs.Rutger.23, ES2016d.A.argumentstructs.Rutger.27, ES2016d.C.argumentstructs.Rutger.27"
ES2016d.B.argumentstructs.Rutger.23,B,803.68,806.63,"Yeah well you have that, kind of, sort of.",ES2016d.D.argumentstructs.Rutger.21,NONE
ES2016d.A.argumentstructs.Rutger.27,A,804.53,805.75,"We have some spongy, yeah.",ES2016d.D.argumentstructs.Rutger.21,NONE
ES2016d.C.argumentstructs.Rutger.27,C,805.16,808.77,"Yeah as much as as needed, I think.",ES2016d.D.argumentstructs.Rutger.21,ES2016d.D.argumentstructs.Rutger.22
ES2016d.D.argumentstructs.Rutger.22,D,811.59,811.99,'Kay.,ES2016d.C.argumentstructs.Rutger.27,NONE
ES2016d.B.argumentstructs.Rutger.24,B,812.74,815.21,It's not a one though. One would be the whole thing,ES2016d.D.argumentstructs.Rutger.15,"ES2016d.A.argumentstructs.Rutger.28, ES2016d.A.argumentstructs.Rutger.29, ES2016d.B.argumentstructs.Rutger.25"
ES2016d.A.argumentstructs.Rutger.28,A,813.92,814.34,No.,ES2016d.B.argumentstructs.Rutger.24,NONE
ES2016d.A.argumentstructs.Rutger.29,A,815.38,822.59,"Yeah. Because it's only got what, these parts are the grips and perhaps the back side  the bottom  the underneath on the back.",ES2016d.B.argumentstructs.Rutger.24,NONE
ES2016d.B.argumentstructs.Rutger.25,B,816.65,821.47,to fold and stuff. Yeah.,ES2016d.B.argumentstructs.Rutger.24,ES2016d.C.argumentstructs.Rutger.28
ES2016d.C.argumentstructs.Rutger.28,C,822.1,822.53,Yeah.,ES2016d.B.argumentstructs.Rutger.25,NONE
ES2016d.B.argumentstructs.Rutger.26,B,823.19,825.67,So that's a four at most.,ES2016d.D.argumentstructs.Rutger.15,ES2016d.A.argumentstructs.Rutger.30
ES2016d.A.argumentstructs.Rutger.30,A,824.67,826.59,Probably a four at most.,ES2016d.B.argumentstructs.Rutger.26,NONE
ES2016d.A.argumentstructs.37,A,846.01,846.46,It's true.,NONE,NONE
