ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000b.A.argumentstructs.27,A,1951.3,1954.64,Yeah. Which I think is quite tricky. Um,NONE,NONE
IS1000b.C.argumentstructs.Rutger.7,C,1953.67,1953.85,Yeah.,IS1000b.A.argumentstructs.Rutger.7,NONE
IS1000b.A.argumentstructs.Rutger.7,A,1954.64,1961.21,", basically we're trying to get people to buy a remote control   wouldn't they already have a remote control with their television when they buy one ?",NONE,"IS1000b.C.argumentstructs.Rutger.7, IS1000b.B.argumentstructs.Rutger.7"
IS1000b.B.argumentstructs.Rutger.7,B,1961.63,1965.42,Of course they have already one. So our our our remote control has to be better.,IS1000b.A.argumentstructs.Rutger.7,"IS1000b.A.argumentstructs.Rutger.8, IS1000b.A.argumentstructs.Rutger.9, IS1000b.A.argumentstructs.Rutger.11, IS1000b.B.argumentstructs.Rutger.11"
IS1000b.A.argumentstructs.Rutger.8,A,1965.89,1973.2,"But it's not going to have more functionality, 'cause it's only a low market, it's a cheap-end remote control, we can't beat modern functionality",IS1000b.B.argumentstructs.Rutger.7,NONE
IS1000b.C.argumentstructs.13,C,1965.96,1966.25,Mm-hmm.,NONE,NONE
IS1000b.A.argumentstructs.Rutger.9,A,1973.2,1977.22,"we might  we'll be able to  beat them on th the look of it, th the design of it",IS1000b.B.argumentstructs.Rutger.7,IS1000b.A.argumentstructs.Rutger.10
IS1000b.A.argumentstructs.28,A,1973.2,1973.2,",",NONE,NONE
IS1000b.A.argumentstructs.Rutger.10,A,1977.22,1979.08,but that's not a big seller,IS1000b.A.argumentstructs.Rutger.9,NONE
IS1000b.A.argumentstructs.Rutger.11,A,1979.08,1987.87,", if they're not just going to buy a new remote control just 'cause it looks pretty, they have to actually need it as well. So I'm not sure how we can get people to buy this thing.",IS1000b.B.argumentstructs.Rutger.7,IS1000b.B.argumentstructs.Rutger.8
IS1000b.B.argumentstructs.29,B,1982.56,1982.89,Mm-hmm.,NONE,NONE
IS1000b.B.argumentstructs.Rutger.8,B,1989.02,2002.672,Mm. I  well I think  many people said uh in your in in your research uh uh uh the appearance of the uh R_C_ is is important when they are buying one but,IS1000b.A.argumentstructs.Rutger.11,"IS1000b.A.argumentstructs.Rutger.12, IS1000b.A.argumentstructs.Rutger.14"
IS1000b.A.argumentstructs.29,A,1996.05,1996.26,Mm.,NONE,NONE
IS1000b.A.argumentstructs.Rutger.12,A,2001.91,2004.27,Yeah. But why are they buying one in the first place ?,IS1000b.B.argumentstructs.Rutger.8,"IS1000b.B.argumentstructs.Rutger.9, IS1000b.B.argumentstructs.Rutger.10, IS1000b.A.argumentstructs.Rutger.13"
IS1000b.B.argumentstructs.Rutger.9,B,2004.47,2004.79,Indeed.,IS1000b.A.argumentstructs.Rutger.12,NONE
IS1000b.B.argumentstructs.Rutger.10,B,2006.05,2010.816,So that will be about functionality,IS1000b.A.argumentstructs.Rutger.12,NONE
IS1000b.A.argumentstructs.Rutger.13,A,2012.59,2023.93,"Mm. But if people are buying a new remote control for functionality they'll buy a universal remote. I've got friends who've got so many things they need a universal remote, otherwise they're using five different remotes for their all their things.",IS1000b.A.argumentstructs.Rutger.12,NONE
IS1000b.B.argumentstructs.Rutger.11,B,2022.53,2034.299,Mm. Mm-hmm. Mm. So your you think we should go for a more u universal high-performance,IS1000b.B.argumentstructs.Rutger.7,"IS1000b.A.argumentstructs.Rutger.15, IS1000b.B.argumentstructs.Rutger.12, IS1000b.A.argumentstructs.Rutger.16, IS1000b.B.argumentstructs.Rutger.20"
IS1000b.A.argumentstructs.Rutger.14,A,2023.93,2027.87,"In that case they wouldn't buy our product, because it doesn't give them what they need in terms of functionality.",IS1000b.B.argumentstructs.Rutger.8,NONE
IS1000b.A.argumentstructs.Rutger.15,A,2033.44,2038.7,"Well, we can't, with the price range. We We're not building a universal remote, we're not building a high end product.",IS1000b.B.argumentstructs.Rutger.11,NONE
IS1000b.B.argumentstructs.Rutger.12,B,2037.51,2040.89,What do  What do you think about  What componen,IS1000b.B.argumentstructs.Rutger.11,IS1000b.D.argumentstructs.Rutger.10
