ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000c.D.argumentstructs.Rutger.1,D,994.18,1002.03,And you want okay  for coming back to one point y you want to let the user to programming the keys ? Some of them ?,NONE,"IS1000c.C.argumentstructs.Rutger.1, IS1000c.D.argumentstructs.Rutger.2, IS1000c.C.argumentstructs.Rutger.2, IS1000c.A.argumentstructs.Rutger.3"
IS1000c.A.argumentstructs.4,A,996.69,1026.2,Two thirty five supposed to finish. Hmm. Hmm. Mm.,NONE,NONE
IS1000c.C.argumentstructs.Rutger.1,C,1002.02,1003.52,Yeah you can let them to do that.,IS1000c.D.argumentstructs.Rutger.1,NONE
IS1000c.D.argumentstructs.Rutger.2,D,1003.25,1014.23,"And uh isn't that too difficult for the  we want w I don't know if we still want the um R_C_ to be easy to use, that's the  compromise.",IS1000c.D.argumentstructs.Rutger.1,NONE
IS1000c.C.argumentstructs.Rutger.2,C,1012.87,1033.52,"N no but the  if you give  it d depends on the easiness like the user how much effort he can put. Like for example uh I would like to store in certain way, so if you want to give the full freedom to the user or you want to keep some constraints and let the user use it with that constraint. So it de",IS1000c.D.argumentstructs.Rutger.1,"IS1000c.D.argumentstructs.Rutger.3, IS1000c.A.argumentstructs.Rutger.2"
IS1000c.D.argumentstructs.Rutger.3,D,1016.42,1016.64,Yeah.,IS1000c.C.argumentstructs.Rutger.2,NONE
IS1000c.D.argumentstructs.6,D,1026.9,1033.02,Yeah. Yeah.,NONE,NONE
IS1000c.A.argumentstructs.Rutger.2,A,1029.17,1031.49,Yeah. Mm.,IS1000c.C.argumentstructs.Rutger.2,NONE
IS1000c.A.argumentstructs.Rutger.3,A,1033.0,1043.52,"I think you can do it both ways. You can have it so it's easy  they can pick it up and use it straight away without doing anythi without customizing it, or if they want to they have the option of using these extra features.",IS1000c.D.argumentstructs.Rutger.1,"IS1000c.D.argumentstructs.Rutger.4, IS1000c.B.argumentstructs.Rutger.1"
IS1000c.D.argumentstructs.Rutger.4,D,1037.06,1039.25,A standard. Yeah.,IS1000c.A.argumentstructs.Rutger.3,NONE
IS1000c.B.argumentstructs.Rutger.1,B,1043.02,1055.298,Um yes but but I do   maybe you can  give a hand to us because I I'm not sure whether that that we can implement that for twelve Euro and fifty cents. I'm sorry to have,IS1000c.A.argumentstructs.Rutger.3,IS1000c.D.argumentstructs.Rutger.5
IS1000c.D.argumentstructs.Rutger.5,D,1043.47,1043.79,Yeah.,IS1000c.B.argumentstructs.Rutger.1,NONE
IS1000c.A.argumentstructs.5,A,1054.69,1054.94,Hmm.,NONE,NONE
IS1000c.C.argumentstructs.3,C,1055.81,1056.31,So,NONE,NONE
