ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000d.A.argumentstructs.72,A,1488.91,1492.33,So three's uh how well it goes to the target demographic.,NONE,NONE
IS1000d.D.argumentstructs.58,D,1492.92,1493.13,Mm.,NONE,NONE
IS1000d.A.argumentstructs.Rutger.49,A,1493.05,1495.43,So we're d we're still thinking twenty to forty year olds ?,NONE,"IS1000d.B.argumentstructs.Rutger.24, IS1000d.C.argumentstructs.Rutger.37, IS1000d.A.argumentstructs.Rutger.50, IS1000d.A.argumentstructs.Rutger.56"
IS1000d.B.argumentstructs.49,B,1493.23,1493.46,So,NONE,NONE
IS1000d.B.argumentstructs.Rutger.24,B,1494.82,1496.288,"Twe twenty to forty, yes that's",IS1000d.A.argumentstructs.Rutger.49,NONE
IS1000d.C.argumentstructs.Rutger.37,C,1496.25,1499.13,This one would be uh for grandmothers.,IS1000d.A.argumentstructs.Rutger.49,"IS1000d.D.argumentstructs.Rutger.42, IS1000d.C.argumentstructs.Rutger.38"
IS1000d.A.argumentstructs.73,A,1498.66,1498.94,Mm.,NONE,NONE
IS1000d.D.argumentstructs.Rutger.42,D,1499.57,1504.04,"Oh no, this would I I would I would give this model to the old people actually. Yeah.",IS1000d.C.argumentstructs.Rutger.37,NONE
IS1000d.C.argumentstructs.57,C,1500.82,1501.07,No.,NONE,NONE
IS1000d.C.argumentstructs.Rutger.38,C,1502.86,1503.8,"Yeah, grandmothers, yeah.",IS1000d.C.argumentstructs.Rutger.37,NONE
IS1000d.B.argumentstructs.50,B,1504.62,1504.89,Mm-hmm.,NONE,NONE
IS1000d.A.argumentstructs.Rutger.50,A,1504.92,1508.82,"So sh completely changed our demographic there, it's not part of the the funky young thing.",IS1000d.A.argumentstructs.Rutger.49,"IS1000d.B.argumentstructs.Rutger.25, IS1000d.A.argumentstructs.Rutger.52, IS1000d.B.argumentstructs.Rutger.27"
IS1000d.D.argumentstructs.59,D,1505.16,1505.31,And,NONE,NONE
IS1000d.B.argumentstructs.Rutger.25,B,1508.56,1514.336,"Well exce except for the surfing shape. I mean that's that's something which which has an appeal on this group I think, but",IS1000d.A.argumentstructs.Rutger.50,"IS1000d.C.argumentstructs.Rutger.39, IS1000d.A.argumentstructs.Rutger.51"
