ae_id,speaker,start_time,end_time,sentence,source,targets
IS1001c.A.argumentstructs.Rutger.9,A,977.12,985.456,What kind of fr fruit would you like to to control your T_V_ with ?,NONE,IS1001c.B.argumentstructs.Rutger.11
IS1001c.C.argumentstructs.34,C,990.7,991.02,Mm.,NONE,NONE
IS1001c.A.argumentstructs.26,A,994.14,994.34,Odi,NONE,NONE
IS1001c.B.argumentstructs.Rutger.11,B,994.18,995.95,"Banana I think, it's a nice idea.",IS1001c.A.argumentstructs.Rutger.9,"IS1001c.A.argumentstructs.Rutger.10, IS1001c.B.argumentstructs.Rutger.13, IS1001c.B.argumentstructs.Rutger.15, IS1001c.C.argumentstructs.Rutger.17"
IS1001c.A.argumentstructs.Rutger.10,A,996.42,1001.81,Banana is also yellow so you you can't lost your remote control then.,IS1001c.B.argumentstructs.Rutger.11,"IS1001c.D.argumentstructs.Rutger.1, IS1001c.C.argumentstructs.Rutger.12"
IS1001c.B.argumentstructs.21,B,998.97,999.15,But,NONE,NONE
IS1001c.D.argumentstructs.Rutger.1,D,1001.26,1002.352,Yeah.,IS1001c.A.argumentstructs.Rutger.10,NONE
IS1001c.C.argumentstructs.Rutger.12,C,1001.83,1002.18,Yeah.,IS1001c.A.argumentstructs.Rutger.10,NONE
IS1001c.B.argumentstructs.Rutger.13,B,1002.9,1016.368,"You y you don't use the banana when the banana is curving like that, but when the banana is curving like that, with the wheel on the top and to control, and here you have a a push button to",IS1001c.B.argumentstructs.Rutger.11,"IS1001c.C.argumentstructs.Rutger.13, IS1001c.D.argumentstructs.Rutger.2, IS1001c.A.argumentstructs.Rutger.11, IS1001c.C.argumentstructs.Rutger.14"
IS1001c.C.argumentstructs.35,C,1005.73,1010.01,"Two of the button, yeah. Yeah.",NONE,NONE
IS1001c.C.argumentstructs.Rutger.13,C,1011.49,1011.93,Yeah.,IS1001c.B.argumentstructs.Rutger.13,NONE
IS1001c.D.argumentstructs.Rutger.2,D,1013.73,1015.456,But you don't have,IS1001c.B.argumentstructs.Rutger.13,NONE
IS1001c.A.argumentstructs.Rutger.11,A,1017.24,1018.77,"I think it's a good idea, yeah.",IS1001c.B.argumentstructs.Rutger.13,NONE
IS1001c.C.argumentstructs.Rutger.14,C,1017.33,1028.25,"Yeah so you can just have uh just have this curve, yeah, and you move uh your hand here to press the buttons and then you move uh on the other side. So you can have it on on two sides and it'll be cool",IS1001c.B.argumentstructs.Rutger.13,IS1001c.C.argumentstructs.Rutger.15
IS1001c.A.argumentstructs.27,A,1025.0,1025.34,Yeah.,NONE,NONE
IS1001c.B.argumentstructs.Rutger.14,B,1025.6,1025.78,Yeah.,IS1001c.C.argumentstructs.Rutger.15,NONE
IS1001c.C.argumentstructs.Rutger.15,C,1028.25,1028.48,", no ?",IS1001c.C.argumentstructs.Rutger.14,"IS1001c.A.argumentstructs.Rutger.12, IS1001c.B.argumentstructs.Rutger.14"
IS1001c.A.argumentstructs.Rutger.12,A,1028.52,1037.26,Yeah. I think it's a good design and it's innovative as well then. Maybe we can keep the banana. And it will be very easy to find.,IS1001c.C.argumentstructs.Rutger.15,IS1001c.C.argumentstructs.Rutger.16
IS1001c.C.argumentstructs.Rutger.16,C,1037.3,1038.72,You can put also vibrator inside.,IS1001c.A.argumentstructs.Rutger.12,NONE
IS1001c.B.argumentstructs.Rutger.15,B,1037.32,1045.42,And everybody knows what is a banana. Basically. If you if you start with uh fancy fruits and fra s and tha,IS1001c.B.argumentstructs.Rutger.11,IS1001c.D.argumentstructs.Rutger.3
IS1001c.D.argumentstructs.Rutger.3,D,1039.648,1040.4,Yeah.,IS1001c.B.argumentstructs.Rutger.15,NONE
IS1001c.C.argumentstructs.Rutger.17,C,1044.05,1053.66,Ah-ha. You can also take into account the fact that the banana fits with the colour scheme of our company.  Yeah.,IS1001c.B.argumentstructs.Rutger.11,"IS1001c.B.argumentstructs.Rutger.16, IS1001c.A.argumentstructs.Rutger.13"
IS1001c.B.argumentstructs.Rutger.16,B,1051.09,1054.104,"Oh, yeah",IS1001c.C.argumentstructs.Rutger.17,NONE
IS1001c.A.argumentstructs.28,A,1051.12,1051.38,Yeah.,NONE,NONE
IS1001c.A.argumentstructs.Rutger.13,A,1052.98,1056.6,Yeah it's really uh really a good point.,IS1001c.C.argumentstructs.Rutger.17,NONE
