ae_id,speaker,start_time,end_time,sentence,source,targets
IS1001c.C.argumentstructs.Rutger.1,C,375.27,380.52,"I have a question about that actually. Um, what is the purpose of the light ?",NONE,"IS1001c.B.argumentstructs.Rutger.1, IS1001c.A.argumentstructs.Rutger.1"
IS1001c.B.argumentstructs.Rutger.1,B,381.81,389.305,Just to to make something which is uh slightly more design that uh a squarey box with a rubber,IS1001c.C.argumentstructs.Rutger.1,NONE
IS1001c.A.argumentstructs.Rutger.1,A,387.81,390.71,You can easily find the button in the dark or so ?,IS1001c.C.argumentstructs.Rutger.1,IS1001c.C.argumentstructs.Rutger.2
IS1001c.C.argumentstructs.31,C,390.71,392.82,But in th in the dark uh,NONE,NONE
IS1001c.C.argumentstructs.Rutger.2,C,394.0,396.47,"Yeah but is going to be always turned on, the light ?",IS1001c.A.argumentstructs.Rutger.1,"IS1001c.A.argumentstructs.Rutger.2, IS1001c.B.argumentstructs.Rutger.8"
IS1001c.A.argumentstructs.Rutger.2,A,397.97,402.89,It will be turned on when the when the user move the remote control I think,IS1001c.C.argumentstructs.Rutger.2,"IS1001c.C.argumentstructs.Rutger.4, IS1001c.C.argumentstructs.Rutger.5, IS1001c.C.argumentstructs.Rutger.6, IS1001c.B.argumentstructs.Rutger.3, IS1001c.C.argumentstructs.Rutger.9, IS1001c.A.argumentstructs.Rutger.3"
IS1001c.A.argumentstructs.Rutger.3,A,402.89,403.17,", no ?",IS1001c.A.argumentstructs.Rutger.2,NONE
IS1001c.C.argumentstructs.Rutger.4,C,403.04,405.22,"But if you move it then you have it, you don't need to find it.",IS1001c.A.argumentstructs.Rutger.2,NONE
IS1001c.A.argumentstructs.24,A,405.63,411.2,Hmm. Yeah. Yeah.,NONE,NONE
IS1001c.C.argumentstructs.Rutger.5,C,407.73,410.27,"You can see the buttons better, of course. Yeah.",IS1001c.A.argumentstructs.Rutger.2,"IS1001c.A.argumentstructs.Rutger.4, IS1001c.B.argumentstructs.Rutger.2"
IS1001c.A.argumentstructs.Rutger.4,A,412.52,413.55,Yeah. True.,IS1001c.C.argumentstructs.Rutger.5,NONE
IS1001c.B.argumentstructs.Rutger.2,B,414.51,415.23,Yeah. Actually.,IS1001c.C.argumentstructs.Rutger.5,NONE
IS1001c.C.argumentstructs.Rutger.6,C,415.02,420.3,But if you move it then you have to have some sensor to  when you move it to detect your movement.,IS1001c.A.argumentstructs.Rutger.2,NONE
IS1001c.B.argumentstructs.Rutger.3,B,422.1,425.55,As soon as you thought to move the the remote control you have the light.,IS1001c.A.argumentstructs.Rutger.2,IS1001c.C.argumentstructs.Rutger.7
IS1001c.C.argumentstructs.Rutger.7,C,426.3,428.35,"Yeah, but you need another sensor for that, right ?",IS1001c.B.argumentstructs.Rutger.3,IS1001c.B.argumentstructs.Rutger.4
IS1001c.B.argumentstructs.Rutger.4,B,429.09,430.28,Yeah. Again.,IS1001c.C.argumentstructs.Rutger.7,IS1001c.C.argumentstructs.Rutger.8
IS1001c.C.argumentstructs.Rutger.8,C,430.35,432.63,Yeah,IS1001c.B.argumentstructs.Rutger.4,NONE
IS1001c.C.argumentstructs.Rutger.9,C,432.63,433.49,no it's too expensive.,IS1001c.A.argumentstructs.Rutger.2,"IS1001c.B.argumentstructs.Rutger.6, IS1001c.B.argumentstructs.Rutger.7, IS1001c.C.argumentstructs.Rutger.11"
IS1001c.B.argumentstructs.Rutger.6,B,437.36,439.22,"I don't think that this is really expensive,",IS1001c.C.argumentstructs.Rutger.9,NONE
IS1001c.B.argumentstructs.Rutger.7,B,439.22,449.344,but at the end this is plenty of unexpen eh very cheap devices but uh the bill starts to be,IS1001c.C.argumentstructs.Rutger.9,IS1001c.C.argumentstructs.Rutger.10
IS1001c.C.argumentstructs.32,C,439.26,445.93,"Okay. Mm. Extra. Yeah, okay.",NONE,NONE
IS1001c.C.argumentstructs.Rutger.10,C,447.22,447.36,Mm.,IS1001c.B.argumentstructs.Rutger.7,NONE
IS1001c.C.argumentstructs.Rutger.11,C,449.41,454.17,"Yeah, but I expected also the wheel would be cheap but you tell me that it is very expensive so, yeah.",IS1001c.C.argumentstructs.Rutger.9,NONE
IS1001c.B.argumentstructs.Rutger.8,B,454.07,467.348,"First of all I was thinking to have a a continuous light and you w when t you you you you press the on button you have the light on your remote control, when you want to turn off your device",IS1001c.C.argumentstructs.Rutger.2,IS1001c.A.argumentstructs.Rutger.7
IS1001c.C.argumentstructs.33,C,461.9,474.8,Mm. Mm-hmm. Mm.,NONE,NONE
IS1001c.A.argumentstructs.25,A,466.69,469.87,"But it can be uh battery consuming, no ?",NONE,NONE
IS1001c.A.argumentstructs.Rutger.7,A,471.52,472.94,To have the light always on ?,IS1001c.B.argumentstructs.Rutger.8,"IS1001c.B.argumentstructs.Rutger.9, IS1001c.A.argumentstructs.Rutger.8"
IS1001c.B.argumentstructs.20,B,471.6,473.06,"Yeah, a little bit.",NONE,NONE
IS1001c.B.argumentstructs.Rutger.9,B,474.33,474.97,A little bit.,IS1001c.A.argumentstructs.Rutger.7,NONE
IS1001c.A.argumentstructs.Rutger.8,A,475.54,477.87,Well we will discuss that after maybe,IS1001c.A.argumentstructs.Rutger.7,IS1001c.B.argumentstructs.Rutger.10
IS1001c.B.argumentstructs.Rutger.10,B,478.16,478.31,Yeah.,IS1001c.A.argumentstructs.Rutger.8,NONE
