ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.B.argumentstructs.Rutger.29,B,1940.72,1945.82,What about um the idea that I had with the cradle ? How do you feel about that ?,NONE,"IS1002b.B.argumentstructs.Rutger.30, IS1002b.D.argumentstructs.Rutger.34"
IS1002b.B.argumentstructs.Rutger.30,B,1947.25,1948.24,Or how does everybody feel ?,IS1002b.B.argumentstructs.Rutger.29,"IS1002b.A.argumentstructs.Rutger.34, IS1002b.D.argumentstructs.Rutger.33, IS1002b.B.argumentstructs.Rutger.31, IS1002b.A.argumentstructs.Rutger.35"
IS1002b.A.argumentstructs.Rutger.34,A,1947.6,1949.542,Well how does everybody feel ?  I I think,IS1002b.B.argumentstructs.Rutger.30,NONE
IS1002b.D.argumentstructs.Rutger.33,D,1948.062,1954.544,"I mean I I  well we g we're talking about the other end now. I like it. I like the idea, but we have t we have to find out",IS1002b.B.argumentstructs.Rutger.30,NONE
IS1002b.B.argumentstructs.Rutger.31,B,1952.31,1956.09,"No, but I  that's the thing I I don't think it's necessarily the other end.",IS1002b.B.argumentstructs.Rutger.30,NONE
IS1002b.A.argumentstructs.Rutger.35,A,1956.08,1970.44,"The other the o the problem with that in my mind I just think off-hand as a as a consumer, would I wanna buy that ? And I think maybe not because I've got a remote and I'll take it to different chairs, I'll take it to different  I w I don't wanna go over somewhere and put it down.",IS1002b.B.argumentstructs.Rutger.30,"IS1002b.A.argumentstructs.Rutger.36, IS1002b.A.argumentstructs.Rutger.38"
IS1002b.B.argumentstructs.47,B,1967.38,1970.89,Mm-hmm. Right.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.36,A,1970.7,1981.44,"It  i if it is gonna be somewhere that you put it down then it needs to be at the side of your armchair, and that implies that there's only one T_V_ user. So it's very good for some people but it's not a like",IS1002b.A.argumentstructs.Rutger.35,IS1002b.B.argumentstructs.Rutger.32
IS1002b.B.argumentstructs.Rutger.32,B,1980.28,1986.11,"Well it lasts  it would last for several hours on its own power, but when you're done with it you put it back in the cradle.",IS1002b.A.argumentstructs.Rutger.36,IS1002b.A.argumentstructs.Rutger.37
IS1002b.A.argumentstructs.Rutger.37,A,1986.08,1993.696,But it it takes away the ease of use of the remote to a certain extent. You have to l sort of remember. You have to d shift down the side of the couch to find it and put it back and,IS1002b.B.argumentstructs.Rutger.32,IS1002b.B.argumentstructs.Rutger.33
IS1002b.B.argumentstructs.48,B,1990.15,1990.34,Mm-hmm.,NONE,NONE
IS1002b.B.argumentstructs.Rutger.33,B,1993.69,1993.9,Mm-hmm.,IS1002b.A.argumentstructs.Rutger.37,NONE
IS1002b.A.argumentstructs.Rutger.38,A,1994.71,2004.54,"Yeah. I d I d I d I think it it  in my mind it doesn't seem like something that oh I'd really want uh because of that fact. But I I don't know, that's just my opinion.",IS1002b.A.argumentstructs.Rutger.35,NONE
IS1002b.D.argumentstructs.44,D,2000.99,2001.29,Mm.,NONE,NONE
IS1002b.D.argumentstructs.Rutger.34,D,2004.56,2027.71,"Well, I think again it's it  we have a cost issue here. You know if we're gonna go in this direction, to me we're going to the other side of the cost range. Are we gonna make this  selling selling the cost as a high high-tech uh um environmentally sensitive whatever, or are we gonna go to the lower side of the range ?  Again I don't see our market niche in the middle for our product yet. I don't see it yet.",IS1002b.B.argumentstructs.Rutger.29,IS1002b.A.argumentstructs.Rutger.39
IS1002b.A.argumentstructs.57,A,2011.8,2027.19,Mm. 'Kay.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.39,A,2028.305,2032.5,"So what do we think maybe we should  Pedro, do you have any opinion on it ?",IS1002b.D.argumentstructs.Rutger.34,IS1002b.C.argumentstructs.Rutger.22
IS1002b.C.argumentstructs.Rutger.22,C,2032.88,2040.69,"Uh we should keep it simple, mm medium-low cost mar um cost area and uh make it look good.",IS1002b.A.argumentstructs.Rutger.39,NONE
IS1002b.D.argumentstructs.45,D,2044.41,2053.26,"'cause I I I think I agree with you on, we gotta make it a box. The box is gonna sell it I think, the outside, the casing. Can can can we have multiple designs ?",NONE,NONE
