ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.B.argumentstructs.43,B,2165.52,2175.63,"un unless you guys are die-hard against the fact that um it's possible like it reduces the usability of the remote b and the fact that you can't lose it on your own,",NONE,NONE
IS1002b.B.argumentstructs.Rutger.21,B,2177.33,2181.45,I think it still might be a good idea to investigate having like a power cradle.,NONE,"IS1002b.A.argumentstructs.Rutger.30, IS1002b.C.argumentstructs.Rutger.20, IS1002b.B.argumentstructs.Rutger.22, IS1002b.A.argumentstructs.Rutger.31, IS1002b.D.argumentstructs.Rutger.31"
IS1002b.A.argumentstructs.Rutger.30,A,2180.64,2180.84,Yeah.,IS1002b.B.argumentstructs.Rutger.21,NONE
IS1002b.C.argumentstructs.Rutger.20,C,2182.69,2183.58,Okay. Yeah,IS1002b.B.argumentstructs.Rutger.21,NONE
IS1002b.B.argumentstructs.Rutger.22,B,2183.2,2199.216,"Because I really think i in a certain sense it almost like  for me I would want to have that just, because I know at the end of when I'm done watching T_V_ that when I'm done, oh I better go find the remote and put it back where it belongs. Maybe th th th that's just some people that like that. A lot of people",IS1002b.B.argumentstructs.Rutger.21,NONE
IS1002b.C.argumentstructs.29,C,2183.58,2183.58,.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.31,A,2198.48,2218.29,"I mean there's al there's also remote controls I remember that that worked uh, this hasn't been done in a while I think, but th as a as a watch. Yeah, there is remote control watches um, but I think they're a sorta eighties thing, so it might not be easy to market in it  uh but the the technologies came along and it might be cheaper to make now. Those things may have been inexpensive for all I know",IS1002b.B.argumentstructs.Rutger.21,"IS1002b.D.argumentstructs.Rutger.30, IS1002b.B.argumentstructs.Rutger.24"
IS1002b.D.argumentstructs.Rutger.30,D,2198.64,2199.17,No no.,IS1002b.A.argumentstructs.Rutger.31,IS1002b.C.argumentstructs.Rutger.21
IS1002b.B.argumentstructs.Rutger.24,B,2205.35,2206.29,As a watch ?,IS1002b.A.argumentstructs.Rutger.31,IS1002b.B.argumentstructs.Rutger.25
IS1002b.B.argumentstructs.Rutger.25,B,2206.29,2206.67,Mm 'kay.,IS1002b.B.argumentstructs.Rutger.24,NONE
IS1002b.C.argumentstructs.Rutger.21,C,2213.46,2214.99,Yeah they are not simple.,IS1002b.D.argumentstructs.Rutger.30,NONE
IS1002b.B.argumentstructs.44,B,2218.62,2218.87,Mm-hmm.,NONE,NONE
IS1002b.D.argumentstructs.Rutger.31,D,2219.17,2249.33,"One thing I just thought about when you were saying that, is that the p our target market is gonna be someone who has lost or broken  We gotta stop ? Who's lost or broken their their remote. So  how many remotes do they wanna buy ? Can we p can we sell them a remote that can maybe guarantee they will not need to buy another one ? And so with with with this kind of system or locator or something, to to think about, how have people been been losing or breaking their remote ? How does this happen ?",IS1002b.B.argumentstructs.Rutger.21,"IS1002b.B.argumentstructs.Rutger.26, IS1002b.A.argumentstructs.Rutger.32, IS1002b.A.argumentstructs.Rutger.33"
IS1002b.B.argumentstructs.Rutger.26,B,2226.66,2227.63,That's what I was saying.,IS1002b.D.argumentstructs.Rutger.31,NONE
IS1002b.A.argumentstructs.56,A,2227.63,2240.28,Gotta cut up. Mm.,NONE,NONE
IS1002b.C.argumentstructs.30,C,2240.31,2240.53,Yeah.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.32,A,2249.61,2250.78,The last remote you'll ever buy.,IS1002b.D.argumentstructs.Rutger.31,IS1002b.D.argumentstructs.Rutger.32
IS1002b.D.argumentstructs.Rutger.32,D,2250.88,2259.08,"And and then and then design the product, maybe some component of the product that can identify this as the last one you'll ever need to buy.",IS1002b.A.argumentstructs.Rutger.32,NONE
IS1002b.A.argumentstructs.Rutger.33,A,2258.72,2277.94,Well if if we're going down that then we can  we don't need to go the  it it strikes me that the locator feature might actually be uh quite expensive to make. Whereas actually just putting it in a power cradle might not be too expensive at all because that's just done with mobile phones you can just n we we have said we have actually similar products that we can take from and potentially cut costs there.,IS1002b.D.argumentstructs.Rutger.31,"IS1002b.B.argumentstructs.Rutger.27, IS1002b.B.argumentstructs.Rutger.28"
IS1002b.B.argumentstructs.45,B,2258.9,2270.49,Exactly. Yeah. True.,NONE,NONE
IS1002b.B.argumentstructs.Rutger.27,B,2271.81,2271.95,Right.,IS1002b.A.argumentstructs.Rutger.33,NONE
IS1002b.B.argumentstructs.Rutger.28,B,2273.06,2275.6,Yeah. The locator'll definitely be more expensive.,IS1002b.A.argumentstructs.Rutger.33,NONE
IS1002b.B.argumentstructs.46,B,2277.69,2277.96,Mm-hmm.,NONE,NONE
