ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002c.C.argumentstructs.Rutger.1,C,528.74,541.51,"Um so, somehow that thing's too big, but um  okay um our uh manufacturing division wanted the speech recognition. They say they could put it to work but um we don't think so.",NONE,"IS1002c.B.argumentstructs.Rutger.1, IS1002c.C.argumentstructs.Rutger.2, IS1002c.C.argumentstructs.Rutger.3, IS1002c.A.argumentstructs.Rutger.1"
IS1002c.B.argumentstructs.Rutger.1,B,541.54,541.8,No.,IS1002c.C.argumentstructs.Rutger.1,NONE
IS1002c.C.argumentstructs.Rutger.2,C,542.19,547.36,No. It it it  you'll be you know be affected by the by the other speech and,IS1002c.C.argumentstructs.Rutger.1,IS1002c.B.argumentstructs.Rutger.2
IS1002c.B.argumentstructs.36,B,549.8,551.59,if somebody says up in the middle of a,NONE,NONE
IS1002c.B.argumentstructs.Rutger.2,B,552.73,555.58,"television show, it's gonna change the channel.",IS1002c.C.argumentstructs.Rutger.2,NONE
IS1002c.C.argumentstructs.Rutger.3,C,555.91,560.86,"Yeah and and fighting for the remote would not be fun anymore, and I think that's one of the things we wanna keep.",IS1002c.C.argumentstructs.Rutger.1,NONE
IS1002c.B.argumentstructs.37,B,556.94,557.43,So,NONE,NONE
IS1002c.A.argumentstructs.Rutger.1,A,560.16,565.2,"But what if you actually had to press a button to make it recognize ? So if you pressed it and went, up ?",IS1002c.C.argumentstructs.Rutger.1,"IS1002c.C.argumentstructs.Rutger.4, IS1002c.B.argumentstructs.Rutger.3, IS1002c.A.argumentstructs.Rutger.4, IS1002c.B.argumentstructs.Rutger.4"
IS1002c.C.argumentstructs.Rutger.4,C,565.071,570.53,That kinda would r d yeah. That would kind of lose it.,IS1002c.A.argumentstructs.Rutger.1,NONE
IS1002c.B.argumentstructs.Rutger.3,B,566.4,567.95,Well then why don't you just press the up button ?,IS1002c.A.argumentstructs.Rutger.1,IS1002c.A.argumentstructs.Rutger.3
IS1002c.A.argumentstructs.Rutger.3,A,568.16,568.67,Man yeah.,IS1002c.B.argumentstructs.Rutger.3,NONE
IS1002c.A.argumentstructs.Rutger.4,A,570.02,572.224,But if it's just one thing with a button that you can just go,IS1002c.A.argumentstructs.Rutger.1,IS1002c.D.argumentstructs.Rutger.1
IS1002c.D.argumentstructs.Rutger.1,D,572.72,573.02,That's right.,IS1002c.A.argumentstructs.Rutger.4,NONE
IS1002c.B.argumentstructs.Rutger.4,B,573.09,587.76,"Even still there's gonna be interf th there's there still will be interference from the T_V_. It might not be it might not be completely confusing, but I think you'll still y it's still  I don't think it's practical at all. I think it's a bad idea frankly.",IS1002c.A.argumentstructs.Rutger.1,IS1002c.A.argumentstructs.Rutger.5
IS1002c.A.argumentstructs.34,A,573.19,573.55,Up.,NONE,NONE
IS1002c.A.argumentstructs.Rutger.5,A,577.65,578.01,"Yeah, okay.",IS1002c.B.argumentstructs.Rutger.4,NONE
