ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004d.B.argumentstructs.Rutger.1,B,981.78,989.72,"I'd say two.  I don't want a banana on my  living room table, a banana remote.",NONE,"IS1004d.C.argumentstructs.Rutger.1, IS1004d.B.argumentstructs.Rutger.2, IS1004d.B.argumentstructs.Rutger.5, IS1004d.B.argumentstructs.Rutger.8"
IS1004d.C.argumentstructs.8,C,984.36,984.68,Why ?,NONE,NONE
IS1004d.C.argumentstructs.Rutger.1,C,986.181,994.33,No but it's really handy actually if you see. It's it's so handy. And then,IS1004d.B.argumentstructs.Rutger.1,NONE
IS1004d.A.argumentstructs.8,A,988.81,990.87,"Aw, should be nice in your",NONE,NONE
IS1004d.B.argumentstructs.Rutger.2,B,992.37,998.13,"It is handy, it's handy, but it it's terrible.  Yeah.",IS1004d.B.argumentstructs.Rutger.1,"IS1004d.A.argumentstructs.Rutger.1, IS1004d.C.argumentstructs.Rutger.2"
IS1004d.A.argumentstructs.Rutger.1,A,995.765,997.62,It's kitsch.,IS1004d.B.argumentstructs.Rutger.2,NONE
IS1004d.C.argumentstructs.Rutger.2,C,995.81,1001.44,Anyb anybody who comes here   anybody who comes to your home he'll at least ask once what is this.,IS1004d.B.argumentstructs.Rutger.2,IS1004d.B.argumentstructs.Rutger.4
IS1004d.B.argumentstructs.Rutger.4,B,1002.02,1003.69,"Yeah, but it's not a positive thing.",IS1004d.C.argumentstructs.Rutger.2,IS1004d.C.argumentstructs.Rutger.3
IS1004d.C.argumentstructs.Rutger.3,C,1003.92,1006.37,It's a very positive thing if you see like that.,IS1004d.B.argumentstructs.Rutger.4,NONE
IS1004d.B.argumentstructs.Rutger.5,B,1004.9,1009.29,"Well, you know, it's it's handy, it's ergonomic, but it's a banana.",IS1004d.B.argumentstructs.Rutger.1,IS1004d.A.argumentstructs.Rutger.2
IS1004d.A.argumentstructs.Rutger.2,A,1007.49,1015.71,"Well, don't forget well, don't for don't forget who we're targeting also who are f f who are wh yeah, youngst youngst",IS1004d.B.argumentstructs.Rutger.5,"IS1004d.C.argumentstructs.Rutger.4, IS1004d.B.argumentstructs.Rutger.6"
IS1004d.C.argumentstructs.Rutger.4,C,1013.08,1013.83,Youngsters.,IS1004d.A.argumentstructs.Rutger.2,NONE
IS1004d.D.argumentstructs.2,D,1013.51,1014.47,Actually maybe,NONE,NONE
IS1004d.B.argumentstructs.Rutger.6,B,1013.92,1016.44,"Yeah but it says I, I would buy this, so.",IS1004d.A.argumentstructs.Rutger.2,IS1004d.A.argumentstructs.Rutger.3
IS1004d.A.argumentstructs.Rutger.3,A,1016.55,1020.15,No  well  yeah  I  if you would be young.,IS1004d.B.argumentstructs.Rutger.6,"IS1004d.D.argumentstructs.Rutger.1, IS1004d.A.argumentstructs.Rutger.4"
IS1004d.D.argumentstructs.Rutger.1,D,1018.23,1019.236,Yeah,IS1004d.A.argumentstructs.Rutger.3,NONE
IS1004d.A.argumentstructs.Rutger.4,A,1021.6,1024.86,Not telling that you are young. Li li like a teenager for instance.,IS1004d.A.argumentstructs.Rutger.3,IS1004d.B.argumentstructs.Rutger.7
IS1004d.B.argumentstructs.Rutger.7,B,1022.464,1027.863,"No, it's I. I would buy",IS1004d.A.argumentstructs.Rutger.4,IS1004d.A.argumentstructs.Rutger.5
IS1004d.A.argumentstructs.Rutger.5,A,1026.98,1032.51,Okay you're you're crazy teenager and you like fun things. Yeah.,IS1004d.B.argumentstructs.Rutger.7,IS1004d.C.argumentstructs.Rutger.5
IS1004d.C.argumentstructs.Rutger.5,C,1031.08,1033.82,You want to flaunt. You  with your girlfriend or something.,IS1004d.A.argumentstructs.Rutger.5,"IS1004d.A.argumentstructs.Rutger.6, IS1004d.C.argumentstructs.Rutger.6"
IS1004d.A.argumentstructs.Rutger.6,A,1033.65,1036.722,"Yeah, you want to show the beautiful banana you have.",IS1004d.C.argumentstructs.Rutger.5,NONE
IS1004d.B.argumentstructs.10,B,1035.01,1036.5,S s,NONE,NONE
IS1004d.C.argumentstructs.Rutger.6,C,1035.84,1038.08,Or might be it does some other kind of thing but,IS1004d.C.argumentstructs.Rutger.5,NONE
IS1004d.B.argumentstructs.Rutger.8,B,1038.16,1043.19,"Still I I'd say two. I don't think I  at any stage in my life I would want a banana remote control, really.",IS1004d.B.argumentstructs.Rutger.1,"IS1004d.C.argumentstructs.Rutger.7, IS1004d.A.argumentstructs.Rutger.7"
IS1004d.C.argumentstructs.Rutger.7,C,1043.4,1044.97,"Uh yeah, crazy.",IS1004d.B.argumentstructs.Rutger.8,NONE
IS1004d.A.argumentstructs.Rutger.7,A,1044.32,1050.99,Okay so you s you give  oh yeah yeah I know I know. So you say two. F I d I say five.,IS1004d.B.argumentstructs.Rutger.8,IS1004d.B.argumentstructs.Rutger.9
IS1004d.B.argumentstructs.Rutger.9,B,1044.63,1048.89,"I can say, maybe there is a market for it, I dunno.  Yeah.",IS1004d.A.argumentstructs.Rutger.7,NONE
