ae_id,speaker,start_time,end_time,sentence,source,targets
IS1005b.B.argumentstructs.Rutger.1,B,1806.536,1819.232,Yes.  This I was thinking. Do we need a power button at all ? Should should shouldn't we do it like sleep mode after five minutes of not using it ? Because generally,NONE,"IS1005b.D.argumentstructs.Rutger.1, IS1005b.A.argumentstructs.Rutger.1, IS1005b.D.argumentstructs.Rutger.2, IS1005b.D.argumentstructs.Rutger.4, IS1005b.B.argumentstructs.Rutger.4, IS1005b.D.argumentstructs.Rutger.7, IS1005b.D.argumentstructs.Rutger.7, IS1005b.B.argumentstructs.Rutger.7"
IS1005b.D.argumentstructs.Rutger.1,D,1810.37,1811.08,uh required.,IS1005b.B.argumentstructs.Rutger.1,NONE
IS1005b.A.argumentstructs.Rutger.1,A,1818.67,1828.33,"It's it's a kind of setting, I think. It should fit in those settings functions. Because it's not a very current useful function.",IS1005b.B.argumentstructs.Rutger.1,IS1005b.C.argumentstructs.Rutger.1
IS1005b.C.argumentstructs.8,C,1821.16,1821.39,Mm.,NONE,NONE
IS1005b.C.argumentstructs.Rutger.1,C,1823.28,1824.02,Settings.,IS1005b.A.argumentstructs.Rutger.1,NONE
IS1005b.D.argumentstructs.Rutger.2,D,1828.88,1833.93,"Uh, well I think when they say power button they mean to turn the T_V_ on and off.",IS1005b.B.argumentstructs.Rutger.1,IS1005b.A.argumentstructs.Rutger.2
IS1005b.A.argumentstructs.Rutger.2,A,1834.12,1838.84,"No, I think it's after after five minutes or something  a timer  I I think, no ?",IS1005b.D.argumentstructs.Rutger.2,"IS1005b.B.argumentstructs.Rutger.2, IS1005b.D.argumentstructs.Rutger.3"
IS1005b.B.argumentstructs.15,B,1834.13,1834.62,Yes.,NONE,NONE
IS1005b.B.argumentstructs.Rutger.2,B,1836.49,1837.84,Well I I uh,IS1005b.A.argumentstructs.Rutger.2,NONE
IS1005b.D.argumentstructs.Rutger.3,D,1838.26,1843.12,"But if you're watching T_V_ for two hours, you don't want your T_V_ to turn off after five five minute",IS1005b.A.argumentstructs.Rutger.2,IS1005b.B.argumentstructs.Rutger.3
IS1005b.B.argumentstructs.Rutger.3,B,1841.6,1847.93,"You don't need to  every five minutes to keep it alive. Uh probably. Okay, so we should keep this button.",IS1005b.D.argumentstructs.Rutger.3,NONE
IS1005b.D.argumentstructs.Rutger.4,D,1848.42,1858.43,"I mean based on our usability studies again, um  pe um people said that the power button was v a very relevant button. Um, you know, it was nine out of ten",IS1005b.B.argumentstructs.Rutger.1,"IS1005b.C.argumentstructs.Rutger.2, IS1005b.A.argumentstructs.Rutger.3"
IS1005b.C.argumentstructs.Rutger.2,C,1848.74,1849.04,Yeah.,IS1005b.D.argumentstructs.Rutger.4,NONE
IS1005b.A.argumentstructs.Rutger.3,A,1854.54,1855.73,"Oh okay, yeah.",IS1005b.D.argumentstructs.Rutger.4,NONE
IS1005b.C.argumentstructs.9,C,1856.26,1888.52,Mm-hmm. Mm-hmm.,NONE,NONE
IS1005b.B.argumentstructs.Rutger.4,B,1858.92,1876.38,"Okay, so we we could p what we could probably do is to keep also to keep uh keep the L_C_D_ and all the buttons and stuff, we could make it like a opening opening style that if you open it you are  you just turn on the T_V_ and if you close it, it will",IS1005b.B.argumentstructs.Rutger.1,"IS1005b.B.argumentstructs.Rutger.5, IS1005b.A.argumentstructs.Rutger.4"
IS1005b.A.argumentstructs.15,A,1871.93,1872.16,Yeah.,NONE,NONE
IS1005b.A.argumentstructs.Rutger.4,A,1877.78,1878.01,Yeah,IS1005b.B.argumentstructs.Rutger.4,NONE
IS1005b.A.argumentstructs.16,A,1878.01,1890.74,. Yeah.,NONE,NONE
IS1005b.B.argumentstructs.Rutger.5,B,1878.23,1880.672,"turn off the T_V_. If if you like this,",IS1005b.B.argumentstructs.Rutger.4,IS1005b.D.argumentstructs.Rutger.5
IS1005b.D.argumentstructs.21,D,1880.94,1881.26,Okay.,NONE,NONE
IS1005b.D.argumentstructs.Rutger.5,D,1882.14,1882.89,B Okay.,IS1005b.B.argumentstructs.Rutger.5,NONE
