ae_id,speaker,start_time,end_time,sentence,source,targets
IS1005c.A.argumentstructs.Rutger.9,A,1156.26,1179.44,"So I think before talking about the other thing, it's important thing it's the case. Uh what what are gonna be the size, because its weight drives the other  what we are going to use as features and so on. For example for the for the L_C_D_, if we choose to have a small device, we cannot use this um a such a a a screen.",NONE,"IS1005c.B.argumentstructs.Rutger.10, IS1005c.B.argumentstructs.Rutger.11"
IS1005c.B.argumentstructs.Rutger.10,B,1158.256,1182.12,"Uh the s the screen is okay, but the board, uh that's the problem.",IS1005c.A.argumentstructs.Rutger.9,NONE
IS1005c.B.argumentstructs.Rutger.11,B,1184.39,1188.7,Well what what would you guess as a shape ? Or what what would be the shape ?,IS1005c.A.argumentstructs.Rutger.9,"IS1005c.C.argumentstructs.Rutger.2, IS1005c.D.argumentstructs.Rutger.8, IS1005c.A.argumentstructs.Rutger.10"
IS1005c.C.argumentstructs.10,C,1187.57,1188.02,Mm.,NONE,NONE
IS1005c.C.argumentstructs.Rutger.2,C,1189.35,1252.21,"I think I think their being uh large or small is not important. The only important thing is to be able to take it in uh inside hand easily. So let's say an average size, okay, and it should not be very heavy also. And I prefer to  is it shouldn't have a uniform shape, so in the middle it should be a little bit thinner, maybe maybe. So we c it's like like some joysticks. You can take uh some some joystick you can take inside hand easier because it's it's designed for your f uh taking into account your finger shape and your palm shape. So the general shape should be like this. I think uh seven centimetre by seven centimetre is a little bit large. So uh seven  not seven but let's say five by ten it's I think it's  that's my opinion. It's easier.",IS1005c.B.argumentstructs.Rutger.11,"IS1005c.B.argumentstructs.Rutger.12, IS1005c.D.argumentstructs.Rutger.6"
IS1005c.B.argumentstructs.Rutger.12,B,1200.94,1242.12,Mm. Okay.,IS1005c.C.argumentstructs.Rutger.2,NONE
IS1005c.D.argumentstructs.Rutger.6,D,1251.33,1252.4,Which is the same area.,IS1005c.C.argumentstructs.Rutger.2,"IS1005c.B.argumentstructs.Rutger.13, IS1005c.C.argumentstructs.Rutger.3, IS1005c.B.argumentstructs.Rutger.14"
IS1005c.B.argumentstructs.Rutger.13,B,1253.296,1254.39,Okay.,IS1005c.D.argumentstructs.Rutger.6,NONE
IS1005c.C.argumentstructs.Rutger.3,C,1253.61,1255.408,Yeah.,IS1005c.D.argumentstructs.Rutger.6,NONE
IS1005c.D.argumentstructs.Rutger.8,D,1253.88,1255.97,Could you re could you redesign your board ?,IS1005c.B.argumentstructs.Rutger.11,IS1005c.B.argumentstructs.Rutger.15
IS1005c.B.argumentstructs.Rutger.14,B,1256.55,1259.195,Five to ten. Well that,IS1005c.D.argumentstructs.Rutger.6,IS1005c.D.argumentstructs.Rutger.7
IS1005c.D.argumentstructs.Rutger.7,D,1258.12,1260.52,"Oh, five five centimetres by ten centimetres",IS1005c.B.argumentstructs.Rutger.14,NONE
IS1005c.B.argumentstructs.Rutger.15,B,1260.5,1294.59,"Yeah, right. Yeah, I think it's feasib Well one um um  How could we do it ? We could put the board next to, well, under the L_C_D_ and for example make the L_C_D_ be totally unrelated to the thing that you hold in your hand. Like holding something, and the L_C_D_ to be just on top of it, you know somehow. Well  But maybe let's stick to the s spongy thing, like one unit. Well fi five to ten it would be feasible.",IS1005c.D.argumentstructs.Rutger.8,IS1005c.D.argumentstructs.Rutger.9
IS1005c.D.argumentstructs.11,D,1260.52,1260.52,.,NONE,NONE
IS1005c.D.argumentstructs.Rutger.9,D,1261.77,1261.91,Yeah.,IS1005c.B.argumentstructs.Rutger.15,NONE
IS1005c.C.argumentstructs.11,C,1274.81,1298.24,Mm-hmm. Mm.,NONE,NONE
IS1005c.A.argumentstructs.Rutger.10,A,1288.64,1298.25,"Oh. I've I s I think the easiest thing would be to to have a smaller L_C_D_, if it's possible.",IS1005c.B.argumentstructs.Rutger.11,"IS1005c.B.argumentstructs.Rutger.16, IS1005c.A.argumentstructs.Rutger.11"
