ae_id,speaker,start_time,end_time,sentence,source,targets
IS1006b.D.argumentstructs.Daan.3,D,1148.3,1154.03,"So for instance if I want to go to  directly to channel twenty five, how would I do  can I do that with this ?",NONE,"IS1006b.C.argumentstructs.Daan.1, IS1006b.A.argumentstructs.Daan.2, IS1006b.B.argumentstructs.Daan.5, IS1006b.D.argumentstructs.Daan.4"
IS1006b.B.argumentstructs.8,B,1154.56,1160.77,Uh twenty five. Mm-hmm.,NONE,NONE
IS1006b.D.argumentstructs.Daan.4,D,1155.68,1165.7,"Yeah mm let's say I am uh on channel eight now. You know these days we have hundreds of channels, that's not so easy to go just next next next when you have hundreds of channels. Or is it ?",IS1006b.D.argumentstructs.Daan.3,IS1006b.B.argumentstructs.Daan.4
IS1006b.B.argumentstructs.Daan.4,B,1164.464,1184.35,"In fact I would propose another solution. Basically you use just four or five channels, right ? Yeah. So uh set up your T_V_ set like channels that you use they're one, two, three and five, and you will never have to go to a twenty fives channel.",IS1006b.D.argumentstructs.Daan.4,IS1006b.D.argumentstructs.Daan.5
IS1006b.D.argumentstructs.Daan.5,D,1170.61,1201.296,"Most people  yeah. In fact in in one uh remote control that I've seen, instead of doing that d you could just say these are the cha ch channel three, twenty eight, forty eight and uh sixty four are those that I want to by cycled with my next button. I uh",IS1006b.B.argumentstructs.Daan.4,NONE
IS1006b.A.argumentstructs.6,A,1200.8,1202.96,"Yeah it's it's the same solution, I think. Hmm.",NONE,NONE
IS1006b.C.argumentstructs.5,C,1201.86,1202.18,Yeah.,NONE,NONE
IS1006b.D.argumentstructs.10,D,1202.48,1202.75,B yeah.,NONE,NONE
IS1006b.C.argumentstructs.Daan.1,C,1204.27,1213.399,"But even we can have some uh L_C_D_ display, like you can uh de you can just button the number and then it go t because",IS1006b.D.argumentstructs.Daan.3,"IS1006b.D.argumentstructs.Daan.6, IS1006b.C.argumentstructs.Daan.2"
IS1006b.D.argumentstructs.Daan.6,D,1208.89,1226.54,"Go to channel twenty five. One thing is that as I said in my presentation people really do like to z zap. So even if they are only watching four or five channels, I think they want to zap out of the one hundred channels, just because this is one kind of thing they do, zapping.",IS1006b.C.argumentstructs.Daan.1,IS1006b.A.argumentstructs.Daan.3
IS1006b.B.argumentstructs.9,B,1219.81,1220.32,Mm-hmm.,NONE,NONE
IS1006b.C.argumentstructs.6,C,1223.06,1236.97,Yeah. Yeah. Yeah. Yeah.. Yeah.,NONE,NONE
IS1006b.A.argumentstructs.Daan.3,A,1226.0,1229.66,"Yeah uh on zap it's only next next next next next, yeah.",IS1006b.D.argumentstructs.Daan.6,IS1006b.B.argumentstructs.Daan.6
IS1006b.B.argumentstructs.Daan.6,B,1230.04,1236.26,Mm. We got these buttons here. Next next. Or say this can be back.,IS1006b.A.argumentstructs.Daan.3,NONE
IS1006b.A.argumentstructs.7,A,1230.8,1231.13,Mm-hmm.,NONE,NONE
IS1006b.C.argumentstructs.Daan.2,C,1238.36,1245.84,But otherwise like we can put some display on numbers and then they can just press  suppose two five they just press two and five and then,IS1006b.C.argumentstructs.Daan.1,NONE
IS1006b.C.argumentstructs.7,C,1246.98,1256.97,"Yeah. Yeah. Yeah, yeah. Yeah, yeah.",NONE,NONE
IS1006b.A.argumentstructs.Daan.2,A,1247.33,1253.87,Maybe we can make uh different modes for each button and you can change mode  zapping mode or,IS1006b.D.argumentstructs.Daan.3,IS1006b.C.argumentstructs.Daan.3
IS1006b.A.argumentstructs.8,A,1255.29,1270.29,uh current chan Yeah. Mm-hmm.,NONE,NONE
IS1006b.C.argumentstructs.Daan.3,C,1258.08,1269.73,Yeah but since we are focusing only on T_V_ remote controls so we can have more functions for T_V_ uh if you want to go for a universal then we ought to limit for functions for each of our devices.,IS1006b.A.argumentstructs.Daan.2,NONE
IS1006b.D.argumentstructs.11,D,1269.97,1270.35,Okay.,NONE,NONE
IS1006b.B.argumentstructs.Daan.5,B,1271.6,1279.89,"Could we carry out some research if we w really need this, like how many people really need to go to channel number twenty five and then to sixty four ?",IS1006b.D.argumentstructs.Daan.3,IS1006b.D.argumentstructs.Daan.7
IS1006b.D.argumentstructs.Daan.7,D,1281.09,1289.712,Well I could could uh have a look at that  maybe.  I'll check in my department if there's someone specialist in that.,IS1006b.B.argumentstructs.Daan.5,NONE
IS1006b.B.argumentstructs.10,B,1285.56,1286.01,Okay.,NONE,NONE
