ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007a.B.argumentstructs.Daan.2,B,478.539,512.04,"I want uh to list all the programme tonight. Y you know, instead of  uh remote control it's doing the  some searching for you, so you don't have to look for the channel you want. Just say maybe I just want to press  I wanna have a button for all the movies tonight. Or a button for all the magazines, all the information  documentary tonight. And then you list a few, and I will choose from the list. So instead of pressing the channel number, I am choosing the programmes directly. Yeah, that's one way of uh making it useful.",NONE,"IS1007a.A.argumentstructs.Daan.1, IS1007a.C.argumentstructs.Daan.1, IS1007a.B.argumentstructs.Daan.6"
IS1007a.C.argumentstructs.8,C,508.32,536.06,"Yeah, yeah. I",NONE,NONE
IS1007a.A.argumentstructs.Daan.1,A,511.73,518.17,I I think if we include a lot of technology on the remote control it will be very costly.,IS1007a.B.argumentstructs.Daan.2,"IS1007a.B.argumentstructs.Daan.3, IS1007a.A.argumentstructs.Daan.2"
IS1007a.B.argumentstructs.Daan.3,B,515.99,523.687,"No, because  no, it's not very  a lot. Th this information exists. For example you can get um",IS1007a.A.argumentstructs.Daan.1,NONE
IS1007a.A.argumentstructs.6,A,519.04,519.59,S,NONE,NONE
IS1007a.A.argumentstructs.Daan.2,A,523.33,526.68,Like s uh you you you say we can use speech.,IS1007a.A.argumentstructs.Daan.1,IS1007a.B.argumentstructs.Daan.4
IS1007a.B.argumentstructs.Daan.4,B,527.54,537.9,"You can use uh  well for example  anything.  The  the idea of using speech to reduce the button, but uh and it's more natural. Yeah.",IS1007a.A.argumentstructs.Daan.2,NONE
IS1007a.C.argumentstructs.Daan.1,C,536.94,546.31,I think if you want t to choose uh from a list of programme or or something like that you you may have to to use uh w uh I dunno,IS1007a.B.argumentstructs.Daan.2,IS1007a.D.argumentstructs.Daan.1
IS1007a.D.argumentstructs.4,D,539.89,540.63,okay.,NONE,NONE
IS1007a.B.argumentstructs.11,B,540.53,555.47,Yeah. Yeah. Yeah. Yeah.,NONE,NONE
IS1007a.D.argumentstructs.Daan.1,D,545.89,567.12,"I mean the main uh function of remote control is to have something in the hand and we should be very careful about the size of the remote control. If we are going to add a speech interface, I'm not sure with  trendy slim size of the remote control it would be able to put a speech recog if you want to put a speech recognition system f interface for that I think the T_V_ itself could have it.",IS1007a.C.argumentstructs.Daan.1,"IS1007a.B.argumentstructs.Daan.5, IS1007a.D.argumentstructs.Daan.2"
IS1007a.A.argumentstructs.7,A,550.02,553.68,In the hand. Yeah.,NONE,NONE
IS1007a.B.argumentstructs.Daan.5,B,559.57,560.81,"Yes, possible.",IS1007a.D.argumentstructs.Daan.1,NONE
IS1007a.D.argumentstructs.Daan.2,D,568.28,571.024,And I could talk to the T_V_  television itself. I need not have an,IS1007a.D.argumentstructs.Daan.1,"IS1007a.A.argumentstructs.Daan.3, IS1007a.D.argumentstructs.Daan.3"
IS1007a.A.argumentstructs.Daan.3,A,569.9,572.3,Except if if you are far from the T_V_.,IS1007a.D.argumentstructs.Daan.2,NONE
IS1007a.B.argumentstructs.12,B,572.41,573.83,Yeah.,NONE,NONE
