ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007b.C.argumentstructs.Daan.1,C,319.06,328.82,"And, that's it. I think we should use a F_P_G_A_ for  for the functionalities which is easy to to t",NONE,IS1007b.B.argumentstructs.Daan.1
IS1007b.B.argumentstructs.8,B,324.98,325.23,Mm.,NONE,NONE
IS1007b.B.argumentstructs.Daan.1,B,328.02,329.09,What is F_P_G_A_ ?,IS1007b.C.argumentstructs.Daan.1,"IS1007b.C.argumentstructs.Daan.2, IS1007b.D.argumentstructs.Daan.1"
IS1007b.C.argumentstructs.Daan.2,C,329.65,334.71,It's field programmable uh something array.  Yeah.,IS1007b.B.argumentstructs.Daan.1,NONE
IS1007b.D.argumentstructs.Daan.1,D,332.076,336.62,Gateway arrays. It's a field programmable gateway arrays.,IS1007b.B.argumentstructs.Daan.1,IS1007b.B.argumentstructs.Daan.2
IS1007b.B.argumentstructs.Daan.2,B,336.52,339.01,So why's it  how is it different from the Bluetooth ?,IS1007b.D.argumentstructs.Daan.1,IS1007b.C.argumentstructs.Daan.3
IS1007b.C.argumentstructs.Daan.3,C,339.52,355.48,"Well, uh a F_P_G_A_ is just a chip you can uh you can  pr programme it uh wi with wh whatever you want. And uh well the Bluetooth chip is just responsible to uh make the communication uh between uh the two devices.",IS1007b.B.argumentstructs.Daan.2,IS1007b.B.argumentstructs.Daan.3
IS1007b.D.argumentstructs.4,D,345.02,345.02,.,NONE,NONE
IS1007b.B.argumentstructs.9,B,354.13,354.47,Uh,NONE,NONE
IS1007b.B.argumentstructs.Daan.3,B,355.57,361.532,So this are the  they have to work together ? Or ? Do they have to work together or two separate choice,IS1007b.C.argumentstructs.Daan.3,"IS1007b.C.argumentstructs.Daan.4, IS1007b.D.argumentstructs.Daan.2"
IS1007b.C.argumentstructs.Daan.4,C,359.35,364.18,"No. Well, th the F_P_G_A_ will produce the the data to send.",IS1007b.B.argumentstructs.Daan.3,IS1007b.B.argumentstructs.Daan.4
IS1007b.B.argumentstructs.10,B,364.44,371.21,Okay. Is the is the software par alri okay.,NONE,NONE
IS1007b.D.argumentstructs.Daan.2,D,365.33,372.22,Or it's something like  isn't hardware the first one ? And the second one is for the software. Yeah to run th to make it run. That's it.,IS1007b.B.argumentstructs.Daan.3,NONE
IS1007b.C.argumentstructs.8,C,370.38,370.92,Yeah.,NONE,NONE
IS1007b.B.argumentstructs.Daan.4,B,371.89,380.876,"Okay, okay. So you can control  if you want, right ?",IS1007b.C.argumentstructs.Daan.4,"IS1007b.C.argumentstructs.Daan.5, IS1007b.C.argumentstructs.Daan.5"
IS1007b.C.argumentstructs.Daan.5,C,375.68,380.18,Yeah. Alright and that's it for the working design.,IS1007b.B.argumentstructs.Daan.4,IS1007b.C.argumentstructs.Daan.6
IS1007b.D.argumentstructs.5,D,376.99,377.19,No.,NONE,NONE
IS1007b.C.argumentstructs.Daan.6,C,380.18,381.65,So if you have any questions ?,IS1007b.C.argumentstructs.Daan.5,NONE
IS1007b.B.argumentstructs.11,B,382.42,382.6,Mm.,NONE,NONE
