ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008b.A.argumentstructs.Daan.6,A,916.95,922.74,"What do you think about uh the design, uh what he was talking about  of the speech recognition ?",NONE,"IS1008b.B.argumentstructs.Daan.9, IS1008b.B.argumentstructs.Daan.12, IS1008b.C.argumentstructs.Daan.4, IS1008b.C.argumentstructs.Daan.7"
IS1008b.D.argumentstructs.5,D,920.79,1031.81,Speech recognition. Mm.,NONE,NONE
IS1008b.B.argumentstructs.Daan.9,B,925.57,930.87,"Well, uh training is always an issue with uh commands.",IS1008b.A.argumentstructs.Daan.6,IS1008b.B.argumentstructs.Daan.10
IS1008b.A.argumentstructs.12,A,930.84,931.12,Mm-hmm.,NONE,NONE
IS1008b.B.argumentstructs.Daan.10,B,931.35,950.17,"So um  might uh  we can perhaps um  do it if the user is willing to spend some time in the training process, uh it could reduce th th uh the overall um cost.",IS1008b.B.argumentstructs.Daan.9,IS1008b.B.argumentstructs.Daan.11
IS1008b.B.argumentstructs.Daan.11,B,950.69,951.2,Not sure how.,IS1008b.B.argumentstructs.Daan.10,NONE
IS1008b.B.argumentstructs.Daan.12,B,951.402,960.65,"But um anyway, um  I I think also that uh this might impact the battery life",IS1008b.A.argumentstructs.Daan.6,IS1008b.B.argumentstructs.Daan.13
IS1008b.B.argumentstructs.25,B,960.65,960.65,.,NONE,NONE
IS1008b.B.argumentstructs.Daan.13,B,961.49,972.4,"And um so, maybe what we'll have to do is um add something where you can um recharge it wirelessly",IS1008b.B.argumentstructs.Daan.12,IS1008b.B.argumentstructs.Daan.14
IS1008b.B.argumentstructs.Daan.14,B,973.6,991.57,"so that uh  y you know sen send power to it. So uh or maybe uh set it out in the sun and it uh, you know, gets uh, from the light, um a a solar cell inside there so that uh you have enough uh juice to do all these fancy things.",IS1008b.B.argumentstructs.Daan.13,NONE
IS1008b.C.argumentstructs.19,C,981.0,981.13,Hmm.,NONE,NONE
IS1008b.C.argumentstructs.Daan.4,C,991.27,1001.66,"It seems also like with the speech recognition, yeah, it's a great feature, but if you're watching T_V_, there's a lot of ambient sound, and it's words. It's not just, you know, noises like something hitting.",IS1008b.A.argumentstructs.Daan.6,IS1008b.C.argumentstructs.Daan.5
IS1008b.C.argumentstructs.Daan.5,C,1002.24,1019.79,"It's actual speech, so then you have to make sure that the speech recognizer is good enough to filter out the T_V_ speech, and the the user's speech. Otherwise, you can say remote. But if someone on the screen is saying the same thing, all of a sudden, you have someone in a movie saying off and your screen dies,",IS1008b.C.argumentstructs.Daan.4,IS1008b.C.argumentstructs.Daan.6
IS1008b.B.argumentstructs.26,B,1012.93,1014.54,Off.,NONE,NONE
IS1008b.C.argumentstructs.Daan.6,C,1020.31,1024.65,because they've triggered the remote control and it's turned off your T_V_.,IS1008b.C.argumentstructs.Daan.5,NONE
IS1008b.C.argumentstructs.Daan.7,C,1025.38,1036.73,"So, I think if we can find a speech recognizer that can handle those types of problems, then yeah, it'd be a really good marketing gimmick. But, I think we seriously need to consider how that would impact",IS1008b.A.argumentstructs.Daan.6,IS1008b.B.argumentstructs.Daan.15
IS1008b.C.argumentstructs.20,C,1038.63,1039.62,the situation.,NONE,NONE
IS1008b.B.argumentstructs.Daan.15,B,1039.6,1040.25,Very good point.,IS1008b.C.argumentstructs.Daan.7,NONE
