ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008c.A.argumentstructs.Daan.2,A,1276.72,1288.59,"So, but uh le let's decide first about the components concept and uh interface concept, okay, if is acceptable for both of you, what uh Ed was talking.",NONE,IS1008c.A.argumentstructs.Daan.3
IS1008c.A.argumentstructs.Daan.3,A,1290.68,1296.87,"And your design  whether you want with the display or without display or just a simple, so",IS1008c.A.argumentstructs.Daan.2,"IS1008c.B.argumentstructs.Daan.4, IS1008c.B.argumentstructs.Daan.7, IS1008c.C.argumentstructs.Daan.6, IS1008c.C.argumentstructs.Daan.8, IS1008c.A.argumentstructs.Daan.6"
IS1008c.B.argumentstructs.16,B,1293.84,1294.14,Mm-hmm.,NONE,NONE
IS1008c.B.argumentstructs.Daan.4,B,1298.458,1309.05,"I think it depends, I mean I think it's a good idea, but we need to really think about how useful it's gonna be because theoretically with the T_V_ you already have a big display  right in front of you.",IS1008c.A.argumentstructs.Daan.3,IS1008c.B.argumentstructs.Daan.5
IS1008c.C.argumentstructs.11,C,1309.4,1325.73,Hmm. Hmm. Hmm. Mm-hmm.,NONE,NONE
IS1008c.B.argumentstructs.Daan.5,B,1310.24,1316.28,"So, if we're trying to keep costs down, then maybe sacrificing the display",IS1008c.B.argumentstructs.Daan.4,IS1008c.B.argumentstructs.Daan.6
IS1008c.B.argumentstructs.Daan.6,B,1318.18,1330.48,"is a way to go. I mean it depends on how much putting a display costs and what it would be used for  very specifically what it would be used for, 'cause if it's only used for one little thing, then putting in a big display case or a big display that's",IS1008c.B.argumentstructs.Daan.5,NONE
IS1008c.B.argumentstructs.Daan.7,B,1331.78,1341.01,"probably expensive just to do the training on the chip for the speech recognition or whatever, may not be the most cost-efficient way to go, but",IS1008c.A.argumentstructs.Daan.3,IS1008c.B.argumentstructs.Daan.8
IS1008c.B.argumentstructs.Daan.8,B,1342.36,1344.16,"that's just sort of speculation, I mean.",IS1008c.B.argumentstructs.Daan.7,NONE
IS1008c.C.argumentstructs.Daan.6,C,1345.124,1357.57,"What do you think Ed ? Do you  he liked the display in one of the concepts that you showed, um, do you know how much it costs, um, to to add a little display like this uh ?",IS1008c.A.argumentstructs.Daan.3,IS1008c.D.argumentstructs.Daan.6
IS1008c.D.argumentstructs.Daan.6,D,1357.27,1363.44,No. No  no p spec  It's 'cause we have to find out cost on it.,IS1008c.C.argumentstructs.Daan.6,IS1008c.C.argumentstructs.Daan.7
IS1008c.C.argumentstructs.Daan.7,C,1359.04,1361.04,Do you wanna take an action item to go find out ?,IS1008c.D.argumentstructs.Daan.6,IS1008c.D.argumentstructs.Daan.7
IS1008c.C.argumentstructs.12,C,1366.36,1368.18,Sorry about that.,NONE,NONE
IS1008c.D.argumentstructs.Daan.7,D,1366.66,1376.11,"Um, no that's no problem. I'm here for the  pushing it after it's made.  I will market it.  Once we get a price on it then we can market it.",IS1008c.C.argumentstructs.Daan.7,NONE
IS1008c.A.argumentstructs.9,A,1371.08,1371.44,Yes.,NONE,NONE
IS1008c.C.argumentstructs.Daan.8,C,1379.32,1399.09,"So the  the advanced chip on print is what um what we've  we've deci we've determined and the uh engineering industrial design is the recommendation, and um I think we've kinda come to some agreement regarding um this concept of a wooden case.",IS1008c.A.argumentstructs.Daan.3,"IS1008c.C.argumentstructs.Daan.9, IS1008c.D.argumentstructs.Daan.8, IS1008c.B.argumentstructs.Daan.9"
IS1008c.B.argumentstructs.17,B,1399.29,1399.57,Mm-hmm.,NONE,NONE
IS1008c.C.argumentstructs.Daan.9,C,1401.19,1402.72,A customisable and,IS1008c.C.argumentstructs.Daan.8,NONE
IS1008c.D.argumentstructs.Daan.8,D,1402.83,1406.528,Nice beautiful mahogany red wooden case.,IS1008c.C.argumentstructs.Daan.8,NONE
IS1008c.B.argumentstructs.Daan.9,B,1404.26,1405.97,"What about the buttons, would",IS1008c.C.argumentstructs.Daan.8,IS1008c.B.argumentstructs.Daan.10
IS1008c.B.argumentstructs.Daan.10,B,1406.71,1408.416,"Would the buttons be wood too, or",IS1008c.B.argumentstructs.Daan.9,"IS1008c.C.argumentstructs.Daan.10, IS1008c.A.argumentstructs.Daan.4"
IS1008c.C.argumentstructs.Daan.10,C,1409.2,1416.048,"Uh I don't think so, no, I think they could be rubber like they are now, so you have that tactile experience of",IS1008c.B.argumentstructs.Daan.10,NONE
IS1008c.A.argumentstructs.Daan.4,A,1410.13,1410.89,I don't think so.,IS1008c.B.argumentstructs.Daan.10,IS1008c.A.argumentstructs.Daan.5
IS1008c.A.argumentstructs.10,A,1412.29,1413.62,Yes. Yes.,NONE,NONE
IS1008c.A.argumentstructs.Daan.5,A,1414.19,1415.19,Don't looks nice uh.,IS1008c.A.argumentstructs.Daan.4,NONE
IS1008c.A.argumentstructs.Daan.6,A,1417.59,1439.26,"Yeah, so uh what we'll do is, uh, we will stick with the the simple design for time being until uh th Ed find outs about the how much it's cost to the extra, in case we go for the display. Okay. So maybe what you can do is uh, both of you, you can come up with the the prototype, okay, the model. Okay ?",IS1008c.A.argumentstructs.Daan.3,"IS1008c.B.argumentstructs.Daan.11, IS1008c.B.argumentstructs.Daan.12"
IS1008c.B.argumentstructs.18,B,1429.3,1429.56,Mm-hmm.,NONE,NONE
IS1008c.B.argumentstructs.Daan.11,B,1438.03,1438.37,Okay.,IS1008c.A.argumentstructs.Daan.6,NONE
IS1008c.B.argumentstructs.Daan.12,B,1442.61,1442.88,Sure.,IS1008c.A.argumentstructs.Daan.6,NONE
